participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	4068.0	2754.0	6577.0	5.229	0.854	0.203	0.038000000000000006	28.0	3.2	138.0	138.0	45.4769	8.1988	-32.8424	68.5016	101.344	11.0994	7.9597	0.9871000000000001	6.6028	10.3124	3.7096
8454119	2632.0	1738.0	3126.0	4.207000000000001	0.9510000000000001	0.244	0.049	25.0	2.5	138.0	138.0	43.096000000000004	9.1705	-3.985000000000001	70.91069999999999	74.8957	9.407	8.8904	1.3822999999999999	7.120699999999999	11.6619	4.5411
11407866	3426.0	2329.0	5682.0	5.682	0.7989999999999999	0.20500000000000002	0.032	21.0	2.4	138.0	138.0	52.1559	7.1911000000000005	23.796100000000003	74.2535	50.457499999999996	14.5116	8.3457	1.1131	6.7994	10.6313	3.8319
11574123	3025.0	2075.0	4980.0	5.426	0.8580000000000001	0.20500000000000002	0.038000000000000006	19.0	2.4	138.0	138.0	51.7609	8.7288	-10.185599999999999	82.62440000000001	92.81	12.116	8.4746	0.8331999999999999	7.2361	10.2712	3.0351
16684978	2594.0	1760.0	4005.0	5.0169999999999995	0.9869999999999999	0.215	0.046	21.0	2.4000000000000004	138.0	138.0	46.3688	9.4908	-5.609900000000001	73.0072	78.6171	10.0878	8.1977	0.6317	7.2786	9.6478	2.3691
25354225	3359.0	2238.0	5904.0	5.76	0.89	0.196	0.036000000000000004	20.0	2.5	138.0	138.0	50.3367	9.769300000000001	9.3106	80.1101	70.7994	10.3202	8.5632	0.6491	7.6369	10.018	2.3811
25811472	3999.0	2775.0	7038.0	5.625	0.9490000000000001	0.22	0.044	35.0	4.3	138.0	138.0	49.9316	11.2772	-22.2417	74.3446	96.5863	10.0564	8.4656	0.7684	7.4267	10.4041	2.9774
27876862	2266.0	1522.0	3970.0	6.494	1.4249999999999998	0.30200000000000005	0.089	36.0	4.2	138.0	138.0	46.9945	10.6425	7.4532	73.5008	66.04759999999999	8.8631	7.3072	0.3374	6.7205	8.0598	1.3392
29811890	3721.0	2504.0	5968.0	5.228	0.8320000000000001	0.189	0.032	21.0	2.4000000000000004	138.0	138.0	52.265699999999995	10.7042	-1.9682	86.66460000000001	88.6328	9.8641	8.3778	1.1179000000000001	6.8448	11.3695	4.5247
31361606	2488.0	1720.0	3957.0	5.04	0.877	0.196	0.033	13.0	1.8	138.0	138.0	48.9538	7.8536	12.6876	80.8575	68.1699	12.5668	8.3412	0.6669	6.7562	9.5729	2.8167999999999997
32938469	4301.0	2894.0	7396.0	5.399	1.096	0.221	0.040999999999999995	35.0	3.7	138.0	138.0	47.2641	10.965499999999999	-19.664099999999998	78.0512	97.7154	8.8799	8.7803	0.8672	7.4435	11.046	3.6025
36895554	3598.0	2433.0	6060.0	5.572	0.794	0.212	0.040999999999999995	27.0	3.1	138.0	138.0	47.4268	9.4226	-8.630099999999999	79.1622	87.79230000000001	10.8042	7.9528	0.9236	6.509600000000001	9.8925	3.3829000000000002
37329051	3424.0	2335.0	5622.0	5.572	0.888	0.222	0.041	25.0	2.9000000000000004	138.0	138.0	52.4618	8.0958	18.9125	79.0993	60.1869	12.9983	8.6268	0.823	7.4445	10.9732	3.5286
37835493	2434.0	1657.0	3956.0	5.284000000000001	0.785	0.185	0.028999999999999998	12.0	1.4	138.0	138.0	46.4529	7.2155000000000005	19.671799999999998	76.22370000000001	56.5521	12.9756	7.6944	0.5011	6.9018999999999995	9.0046	2.1027
43606631	2879.0	1908.0	4422.0	4.684	0.982	0.21500000000000002	0.043	21.0	2.8	138.0	138.0	39.8637	9.0227	12.0328	72.9066	60.8738	9.075	8.3147	0.6837	7.1463	9.799	2.6527
49408975	3418.0	2410.0	6100.0	5.345	0.915	0.181	0.031	20.0	2.1	138.0	138.0	44.988600000000005	9.168	1.8549000000000002	80.7853	78.9303	9.8293	8.0848	0.7067	6.9284	9.8594	2.931
51217255	3351.0	2315.0	5958.0	5.692	0.863	0.193	0.027	17.0	1.9	138.0	138.0	51.451800000000006	7.1333	26.369799999999998	77.5946	51.2248	14.6031	8.078	0.823	6.7869	9.9657	3.1787
52306425	3784.0	2612.0	6097.0	5.4079999999999995	0.967	0.218	0.043	29.0	3.5	138.0	138.0	47.1895	11.915700000000001	-41.7813	75.3904	117.1717	9.1481	8.5308	0.8489	6.981199999999999	10.3183	3.3371
52835891	3288.0	2294.0	6052.0	5.9190000000000005	0.8069999999999999	0.22399999999999998	0.046	22.0	3.2	138.0	138.0	49.5689	9.7964	-9.1789	84.2962	93.4751	10.5582	7.862399999999999	0.6628000000000001	6.7095	9.1323	2.4228
55710183	3773.0	2552.0	5694.0	5.036	0.758	0.225	0.039	31.0	3.2	138.0	138.0	45.923199999999994	8.4875	9.7299	72.5019	62.772	10.860399999999998	8.516300000000001	0.8427	7.378500000000001	10.4692	3.0909
56162563	3215.0	2186.0	5352.0	5.413	0.763	0.198	0.032	19.0	2.0	138.0	138.0	49.386700000000005	7.9518	19.0646	77.1365	58.0719	12.4773	8.481	0.7786	7.3878	10.3585	2.9707
60021964	3981.0	2683.0	6611.0	5.545999999999999	0.9470000000000001	0.20800000000000002	0.054	32.0	5.6	138.0	138.0	50.1824	9.2961	-5.3009	77.5723	82.8733	11.295	8.2203	0.7941	7.0405	10.1814	3.1409000000000002
62582335	2958.0	2056.0	5170.0	5.52	0.95	0.202	0.032	18.0	2.2	138.0	138.0	47.5483	8.3423	6.9292	70.65960000000001	63.730500000000006	11.4744	7.3557	0.4923	6.5893	8.7594	2.1701
65198031	3502.0	2493.0	5744.0	5.112	0.8500000000000001	0.215	0.047	24.0	3.9	138.0	138.0	44.194500000000005	8.9026	-15.6169	79.8864	95.5033	9.967199999999998	7.9541	0.8536	6.7962	9.815999999999999	3.0198
70214854	3142.0	2112.0	5252.0	5.167	1.006	0.23099999999999998	0.047	30.0	3.2	138.0	138.0	51.7178	10.2035	-10.602200000000002	78.8589	89.461	10.2089	7.4635	0.4529	6.5309	8.4542	1.9233
71851847	4348.0	2986.0	7388.0	5.688000000000001	0.9339999999999999	0.216	0.043	36.0	4.3	138.0	138.0	52.312799999999996	10.546199999999999	-20.1992	77.9703	98.1695	9.919599999999999	8.142600000000002	0.7799	6.9097	10.2226	3.3129
74920331	3533.0	2425.0	5554.0	5.135999999999999	0.826	0.195	0.031	20.0	2.1	138.0	138.0	44.7646	7.9535	18.1905	68.9624	50.7719	11.2961	7.6427	0.4054	6.9084	8.9392	2.0308
77390767	3441.0	2399.0	6127.0	5.479	0.7629999999999999	0.20700000000000002	0.04	23.0	2.7	138.0	138.0	45.9882	9.3167	13.6237	91.204	77.5804	9.883700000000001	8.020700000000001	0.6661	6.652	9.3957	2.7435
78982423	3172.0	2194.0	4922.0	5.06	0.893	0.227	0.042	22.0	3.0	138.0	138.0	45.1871	9.247900000000001	-0.032900000000000595	71.6565	71.6894	9.807500000000001	7.6668	0.8038000000000001	6.6154	9.5787	2.9632
80982198	4084.0	2817.0	7684.0	5.564	0.8879999999999999	0.229	0.046	38.0	3.8	138.0	138.0	49.509	10.010200000000001	8.2652	80.1918	71.9267	9.964400000000001	8.7471	0.9047000000000001	7.5662	10.8492	3.2831
82699044	3286.0	2246.0	5235.0	5.257	0.714	0.196	0.027999999999999997	19.0	2.0	138.0	138.0	46.702799999999996	7.9331000000000005	20.849899999999998	71.3711	50.5212	11.8457	8.368500000000001	0.8573999999999999	7.2582	10.705	3.4467999999999996
84407714	3338.0	2288.0	5440.0	5.295	0.8819999999999999	0.202	0.032	19.0	2.3	138.0	138.0	47.339200000000005	8.0125	12.8469	73.30709999999999	60.4601	11.8862	8.082899999999999	0.7213	6.7736	9.644	2.8705
86226939	3061.0	2087.0	4854.0	5.3309999999999995	0.964	0.202	0.04	19.0	3.1	138.0	138.0	45.4668	9.1125	-0.46000000000000085	75.11160000000001	75.5715	10.1538	8.3334	0.9280999999999999	6.8831	10.1608	3.2777000000000003
93800202	2893.0	2060.0	5414.0	5.57	0.958	0.239	0.057	35.0	4.3	138.0	138.0	49.4137	11.564499999999999	-20.915599999999998	84.0754	104.9909	10.1816	8.4356	0.7746999999999999	7.0893999999999995	9.9591	2.8696
97005004	3424.0	2355.0	5626.0	5.444	0.867	0.213	0.034	24.0	2.5	138.0	138.0	52.469300000000004	8.827	14.535599999999999	78.1752	63.6396	11.915199999999999	8.9769	0.8134	7.808400000000001	10.8827	3.0742000000000003
100527940	3859.0	2727.0	6248.0	5.303	0.9390000000000001	0.253	0.054	40.0	5.199999999999999	138.0	138.0	47.8677	14.3278	-34.603	78.6868	113.2898	7.2638	8.904599999999999	0.8265	7.727399999999999	10.9809	3.2535
103652366	3188.0	2246.0	5280.0	5.334	0.9590000000000001	0.219	0.043	29.0	3.4	138.0	138.0	46.048	9.6537	1.723700000000001	69.62440000000001	67.9007	9.776399999999999	8.416799999999999	0.6083	7.0616	9.783999999999999	2.7225
105914514	4473.0	3204.0	8442.0	5.666	1.29	0.22599999999999998	0.053	45.0	5.300000000000001	138.0	138.0	37.1701	13.0836	-26.6819	74.0629	100.7448	5.680400000000001	9.0568	1.1501000000000001	7.5641	11.969999999999999	4.406
107578676	5117.0	3509.0	8545.0	5.377000000000001	0.8380000000000001	0.20500000000000002	0.035	39.0	3.8	138.0	138.0	52.0158	10.1674	2.7589	80.4975	77.73859999999999	10.231000000000002	9.3869	1.099	7.6806	12.1807	4.5003
108828000	2948.0	2032.0	5025.0	5.638999999999999	0.7809999999999999	0.20600000000000002	0.041999999999999996	18.0	2.5	138.0	138.0	46.098200000000006	9.025400000000001	11.1623	77.93860000000001	66.7764	10.278	7.8136	0.5719	7.009	9.282499999999999	2.2735
113335479	4418.0	3004.0	7475.0	5.622	0.899	0.189	0.03	26.0	2.9	138.0	138.0	46.6327	8.4299	0.8742999999999999	70.527	69.6528	11.145	8.710799999999999	1.0979	6.9548000000000005	11.7281	4.773300000000001
115784129	4013.0	2699.0	6282.0	5.067	0.76	0.214	0.037000000000000005	28.0	2.9	138.0	138.0	46.9077	8.3621	15.3116	71.3474	56.035799999999995	11.3422					
119126177	3024.0	1967.0	5049.0	5.702	0.847	0.194	0.036	21.0	2.3	138.0	138.0	47.7047	9.3749	4.0134	82.0209	78.0075	10.2364	8.6523	0.4492	7.870699999999999	9.7051	1.8345
121697273	3288.0	2242.0	5431.0	5.275	0.892	0.23199999999999998	0.045	28.0	3.2	138.0	138.0	53.6075	9.1509	10.3469	83.1029	72.756	11.946100000000001	8.942499999999999	0.9631	7.456799999999999	11.0291	3.5724
130118047	3860.0	2554.0	6936.0	5.63	0.895	0.188	0.027999999999999997	24.0	2.3	138.0	138.0	51.2938	7.5478	23.840400000000002	76.5659	52.7254	13.9234	7.9584	0.788	6.8903	10.1999	3.3097000000000003
131655018	3087.0	2066.0	4978.0	5.123	0.767	0.20700000000000002	0.041	22.0	2.5	138.0	138.0	45.1755	9.5319	9.6496	76.8377	67.18809999999999	9.5139	8.0892	0.7376	6.603	10.1556	3.5526
134279804	3197.0	2174.0	5145.0	5.1129999999999995	0.725	0.201	0.035	20.0	2.3	138.0	138.0	46.6151	8.8948	10.7286	76.1318	65.4032	10.799499999999998	8.357	0.9773000000000001	6.6953	10.4713	3.776
138434806	4200.0	2882.0	6675.0	5.013	0.8200000000000001	0.21200000000000002	0.041	29.0	3.3	138.0	138.0	45.1121	9.9785	6.013599999999999	81.8637	75.8502	9.1107	8.244299999999999	0.8472	7.1288	10.324300000000001	3.1955
154667058	5555.0	3725.0	8590.0	4.994	1.002	0.21800000000000003	0.046	51.0	5.6	138.0	138.0	46.579899999999995	11.1323	-9.9531	77.2236	87.17670000000001	9.360800000000001	8.8731	0.8129	7.3537	11.1059	3.7521
158779019	3042.0	2070.0	4859.0	5.239	0.847	0.193	0.033	17.0	2.1	138.0	138.0	48.413	8.2109	19.9633	79.5446	59.5814	11.904499999999999	8.7787	0.7083999999999999	7.5053	10.645	3.1398
162526644	3434.0	2334.0	5889.0	5.413	0.923	0.209	0.036	24.0	2.5	138.0	138.0	50.6648	8.1328	11.340499999999999	75.6318	64.2913	12.530999999999999	8.693999999999999	0.734	7.4356	10.372	2.9363
163259093	2379.0	1644.0	4314.0	5.66	0.7929999999999999	0.193	0.035	13.0	1.6	138.0	138.0	52.2688	8.07	26.116500000000002	77.765	51.6485	13.3615	7.5686	0.7495	6.196899999999999	9.0185	2.8217
176129790	2936.0	2021.0	4566.0	5.221	0.8069999999999999	0.218	0.039	18.0	2.5999999999999996	138.0	138.0	49.509100000000004	8.201699999999999	21.1722	78.3993	57.2271	12.077	7.980600000000001	0.7924	6.876799999999999	9.8903	3.0133
177928631	3711.0	2505.0	5797.0	5.242	0.876	0.21200000000000002	0.036000000000000004	26.0	3.2	138.0	138.0	44.5176	9.1943	-5.1672	70.7893	75.9565	9.749099999999999	8.426300000000001	0.6445000000000001	7.7214	9.7955	2.0741
182017409	4440.0	3022.0	7127.0	5.356	0.833	0.218	0.05	35.0	5.1	138.0	138.0	49.909400000000005	10.0632	-13.6858	80.0505	93.7363	10.0592	8.940999999999999	1.2128999999999999	7.626799999999999	11.6967	4.0699
189913356	3072.0	2054.0	3976.0	4.5600000000000005	1.012	0.245	0.066	23.0	4.2	138.0	138.0	40.484	13.455	-17.9724	91.1023	109.07480000000001	6.0206	8.379	0.5925	7.3743	9.668	2.2937000000000003
190100766	3261.0	2234.0	5851.0	5.549	0.828	0.217	0.038	25.0	2.5999999999999996	138.0	138.0	50.498400000000004	8.0879	18.5188	71.1892	52.6704	12.786100000000001	8.3386	0.6765	7.3828	9.8656	2.4828
