participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1470.0	1002.0	1980.0	4.668	0.839	0.23199999999999998	0.033	13.0	0.9	142.0	142.0	53.2017	9.175	3.9501	79.56129999999999	75.6112	11.617	4.4198	0.1296	4.180300000000001	4.6559	0.4756
8454119	1070.0	733.0	1860.0	6.051	0.95	0.259	0.056	9.0	1.1	142.0	142.0	55.5864	12.1341	-2.3285	89.8575	92.18610000000001	9.4445	4.612500000000001	0.1196	4.4713	4.9523	0.481
11407866	1269.0	881.0	2192.0	5.814	0.9159999999999999	0.20800000000000002	0.027	10.0	0.8	142.0	142.0	57.7894	9.0331	23.696800000000003	84.0152	60.3185	12.8433	4.4652	0.1252	4.205	4.6593	0.45430000000000004
11574123	1278.0	895.0	2179.0	5.371	1.184	0.257	0.043	13.0	1.2000000000000002	142.0	142.0	56.6302	8.968	19.6871	83.4148	63.7277	13.0475	4.269	0.0788	4.0428	4.4554	0.4127
16684978	718.0	517.0	1348.0	5.42	1.535	0.237	0.031	6.0	0.5	142.0	142.0	51.5655	9.3322	20.109	72.5062	52.3972	11.1142	4.3769	0.0743	4.1487	4.5319	0.3833
25354225	1158.0	802.0	1741.0	4.912	1.2309999999999999	0.22399999999999998	0.031	9.0	0.8	142.0	142.0	51.6131	10.971	2.0408	82.9224	80.88159999999999	9.5488	4.2381	0.06520000000000001	4.1164000000000005	4.4086	0.2923
25811472	1194.0	875.0	2049.0	5.589	1.075	0.241	0.034	8.0	0.9	142.0	142.0	54.1975	7.7109000000000005	22.6615	77.2033	54.5418	14.059899999999999	4.6088000000000005	0.0737	4.4171	4.7696000000000005	0.3524
27876862	853.0	616.0	1462.0	5.3149999999999995	1.245	0.24	0.031	7.0	0.6	142.0	142.0	52.8582	9.2875	22.5117	74.0135	51.5018	11.5306	4.0886	0.0456	3.9804000000000004	4.2042	0.2239
29811890	1017.0	759.0	2096.0	5.792	1.198	0.217	0.028	8.0	0.5	142.0	142.0	58.9024	9.2295	24.608	82.5918	57.9838	12.845099999999999	4.182	0.058899999999999994	4.0421	4.2753	0.2333
31361606	999.0	694.0	1591.0	5.063	0.9690000000000001	0.245	0.048999999999999995	10.0	1.0	142.0	142.0	51.6442	10.2325	14.1598	78.07079999999999	63.9111	11.0534	4.0748999999999995	0.0725	3.9506	4.2334	0.2828
32938469	1011.0	713.0	1610.0	4.921	1.369	0.21800000000000003	0.045	12.0	1.0	142.0	142.0	47.2601	11.8642	6.9971	82.26140000000001	75.2644	7.9841999999999995	4.3553	0.1099	4.173500000000001	4.6223	0.4488
36895554	994.0	706.0	1725.0	5.452	1.13	0.292	0.051000000000000004	15.0	1.0	142.0	142.0	53.8514	9.075099999999999	20.7864	80.2624	59.476	12.0205	4.194100000000001	0.0619	4.0427	4.3286	0.2858
37329051	790.0	575.0	1453.0	5.837	1.31	0.278	0.038	8.0	0.6000000000000001	142.0	142.0	56.2123	9.4611	26.4602	78.16130000000001	51.7011	11.9978	4.4773	0.1175	4.3063	4.7181999999999995	0.41190000000000004
37835493	1204.0	842.0	2053.0	4.857	1.248	0.246	0.039	20.0	1.1	142.0	142.0	50.640100000000004	9.5154	17.076800000000002	75.78540000000001	58.708600000000004	11.137	4.2216000000000005	0.060899999999999996	4.1172	4.3468	0.2296
43606631	962.0	667.0	1186.0	4.243	0.878	0.254	0.039	8.0	0.7	142.0	142.0	53.687	7.3804	30.984	76.4461	45.4621	14.5998	4.3044	0.0738	4.145	4.4245	0.27949999999999997
49408975	1049.0	713.0	1595.0	5.177	1.242	0.22399999999999998	0.03	7.0	0.7	142.0	142.0	49.2288	8.9388	19.244	76.8546	57.6105	11.319700000000001	4.431	0.1399	4.2089	4.6452	0.4364
