participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	753.0	518.0	2089.0	2.841	0.529	0.14	0.027	15.0	1.0	89.0	88.0	24.5901	6.1517	-0.2933	41.4833	41.7766	3.9973	2.1612	0.0891	2.0493	2.335	0.2856
8454119	950.0	660.0	3163.0	3.322	0.578	0.175	0.066	19.0	2.8	89.0	88.0	24.6722	8.308	-19.6845	50.9785	70.663	2.9697	2.3547	0.0491	2.2433	2.4899	0.2466
11407866	733.0	549.0	2349.0	3.398	0.526	0.164	0.033	15.0	1.1	89.0	88.0	26.6526	6.6559	0.4922	45.0732	44.581	4.0044	2.1679	0.0549	2.092	2.3179	0.2259
11574123	728.0	518.0	2105.0	3.015	0.533	0.147	0.037	13.0	1.0	89.0	88.0	24.7552	5.4671	4.9936	39.9653	34.9716	4.528	2.0299	0.0426	1.958	2.1786	0.2206
16684978	636.0	448.0	1645.0	2.615	0.82	0.174	0.061	15.0	1.9	89.0	88.0	20.9087	9.3389	-24.3856	44.4417	68.8273	2.2389	2.2004	0.041	2.1352	2.2901	0.155
25354225	592.0	435.0	2110.0	3.031	0.729	0.148	0.041	16.0	1.0	89.0	88.0	23.9022	7.4688	-2.6512	46.3074	48.9585	3.2003	2.1355	0.0684	2.0119	2.3027	0.2909
25811472	839.0	573.0	2493.0	3.173	0.689	0.145	0.036	17.0	1.3	89.0	88.0	23.1076	6.7879	-4.1226	38.5741	42.6966	3.4042	2.2876	0.0303	2.2186	2.3621	0.1435
27876862	623.0	421.0	1714.0	2.79	0.516	0.167	0.037	19.0	1.1	89.0	88.0	21.2842	7.0774	-11.9191	37.7554	49.6745	3.0074	2.0847	0.0282	2.0222	2.1731	0.1509
29811890	777.0	542.0	2016.0	2.913	0.571	0.145	0.037	18.0	1.3	89.0	88.0	25.0797	7.7584	-9.2708	42.9996	52.2704	3.2326	2.0526	0.0139	2.0252	2.1129	0.0877
31361606	624.0	437.0	1659.0	2.706	0.554	0.129	0.036	13.0	0.7	89.0	88.0	22.3733	5.6415	-7.243	37.5169	44.7599	3.9658	2.0162	0.0527	1.9465	2.1693	0.2228
