participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	882.0	620.0	1810.0	2.911	0.566	0.142	0.034	16.0	1.4	93.0	92.0	24.5843	6.195	0.4153	41.3708	40.9555	3.9684	2.583	0.1272	2.3432	2.8206	0.4774
8454119	1119.0	744.0	2030.0	2.828	0.557	0.142	0.039	15.0	1.9	93.0	92.0	22.3481	6.7656	-6.8089	40.8221	47.631	3.3032	2.8826	0.1977	2.5645	3.2236	0.6591
11407866	925.0	614.0	2205.0	3.338	0.563	0.118	0.027	10.0	1.0	93.0	92.0	25.8067	5.3764	4.8089	44.2974	39.4886	4.8	2.6836	0.2761	2.292	3.6042	1.3123
11574123	895.0	626.0	2001.0	3.117	0.598	0.139	0.029	12.0	1.0	93.0	92.0	25.9838	5.1017	5.696	41.9579	36.2619	5.0931	2.3076	0.1092	2.0678	2.8332	0.7654
16684978	751.0	523.0	1483.0	2.885	0.482	0.125	0.031	8.0	1.0	93.0	92.0	23.6404	6.5367	-19.185	37.0141	56.1992	3.6166	2.5739	0.1533	2.2928	2.8198	0.527
25354225	635.0	462.0	1636.0	3.236	0.513	0.131	0.036	10.0	0.8	93.0	92.0	25.2143	6.2686	6.4877	45.5948	39.107	4.0223	2.5486	0.1597	2.2228	2.9537	0.731
25811472	860.0	576.0	2092.0	3.301	0.383	0.123	0.029	9.0	1.1	93.0	92.0	24.8396	5.3647	7.6632	37.8992	30.2361	4.6302	2.7472	0.1972	2.3826	3.1843	0.8017
27876862	789.0	519.0	1557.0	2.91	0.591	0.112	0.025	7.0	0.8	93.0	92.0	24.4091	5.8891	-7.4483	37.5392	44.9875	4.1448	2.4182	0.0995	2.1813	2.6763	0.4951
29811890	891.0	617.0	2072.0	3.197	0.653	0.137	0.025	19.0	0.9	93.0	92.0	27.3085	6.6813	6.3834	45.7127	39.3293	4.0873	2.6427	0.251	2.2718	3.0055	0.7337
31361606	905.0	612.0	1757.0	2.799	0.541	0.121	0.029	11.0	1.0	93.0	92.0	25.3426	5.7886	-3.9441	39.1331	43.0772	4.378	2.43	0.1548	2.0598	2.8429	0.7831
32938469	682.0	461.0	1797.0	3.451	0.572	0.123	0.031	8.0	0.9	93.0	92.0	22.5681	5.6506	6.726	39.8018	33.0758	3.9939	2.7356	0.1583	2.4043	3.161	0.7567
36895554	837.0	568.0	1979.0	3.103	0.577	0.126	0.031	12.0	1.2	93.0	92.0	25.1864	6.4251	-0.5137	39.4037	39.9174	3.92	2.6307	0.2394	2.2583	3.1252	0.867
37329051	851.0	611.0	2119.0	3.437	0.509	0.146	0.044	12.0	1.8	93.0	92.0	25.4885	6.0097	5.6112	42.5046	36.8934	4.2412	2.7025	0.2315	2.3603	3.1063	0.7461
37835493	850.0	574.0	1738.0	2.918	0.562	0.103	0.021	5.0	0.7	93.0	92.0	24.8936	5.0774	10.269	40.149	29.8799	4.9029	2.3368	0.0969	2.1359	2.6785	0.5426
43606631	878.0	564.0	1462.0	2.479	0.507	0.136	0.048	13.0	2.0	93.0	92.0	22.5461	7.4281	-16.0558	38.6537	54.7095	3.0353	2.562	0.1808	2.2092	2.8836	0.6744
49408975	721.0	491.0	1539.0	3.002	0.527	0.113	0.022	7.0	0.8	93.0	92.0	23.5336	5.0324	3.097	39.3963	36.2993	4.6764	2.6693	0.0938	2.445	2.9213	0.4763
51217255	720.0	485.0	1546.0	3.038	0.467	0.123	0.023	8.0	0.7	93.0	92.0	25.5448	5.1745	8.2104	40.0077	31.7973	4.9366	2.3299	0.1393	1.9889	2.6173	0.6284
52306425	1143.0	772.0	2245.0	2.806	0.5	0.123	0.033	11.0	1.5	93.0	92.0	24.6273	5.3531	7.9208	42.602	34.6812	4.6006	2.567	0.1435	2.3253	2.8139	0.4886
52835891	776.0	521.0	1666.0	2.924	0.563	0.117	0.034	10.0	1.3	93.0	92.0	24.474	7.2774	-13.6818	41.8796	55.5614	3.363	2.3393	0.1144	2.0871	2.5932	0.506
55710183	842.0	568.0	1665.0	2.958	0.621	0.099	0.018	5.0	0.6	93.0	92.0	25.814	4.8415	9.7871	38.8915	29.1044	5.3319	2.4594	0.1335	2.2184	2.7638	0.5454
56162563	877.0	599.0	1995.0	3.015	0.488	0.103	0.026	6.0	0.9	93.0	92.0	26.8929	4.725	10.9072	38.703	27.7958	5.6916	2.3968	0.0855	2.2264	2.581	0.3546
60021964	985.0	665.0	2327.0	2.99	0.531	0.122	0.024	11.0	1.0	93.0	92.0	25.0142	5.3971	4.4155	39.188	34.7725	4.6348	2.756	0.1773	2.3148	3.183	0.8682
62582335	679.0	467.0	1526.0	2.945	0.624	0.141	0.046	14.0	1.4	93.0	92.0	23.6085	7.6163	-4.5342	41.1244	45.6586	3.0997	2.6371	0.1872	2.222	2.9825	0.7605
65198031	920.0	620.0	1834.0	2.838	0.494	0.138	0.033	13.0	1.3	93.0	92.0	24.2736	5.8347	7.2613	42.5204	35.2591	4.1602	2.4004	0.1435	2.1658	2.808	0.6423
70214854	738.0	510.0	1543.0	2.956	0.388	0.126	0.028	9.0	0.9	93.0	92.0	28.0488	6.1124	10.4149	42.5026	32.0876	4.5889	2.3785	0.1331	2.125	2.661	0.536
71851847	802.0	549.0	1839.0	3.115	0.509	0.119	0.026	7.0	0.9	93.0	92.0	25.3181	5.7694	6.0329	38.569	32.5361	4.3883	2.6612	0.1886	2.2636	3.0363	0.7728
74920331	678.0	476.0	1367.0	2.711	0.51	0.124	0.034	12.0	0.8	93.0	92.0	24.132	5.6516	-1.2305	36.2479	37.4784	4.27	2.488	0.1031	2.2115	2.7424	0.5308
77390767	855.0	567.0	1822.0	2.971	0.426	0.1	0.024	7.0	0.8	93.0	92.0	25.4626	5.4091	4.4148	40.04	35.6251	4.7074	2.4827	0.1669	2.2018	3.0331	0.8313
78982423	718.0	488.0	1590.0	3.107	0.584	0.135	0.035	9.0	1.1	93.0	92.0	24.6481	5.3478	8.496	40.6896	32.1936	4.609	2.39	0.1452	2.0715	2.6811	0.6096
80982198	803.0	564.0	1990.0	3.25	0.539	0.127	0.032	10.0	1.1	93.0	92.0	27.5825	5.8719	1.7446	44.1714	42.4268	4.6974	2.7184	0.1967	2.2909	3.2984	1.0075
82699044	944.0	643.0	1965.0	2.94	0.504	0.115	0.023	9.0	0.9	93.0	92.0	25.769	5.1726	6.1109	37.9909	31.88	4.9818	2.6046	0.1743	2.2105	3.0024	0.7919
84407714	996.0	656.0	1735.0	2.619	0.536	0.116	0.02	11.0	0.8	93.0	92.0	22.8644	5.194	7.2678	36.5652	29.2974	4.4021	2.4873	0.1138	2.2672	2.7619	0.4947
86226939	729.0	495.0	1628.0	3.092	0.608	0.114	0.026	6.0	0.7	93.0	92.0	24.6207	5.0054	6.8787	39.2033	32.3246	4.9188	2.4266	0.1353	2.1152	2.7674	0.6522
93800202	624.0	437.0	1537.0	3.393	0.749	0.096	0.018	4.0	0.5	93.0	92.0	26.7396	5.0283	5.075	41.7131	36.638	5.3178	2.4236	0.1271	2.1889	2.7822	0.5932
97005004	1028.0	707.0	2420.0	3.114	0.512	0.114	0.026	10.0	1.1	93.0	92.0	26.5741	5.1007	10.8547	38.436	27.5814	5.2099	2.5787	0.122	2.3131	2.9709	0.6578
100527940	816.0	580.0	2133.0	3.385	0.669	0.119	0.028	7.0	1.0	93.0	92.0	25.7738	6.1018	3.8792	41.4746	37.5955	4.224	2.7067	0.2509	2.2413	3.1148	0.8735
103652366	749.0	519.0	1512.0	2.794	0.469	0.112	0.022	7.0	0.7	93.0	92.0	23.2998	5.5669	-0.0749	36.3252	36.4001	4.1854	2.6567	0.1466	2.3292	3.0357	0.7065
105914514	711.0	466.0	1207.0	2.773	0.658	0.102	0.029	4.0	0.8	93.0	92.0	19.5192	5.9013	2.6174	34.5441	31.9267	3.3076	2.2395	0.1232	2.0673	2.6692	0.6019
