participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	786.0	537.0	1196.0	2.506	0.348	0.12	0.023	7.0	0.7	39.0	38.0	25.3328	4.6107	8.6682	39.156	30.4877	5.4943	2.4481	0.1622	2.1646	2.8837	0.7191
8454119	770.0	520.0	1441.0	3.013	0.421	0.137	0.042	13.0	1.5	39.0	38.0	25.6247	7.1106	-1.3925	46.1333	47.5258	3.6037	3.0796	0.2654	2.688	3.8089	1.1209
11407866	892.0	595.0	1503.0	2.607	0.391	0.115	0.019	9.0	0.8	39.0	38.0	26.0515	5.3436	0.7054	38.5666	37.8612	4.8752	2.5275	0.076	2.3115	2.6957	0.3842
11574123	641.0	448.0	1036.0	2.563	0.477	0.108	0.02	4.0	0.6	39.0	38.0	27.4017	4.6908	10.9036	40.9685	30.0649	5.8416	2.5877	0.1886	2.2062	3.1275	0.9213
16684978	663.0	449.0	1054.0	2.591	0.445	0.107	0.022	5.0	0.6	39.0	38.0	25.817	4.5595	5.6663	36.6665	31.0002	5.6623	2.52	0.1755	2.1744	2.8667	0.6923
25354225	715.0	477.0	1220.0	2.67	0.447	0.116	0.022	6.0	0.8	39.0	38.0	24.2898	5.8569	5.6717	39.9016	34.2299	4.1472	2.3257	0.1204	2.1092	2.554	0.4448
25811472	900.0	610.0	1590.0	2.824	0.429	0.106	0.018	6.0	0.8	39.0	38.0	26.1927	5.397	-1.2851	42.3111	43.5962	4.8532	2.6644	0.1472	2.3046	3.0856	0.781
27876862	640.0	454.0	1067.0	2.371	0.467	0.156	0.038	11.0	1.3	39.0	38.0	24.5856	5.9433	3.392	40.1066	36.7146	4.1367	2.3098	0.1118	2.0677	2.5145	0.4468
29811890	671.0	467.0	1135.0	2.626	0.448	0.128	0.029	7.0	1.0	39.0	38.0	27.2035	6.1845	4.6066	41.4649	36.8583	4.3986	2.5607	0.0395	2.3952	2.6194	0.2243
31361606	651.0	454.0	1105.0	2.601	0.416	0.118	0.022	5.0	0.7	39.0	38.0	24.435	4.4729	9.3575	40.501	31.1435	5.4629	2.1902	0.1442	1.9229	2.4763	0.5534
32938469	751.0	488.0	1205.0	2.797	0.576	0.1	0.019	6.0	0.7	39.0	38.0	26.2867	6.3428	7.0114	41.7785	34.7671	4.1444	2.7339	0.1145	2.368	2.9604	0.5924
