participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	805.0	488.0	1807.0	3.109	0.487	0.105	0.024	6.0	0.8	41.0	40.0	18.676	4.7182	3.8684	34.2008	30.3323	3.9583	2.2291	0.1018	2.0254	2.4635	0.4382
8454119	1019.0	674.0	2035.0	2.755	0.48	0.107	0.021	8.0	0.8	41.0	40.0	24.4612	5.5709	6.5015	36.6394	30.1379	4.3909	2.8656	0.0967	2.5429	3.1669	0.624
11407866	612.0	422.0	1326.0	3.075	0.424	0.116	0.025	4.0	0.7	41.0	40.0	23.0099	6.2091	7.0213	38.9637	31.9424	3.7059	2.411	0.082	2.2444	2.5984	0.354
11574123	505.0	329.0	953.0	2.726	0.402	0.112	0.031	4.0	0.6	41.0	40.0	21.1795	5.4754	8.3783	37.9665	29.5882	3.8681	2.3512	0.1256	2.1287	2.7188	0.5901
16684978	496.0	329.0	1038.0	2.934	0.516	0.104	0.023	3.0	0.5	41.0	40.0	19.5767	5.6528	3.8611	37.7408	33.8798	3.4632	2.3052	0.1354	2.1222	2.6174	0.4951
25354225	559.0	368.0	1377.0	3.414	0.447	0.108	0.021	4.0	0.5	41.0	40.0	21.5673	5.7706	6.9855	37.3768	30.3913	3.7375	2.1869	0.0772	2.0889	2.4053	0.3163
25811472	640.0	434.0	1438.0	3.233	0.395	0.104	0.023	4.0	0.5	41.0	40.0	20.9904	6.0743	4.7216	43.3394	38.6179	3.4556	2.498	0.1198	2.2579	2.7836	0.5257
27876862	538.0	354.0	1056.0	2.715	0.523	0.123	0.028	5.0	0.6	41.0	40.0	21.3603	6.9087	5.0738	42.8305	37.7567	3.0918	2.1882	0.0807	2.0596	2.3818	0.3222
29811890	638.0	423.0	1450.0	2.715	0.759	0.128	0.033	10.0	0.8	41.0	40.0	20.2058	6.5805	0.8647	47.5582	46.6935	3.0706	2.4915	0.062	2.3189	2.5892	0.2703
31361606	554.0	372.0	1137.0	2.788	0.485	0.114	0.026	5.0	0.6	41.0	40.0	19.1185	4.5219	8.0263	34.432	26.4058	4.228	2.0372	0.0941	1.9178	2.2911	0.3733
