participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	393.0	261.0	642.0	2.878	0.379	0.104	0.022	2.0	0.3	42.0	41.0	24.643	4.5294	10.3756	34.7826	24.407	5.4407	2.0812	0.0497	2.0258	2.2048	0.179
8454119	537.0	377.0	886.0	2.966	0.385	0.115	0.025	3.0	0.6	42.0	41.0	25.9979	5.2419	6.3524	36.787	30.4347	4.9596	2.6874	0.0786	2.5484	2.8817	0.3333
11407866	412.0	284.0	887.0	3.072	0.354	0.124	0.03	3.0	0.4	42.0	41.0	24.5722	5.0556	11.3757	39.107	27.7313	4.8604	2.2969	0.0416	2.1926	2.3932	0.2006
11574123	314.0	213.0	586.0	2.854	0.365	0.124	0.024	3.0	0.3	42.0	41.0	24.0175	5.5347	3.1776	38.2439	35.0663	4.3395	2.1335	0.0874	1.9831	2.279	0.296
16684978	294.0	203.0	634.0	3.109	0.631	0.134	0.034	3.0	0.3	42.0	41.0	23.5697	5.1631	10.9135	35.9969	25.0834	4.565	2.1232	0.067	1.9684	2.2245	0.2561
25354225	348.0	247.0	865.0	3.082	0.405	0.13	0.03	5.0	0.4	42.0	41.0	23.972	5.6214	10.0313	39.5903	29.559	4.2644	2.0998	0.0385	2.0194	2.2015	0.1821
25811472	408.0	276.0	779.0	3.009	0.395	0.08	0.013	2.0	0.2	42.0	41.0	24.4336	4.9293	10.3425	38.6419	28.2994	4.9568	2.2688	0.0741	2.1408	2.3941	0.2532
27876862	314.0	218.0	482.0	2.584	0.498	0.121	0.025	2.0	0.3	42.0	41.0	25.7817	5.3339	13.3493	43.2724	29.923	4.8336	2.0671	0.0478	1.9725	2.1425	0.17
29811890	382.0	261.0	600.0	2.951	0.441	0.121	0.026	3.0	0.4	42.0	41.0	28.34	6.0051	9.7688	45.8599	36.0911	4.7193	2.3962	0.0709	2.2577	2.5189	0.2612
31361606	387.0	264.0	585.0	2.392	0.574	0.12	0.025	3.0	0.3	42.0	41.0	22.4957	4.4749	11.0963	33.7948	22.6985	5.0271	1.9312	0.0193	1.8321	2.0129	0.1807
32938469	322.0	221.0	619.0	2.943	0.399	0.1	0.024	2.0	0.2	42.0	41.0	23.5228	5.0535	5.0952	34.8951	29.7999	4.6548	2.3471	0.0921	2.0926	2.5167	0.4241
36895554	383.0	264.0	658.0	2.832	0.377	0.099	0.02	2.0	0.3	42.0	41.0	23.998	3.6725	13.7886	36.0438	22.2552	6.5344	2.0762	0.0606	1.9743	2.2531	0.2788
37329051	318.0	219.0	527.0	3.09	0.383	0.095	0.021	1.0	0.2	42.0	41.0	28.7964	4.7279	12.9669	40.4191	27.4522	6.0907	2.2025	0.0383	2.1388	2.2809	0.1421
37835493	403.0	284.0	666.0	2.645	0.292	0.151	0.032	5.0	0.6	42.0	41.0	22.2464	5.3509	5.6578	33.4018	27.744	4.1575	2.0846	0.0483	1.9536	2.1582	0.2045
43606631	382.0	255.0	519.0	2.521	0.403	0.101	0.02	2.0	0.3	42.0	41.0	22.2461	5.3284	9.149	37.0946	27.9456	4.175	2.1759	0.0668	2.0499	2.3252	0.2752
49408975	463.0	293.0	955.0	2.929	0.446	0.104	0.019	4.0	0.3	42.0	41.0	22.9398	4.4828	10.3997	33.9657	23.5661	5.1173	2.0937	0.075	1.9761	2.2438	0.2677
51217255	345.0	234.0	491.0	2.836	0.355	0.109	0.022	2.0	0.3	42.0	41.0	27.2831	4.5027	15.3455	38.0985	22.753	6.0593	2.1414	0.0567	2.073	2.3196	0.2466
52306425	385.0	265.0	609.0	2.775	0.343	0.109	0.021	2.0	0.3	42.0	41.0	24.3115	5.0305	11.0694	38.4113	27.3419	4.8328	2.1137	0.0534	2.0253	2.2523	0.227
52835891	360.0	238.0	494.0	2.703	0.497	0.105	0.021	2.0	0.3	42.0	41.0	25.9174	4.1531	13.3701	36.1967	22.8267	6.2405	2.0023	0.0261	1.9622	2.0776	0.1153
55710183	374.0	260.0	663.0	2.607	0.324	0.136	0.037	4.0	0.6	42.0	41.0	22.8998	4.9549	9.5792	39.3704	29.7913	4.6217	2.3522	0.0397	2.2439	2.4228	0.1788
56162563	461.0	303.0	836.0	2.708	0.4	0.118	0.018	6.0	0.4	42.0	41.0	25.4486	6.0111	-1.0685	39.8268	40.8954	4.2336	2.0943	0.0477	1.9528	2.2125	0.2597
