participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	575.0	381.0	838.0	2.516	0.405	0.109	0.019	4.0	0.5	162.0	161.0	22.9036	3.087	12.6749	32.1462	19.4712	7.4194	3.2174	0.125	2.948	3.4278	0.4798
8454119	366.0	228.0	704.0	2.85	0.551	0.104	0.024	3.0	0.4	162.0	161.0	24.1676	5.115	10.4696	36.4882	26.0186	4.7248	3.9122	0.1585	3.4886	4.1849	0.6963
11407866	479.0	315.0	1003.0	2.929	0.645	0.124	0.027	6.0	0.5	162.0	161.0	23.3317	4.8124	9.0134	34.4931	25.4797	4.8483	2.7903	0.1579	2.6658	3.2791	0.6133
11574123	431.0	290.0	682.0	2.493	0.387	0.1	0.015	2.0	0.3	162.0	161.0	24.3169	4.2054	9.1177	36.6441	27.5264	5.7822	3.2924	0.0716	3.1049	3.4901	0.3853
16684978	448.0	299.0	717.0	2.547	0.357	0.127	0.022	5.0	0.4	162.0	161.0	23.49	4.3054	8.8664	33.4954	24.629	5.456	2.9671	0.0977	2.7986	3.2239	0.4253
25354225	485.0	327.0	892.0	2.93	0.543	0.103	0.015	3.0	0.3	162.0	161.0	25.6205	4.4273	13.3917	40.2738	26.8821	5.7869	2.9011	0.1344	2.6157	3.2379	0.6222
25811472	542.0	360.0	989.0	2.663	0.454	0.109	0.019	6.0	0.4	162.0	161.0	23.5837	5.895	6.2674	39.7448	33.4774	4.0006	3.3484	0.0807	3.164	3.5344	0.3704
27876862	436.0	300.0	745.0	2.624	0.56	0.178	0.056	13.0	1.3	162.0	161.0	19.9696	7.0748	0.734	33.6855	32.9515	2.8227	2.6758	0.1065	2.513	2.8781	0.365
29811890	714.0	493.0	1466.0	2.66	0.512	0.135	0.029	11.0	1.1	162.0	161.0	23.5763	6.7838	-9.648	38.0318	47.6798	3.4754	3.0239	0.2791	2.7263	3.6152	0.8889
31361606	315.0	208.0	606.0	2.459	0.574	0.104	0.014	2.0	0.2	162.0	161.0	23.0878	4.0151	9.1316	33.523	24.3914	5.7503	2.5342	0.0415	2.4219	2.6802	0.2583
32938469	390.0	273.0	845.0	3.127	0.527	0.124	0.026	5.0	0.3	162.0	161.0	24.0394	5.6673	1.5725	36.9199	35.3474	4.2418	3.3561	0.1028	3.1761	3.7145	0.5384
36895554	514.0	351.0	811.0	2.476	0.396	0.106	0.019	3.0	0.4	162.0	161.0	22.0391	3.1727	11.1985	29.4276	18.2291	6.9464	2.9138	0.0854	2.7651	3.1049	0.3398
37329051	441.0	302.0	768.0	2.676	0.446	0.115	0.019	4.0	0.4	162.0	161.0	25.3852	6.0289	7.5831	37.0485	29.4654	4.2106	2.9725	0.0944	2.7748	3.1501	0.3753
37835493	435.0	311.0	686.0	2.566	0.328	0.145	0.029	5.0	0.5	162.0	161.0	23.8306	4.1663	10.3647	35.8439	25.4792	5.7198	2.7666	0.1217	2.5074	2.9484	0.441
43606631	411.0	274.0	618.0	2.286	0.483	0.097	0.018	3.0	0.3	162.0	161.0	23.0608	3.7681	9.4517	34.9584	25.5066	6.12	2.9425	0.0243	2.8786	3.0155	0.137
49408975	425.0	289.0	677.0	2.556	0.482	0.083	0.013	1.0	0.3	162.0	161.0	23.6704	3.0877	15.0393	33.2865	18.2472	7.6661	2.9157	0.1231	2.731	3.1683	0.4373
51217255	410.0	289.0	767.0	2.645	0.407	0.081	0.01	2.0	0.1	162.0	161.0	25.1902	3.6557	6.6646	33.9955	27.3309	6.8907	3.1444	0.1509	2.7821	3.4459	0.6638
52306425	493.0	332.0	862.0	2.559	0.471	0.112	0.02	4.0	0.4	162.0	161.0	24.2795	4.12	10.2847	35.7744	25.4897	5.893	3.0405	0.0553	2.9083	3.1953	0.2871
52835891	349.0	225.0	606.0	2.536	0.417	0.094	0.017	3.0	0.2	162.0	161.0	22.7241	3.975	4.7304	30.0627	25.3323	5.7167	2.9183	0.0588	2.7533	3.0644	0.3111
55710183	398.0	271.0	576.0	2.333	0.483	0.087	0.013	2.0	0.2	162.0	161.0	22.3974	3.3189	10.2072	31.5018	21.2945	6.7484	2.9858	0.1015	2.811	3.168	0.357
56162563	498.0	338.0	878.0	2.588	0.312	0.108	0.015	4.0	0.3	162.0	161.0	24.2778	3.952	11.1447	35.136	23.9914	6.1432	3.0397	0.0794	2.8643	3.2129	0.3486
60021964	520.0	352.0	869.0	2.526	0.51	0.114	0.024	4.0	0.4	162.0	161.0	25.1958	4.9552	4.4279	36.5979	32.17	5.0847	2.9627	0.0855	2.8112	3.1922	0.381
62582335	587.0	397.0	1116.0	2.658	0.407	0.124	0.026	9.0	0.6	162.0	161.0	21.3824	5.4341	3.218	35.5802	32.3622	3.9348	2.8155	0.0651	2.7155	3.0099	0.2944
65198031	388.0	268.0	666.0	2.511	0.318	0.105	0.018	2.0	0.3	162.0	161.0	23.6506	3.5742	11.527	35.9231	24.3961	6.6171	3.1658	0.0903	2.862	3.3394	0.4774
70214854	567.0	382.0	827.0	2.31	0.408	0.13	0.03	10.0	0.7	162.0	161.0	24.2937	6.1414	-10.0824	38.4198	48.5022	3.9557	2.7598	0.0813	2.5797	2.9267	0.347
71851847	476.0	315.0	835.0	2.783	0.462	0.088	0.013	2.0	0.3	162.0	161.0	26.4296	3.6511	12.6403	35.5672	22.9269	7.2388	3.1356	0.1016	2.8619	3.3962	0.5343
74920331	474.0	328.0	717.0	2.452	0.371	0.122	0.021	4.0	0.4	162.0	161.0	24.5448	3.6834	12.6435	34.0878	21.4442	6.6637	2.9793	0.1206	2.6651	3.1497	0.4846
77390767	416.0	281.0	742.0	2.544	0.479	0.117	0.022	4.0	0.4	162.0	161.0	23.7894	4.4736	8.999	35.75	26.751	5.3177	2.8386	0.1554	2.6374	3.2453	0.6079
