participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	490.0	330.0	731.0	2.557	0.402	0.125	0.026	4.0	0.5	36.0	35.0	24.4754	3.7313	13.0505	35.8314	22.7809	6.5595	3.1561	0.164	2.7784	3.3813	0.6029
8454119	269.0	178.0	484.0	2.734	0.455	0.107	0.026	2.0	0.2	36.0	35.0	26.6703	4.9299	10.5038	38.3345	27.8308	5.4099	3.7664	0.2	3.3849	4.0685	0.6835
11407866	420.0	276.0	725.0	2.967	0.449	0.116	0.021	4.0	0.4	36.0	35.0	26.3383	4.2846	12.6454	36.3098	23.6644	6.1472	2.7614	0.1112	2.5774	3.197	0.6196
11574123	378.0	247.0	541.0	2.618	0.453	0.15	0.039	5.0	0.6	36.0	35.0	26.1864	4.7861	10.5831	38.0934	27.5104	5.4714	3.1987	0.1479	2.7265	3.5198	0.7933
16684978	364.0	243.0	624.0	2.86	0.364	0.115	0.025	3.0	0.3	36.0	35.0	26.3854	4.78	10.1476	36.4878	26.3402	5.5199	2.8913	0.0883	2.6658	3.0705	0.4048
25354225	420.0	276.0	661.0	2.938	0.44	0.118	0.028	3.0	0.4	36.0	35.0	28.281	5.4212	11.3836	48.8366	37.453	5.2167	2.7912	0.153	2.4622	3.0943	0.6321
25811472	413.0	279.0	632.0	2.893	0.45	0.117	0.022	4.0	0.4	36.0	35.0	26.2772	4.5162	11.4563	37.2779	25.8217	5.8184	3.2171	0.1238	2.7082	3.3906	0.6824
27876862	281.0	191.0	533.0	2.9	0.384	0.115	0.025	2.0	0.3	36.0	35.0	27.9508	3.9461	12.1338	36.1664	24.0326	7.0831	2.6481	0.105	2.3764	2.8107	0.4343
29811890	521.0	340.0	834.0	2.769	0.471	0.13	0.032	5.0	0.7	36.0	35.0	28.2503	4.5668	14.9635	40.6782	25.7147	6.186	2.941	0.2064	2.7182	3.3043	0.5861
31361606	276.0	185.0	376.0	2.411	0.46	0.121	0.022	2.0	0.3	36.0	35.0	25.8975	4.444	13.5297	38.0038	24.4741	5.8275	2.4498	0.0535	2.2464	2.5311	0.2847
