participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	182.0	164.0	505.0	2.513	0.367	0.098	0.011	1.0	0.1	59.0	58.0	25.3841	3.8182	15.6958	34.9284	19.2326	6.6481	1.9985	0.0366	1.9259	2.1141	0.1882
8454119	201.0	149.0	554.0	2.663	0.546	0.161	0.018	4.0	0.2	59.0	58.0	23.1217	6.6056	7.0253	38.1451	31.1198	3.5003	2.3102	0.047	2.2261	2.5018	0.2757
11407866	317.0	229.0	769.0	3.055	0.935	0.149	0.021	5.0	0.3	59.0	58.0	25.7172	6.3172	5.5965	38.0382	32.4416	4.071	1.9986	0.0398	1.9035	2.12	0.2165
11574123	151.0	105.0	322.0	2.493	0.413	0.175	0.018	3.0	0.1	59.0	58.0	24.9722	4.0308	14.6905	33.7224	19.0319	6.1954	1.9005	0.0338	1.8403	1.9869	0.1465
16684978	146.0	99.0	301.0	3.071	0.394	0.138	0.013	2.0	0.1	59.0	58.0	29.5709	5.2357	9.8572	40.78	30.9228	5.6479	1.8929	0.0576	1.8137	2.0266	0.213
25354225	209.0	137.0	377.0	2.339	0.467	0.207	0.039	9.0	0.4	59.0	58.0	19.3493	7.0109	0.2543	35.149	34.8947	2.7599	1.9089	0.0309	1.8392	2.0012	0.162
25811472	178.0	124.0	520.0	3.053	0.349	0.147	0.021	3.0	0.1	59.0	58.0	25.3347	4.2184	13.2694	36.2721	23.0027	6.0057	2.1548	0.0499	2.0676	2.3066	0.239
27876862	141.0	112.0	366.0	2.495	0.512	0.149	0.018	2.0	0.1	59.0	58.0	24.3917	3.9532	15.1453	33.6115	18.4662	6.1702	1.8193	0.0357	1.7513	1.9054	0.154
29811890	201.0	137.0	538.0	2.728	0.688	0.154	0.024	4.0	0.2	59.0	58.0	23.0978	4.8858	10.8184	33.2648	22.4464	4.7275	2.1892	0.0863	2.0559	2.3421	0.2862
31361606	169.0	101.0	283.0	2.641	0.43	0.141	0.016	3.0	0.1	59.0	58.0	24.6081	4.8998	8.3579	38.0788	29.7209	5.0222	1.756	0.0405	1.7187	1.9874	0.2688
32938469	149.0	104.0	442.0	3.123	0.44	0.142	0.017	2.0	0.1	59.0	58.0	28.0195	3.5826	20.2164	36.5892	16.3728	7.821	2.0121	0.0507	1.9064	2.1843	0.2779
