participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1175.0	788.0	1229.0	1.946	0.411	0.133	0.033	11.0	1.5	54.0	53.0	17.8009	4.3871	1.2947	34.535	33.2403	4.0576	3.4255	0.7456	2.3074	5.3643	3.0569
8454119	1609.0	1077.0	2355.0	2.591	0.465	0.119	0.024	13.0	1.5	54.0	53.0	27.8541	5.5816	-4.6721	43.9794	48.6515	4.9903	3.7188	0.4328	2.7876	5.4215	2.6339
11407866	1133.0	748.0	1353.0	2.166	0.476	0.134	0.032	11.0	1.4	54.0	53.0	20.0536	4.3137	0.2708	37.5032	37.2324	4.6488	3.8216	0.7969	2.5336	6.0139	3.4803
11574123	1024.0	650.0	1047.0	1.967	0.449	0.137	0.038	11.0	1.3	54.0	53.0	21.0779	4.4862	2.581	35.1868	32.6059	4.6984	3.7662	0.7552	2.5391	5.4414	2.9024
16684978	994.0	661.0	854.0	1.719	0.357	0.172	0.056	16.0	2.3	54.0	53.0	19.3329	5.6689	-19.4959	36.1086	55.6045	3.4104	3.6577	0.6016	2.6584	4.9421	2.2837
25354225	1189.0	793.0	1318.0	2.169	0.523	0.139	0.04	12.0	1.9	54.0	53.0	20.142	5.5586	-14.7649	37.9126	52.6774	3.6236	3.9491	0.8773	2.3863	5.4768	3.0904
25811472	1195.0	792.0	1341.0	2.094	0.469	0.131	0.033	11.0	1.4	54.0	53.0	19.5736	4.568	1.4144	32.9804	31.566	4.285	3.8998	0.7584	2.6479	5.6179	2.97
27876862	973.0	614.0	1090.0	2.375	0.714	0.146	0.046	11.0	2.0	54.0	53.0	19.8468	5.2935	1.7673	39.8973	38.13	3.7493	3.358	0.5079	2.3624	4.1756	1.8132
29811890	1128.0	715.0	1264.0	2.038	0.617	0.128	0.032	11.0	1.5	54.0	53.0	20.8881	4.7491	5.7522	42.2878	36.5355	4.3983	3.7459	0.754	2.2166	5.582	3.3654
31361606	1110.0	721.0	1129.0	1.886	0.415	0.136	0.037	12.0	1.6	54.0	53.0	17.5842	5.493	-9.1164	40.831	49.9475	3.2012	3.4923	0.6815	2.3077	4.6855	2.3778
32938469	993.0	651.0	1030.0	1.87	0.449	0.146	0.035	12.0	1.2	54.0	53.0	20.2255	5.8875	-0.4999	35.9369	36.4368	3.4353	3.7532	0.7917	2.7121	5.6667	2.9547
36895554	1092.0	698.0	1108.0	2.028	0.449	0.143	0.043	12.0	1.6	54.0	53.0	18.782	5.0316	2.9271	35.1447	32.2176	3.7328	3.8276	0.7767	2.6323	5.36	2.7277
37329051	861.0	579.0	1002.0	1.962	0.518	0.137	0.027	8.0	0.9	54.0	53.0	22.7679	3.6516	11.4522	35.3495	23.8974	6.235	3.6633	0.592	2.7336	5.3646	2.631
37835493	1081.0	687.0	1038.0	1.794	0.445	0.142	0.05	15.0	2.4	54.0	53.0	17.3262	5.0815	-3.4409	35.6104	39.0513	3.4097	3.3127	0.577	2.4399	4.7828	2.3429
43606631	986.0	698.0	980.0	1.655	0.34	0.175	0.044	16.0	1.7	54.0	53.0	17.9211	4.6016	0.2081	30.2196	30.0115	3.8945	3.5677	0.6923	2.3981	4.729	2.3309
49408975	1113.0	713.0	1225.0	2.104	0.425	0.135	0.038	10.0	1.7	54.0	53.0	18.4313	4.5093	-1.29	33.1943	34.4844	4.0874	3.6996	0.6958	2.4924	5.2127	2.7203
51217255	1120.0	693.0	1149.0	1.972	0.433	0.125	0.034	11.0	1.5	54.0	53.0	19.2004	5.0668	-0.3453	39.4175	39.7628	3.7895	3.5291	0.7344	2.3806	5.0846	2.7039
52306425	1112.0	748.0	1328.0	2.113	0.564	0.138	0.034	11.0	1.4	54.0	53.0	18.8102	4.2632	5.511	31.9229	26.4119	4.4122	3.4181	0.7624	2.4428	5.278	2.8352
52835891	1027.0	681.0	1202.0	2.187	0.514	0.132	0.045	14.0	2.1	54.0	53.0	17.5072	5.0012	-3.1476	35.8246	38.9722	3.5006	3.3695	0.6768	2.4033	4.6991	2.2958
55710183	1264.0	798.0	1194.0	1.815	0.478	0.14	0.041	16.0	2.3	54.0	53.0	18.1133	5.1164	-3.6633	33.7056	37.3689	3.5403	3.7533	0.7575	2.4515	5.2214	2.7698
56162563	1217.0	782.0	1302.0	1.984	0.454	0.139	0.032	14.0	1.4	54.0	53.0	19.7154	4.8416	4.1041	34.5365	30.4324	4.0721	3.4581	0.7638	2.5314	5.2327	2.7013
60021964	1036.0	681.0	1199.0	2.009	0.589	0.136	0.032	10.0	1.2	54.0	53.0	20.3128	4.1046	6.7644	33.8055	27.0411	4.9488	3.7592	0.6462	2.5625	5.3996	2.8371
62582335	912.0	592.0	1015.0	2.045	0.406	0.142	0.035	10.0	1.2	54.0	53.0	19.5517	4.6856	1.8979	32.9595	31.0616	4.1727	3.3632	0.5746	2.4652	4.7901	2.3249
65198031	1119.0	743.0	1081.0	1.876	0.432	0.14	0.04	11.0	1.7	54.0	53.0	16.2468	5.2221	-6.4891	34.084	40.5731	3.1111	3.6264	0.6454	2.5363	5.2229	2.6866
70214854	956.0	637.0	989.0	1.949	0.466	0.13	0.03	9.0	1.3	54.0	53.0	20.1214	5.033	3.027	35.8585	32.8315	3.9979	3.3006	0.6181	2.3251	4.5626	2.2376
71851847	1131.0	761.0	1132.0	1.879	0.424	0.156	0.038	13.0	1.9	54.0	53.0	21.3379	4.8015	-19.5259	35.8872	55.4131	4.444	3.623	0.6457	2.5373	4.9382	2.4009
74920331	1162.0	755.0	1385.0	2.12	0.584	0.134	0.032	12.0	1.3	54.0	53.0	19.0077	4.2247	5.7184	35.3004	29.5821	4.4992	3.6593	0.6974	2.4045	4.9584	2.5539
77390767	1022.0	710.0	1227.0	2.074	0.522	0.135	0.034	9.0	1.4	54.0	53.0	19.0657	4.8677	3.153	36.0896	32.9366	3.9167	3.5663	0.8413	2.3816	5.3255	2.9438
78982423	1099.0	690.0	1042.0	1.915	0.382	0.14	0.036	11.0	1.6	54.0	53.0	19.6893	5.488	2.5051	40.892	38.3869	3.5877	3.6858	0.7015	2.4236	4.9864	2.5628
80982198	1010.0	663.0	1349.0	2.304	0.522	0.134	0.029	11.0	1.1	54.0	53.0	20.7502	4.8713	6.334	34.6179	28.2839	4.2596	3.838	0.8356	2.779	5.7566	2.9776
82699044	1317.0	856.0	1295.0	1.866	0.465	0.125	0.03	11.0	1.4	54.0	53.0	18.107	4.3653	4.4397	32.6851	28.2453	4.148	3.5557	0.7242	2.2874	5.254	2.9666
84407714	1001.0	661.0	1106.0	2.0	0.381	0.122	0.026	7.0	0.9	54.0	53.0	18.6022	4.1012	4.8802	36.9092	32.0289	4.5358	3.476	0.817	2.2184	5.0213	2.8029
86226939	1139.0	766.0	1271.0	1.996	0.492	0.121	0.027	9.0	1.1	54.0	53.0	17.328	4.5403	1.1964	31.6593	30.4629	3.8165	3.5082	0.7887	2.481	5.0647	2.5838
93800202	1018.0	639.0	990.0	1.929	0.436	0.132	0.04	15.0	1.7	54.0	53.0	19.6996	5.1384	-20.7424	39.918	60.6604	3.8338	3.5631	0.6833	2.5391	5.129	2.5899
97005004	1287.0	855.0	1409.0	2.029	0.445	0.137	0.029	13.0	1.4	54.0	53.0	21.9388	3.95	6.7561	35.36	28.6039	5.5541	4.2449	0.986	2.7109	5.8075	3.0966
100527940	981.0	644.0	1063.0	2.019	0.46	0.144	0.037	11.0	1.4	54.0	53.0	20.7085	6.0795	-1.5526	36.9177	38.4703	3.4063	3.9087	0.6585	2.7298	5.2334	2.5037
