participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	767.0	501.0	1604.0	2.584	0.403	0.129	0.033	12.0	1.0	76.0	75.0	20.5901	5.3699	5.4379	34.8081	29.3702	3.8344	4.4707	0.3162	3.528	4.9383	1.4103
8454119	1351.0	803.0	3385.0	3.148	0.563	0.117	0.037	18.0	2.2	76.0	75.0	21.8597	6.3652	0.2071	36.4958	36.2888	3.4342	4.8355	0.6102	3.4156	5.9619	2.5463
11407866	822.0	585.0	2177.0	2.933	0.522	0.124	0.027	11.0	0.8	76.0	75.0	22.891	5.5253	2.3306	36.6126	34.282	4.1429	4.7415	0.1713	3.9325	5.0828	1.1503
11574123	835.0	560.0	2157.0	3.083	0.593	0.125	0.028	11.0	0.8	76.0	75.0	22.9897	5.7543	4.5533	43.4621	38.9088	3.9952	3.9499	0.4723	2.6963	4.8293	2.133
16684978	727.0	490.0	1598.0	2.679	0.554	0.13	0.035	10.0	0.9	76.0	75.0	21.9863	5.4334	3.5335	38.6348	35.1013	4.0465	4.6038	0.1759	3.9833	4.9166	0.9334
25354225	707.0	452.0	1817.0	3.123	0.697	0.117	0.032	11.0	1.0	76.0	75.0	22.3096	7.2296	-2.0358	38.3387	40.3745	3.0859	4.4568	0.1265	3.931	4.7385	0.8075
25811472	1300.0	859.0	3211.0	2.936	0.514	0.133	0.032	24.0	1.4	76.0	75.0	22.2437	5.4628	2.4938	37.7158	35.222	4.0719	4.3523	0.5871	2.8773	5.2091	2.3318
27876862	640.0	411.0	1462.0	2.697	0.563	0.118	0.029	9.0	0.7	76.0	75.0	20.5103	3.9236	6.6289	28.8514	22.2225	5.2274	3.5707	0.1295	3.2347	3.8359	0.6012
29811890	913.0	551.0	2258.0	3.297	0.669	0.125	0.037	13.0	1.2	76.0	75.0	22.8095	7.9063	-7.5584	37.1255	44.6838	2.885	4.4416	0.5077	3.2991	5.2459	1.9468
31361606	710.0	450.0	1511.0	2.668	0.512	0.117	0.023	8.0	0.6	76.0	75.0	21.3648	5.2781	6.4529	36.6876	30.2347	4.0478	3.94	0.3444	3.046	4.4581	1.4122
32938469	933.0	594.0	2393.0	2.793	0.724	0.137	0.048	19.0	1.7	76.0	75.0	18.0784	7.6684	-21.3619	38.1134	59.4753	2.3575	4.7909	0.3766	3.7821	5.5302	1.7481
36895554	776.0	510.0	2214.0	3.243	0.617	0.124	0.03	11.0	1.0	76.0	75.0	22.4636	5.3425	7.3206	47.0278	39.7072	4.2047	4.1715	0.3254	3.6111	4.6116	1.0006
37329051	899.0	605.0	2519.0	3.137	0.453	0.126	0.027	14.0	1.0	76.0	75.0	21.8728	6.1663	3.025	40.2344	37.2094	3.5471	4.3955	0.3291	3.6787	5.1765	1.4979
37835493	864.0	580.0	1836.0	2.711	0.512	0.124	0.027	11.0	0.8	76.0	75.0	20.5983	5.2382	2.341	34.504	32.163	3.9324	4.1129	0.231	3.3577	4.474	1.1164
43606631	649.0	409.0	1291.0	2.624	0.49	0.134	0.03	8.0	0.8	76.0	75.0	20.3426	4.6035	1.2816	34.6266	33.345	4.4189	3.7906	0.1402	3.3828	4.1562	0.7735
