participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	751.0	401.0	1357.0	2.907	0.508	0.095	0.016	6.0	0.4	13.0	12.0	19.1193	4.7719	8.6557	32.1924	23.5367	4.0067	3.3448	0.054	3.2327	3.5529	0.3201
8454119	549.0	358.0	686.0	1.88	0.369	0.12	0.028	5.0	0.6	13.0	12.0	18.2295	4.7986	2.4845	31.1242	28.6398	3.7989	3.6473	0.0428	3.4819	3.7387	0.2567
11407866	751.0	482.0	1666.0	2.991	0.549	0.127	0.026	12.0	0.8	13.0	12.0	21.4619	6.0021	6.7279	33.9121	27.1842	3.5757	3.7059	0.0608	3.554	3.921	0.367
11574123	492.0	310.0	1397.0	3.24	0.439	0.126	0.028	7.0	0.5	13.0	12.0	19.0884	4.8577	8.4241	32.917	24.4929	3.9295	3.8598	0.0841	3.602	4.0555	0.4535
16684978	367.0	237.0	633.0	2.821	0.378	0.109	0.031	2.0	0.4	13.0	12.0	19.3666	5.5965	6.3095	37.4596	31.1501	3.4605	3.7092	0.0358	3.5544	3.7695	0.2151
25354225	699.0	396.0	1330.0	2.688	0.635	0.115	0.034	9.0	1.0	13.0	12.0	13.0461	7.0831	-6.717	31.5006	38.2176	1.8419	3.9496	0.1273	3.7093	4.2591	0.5497
25811472	696.0	416.0	1893.0	3.124	0.432	0.118	0.032	10.0	0.8	13.0	12.0	19.0872	4.9859	7.3418	33.7626	26.4208	3.8282	3.8431	0.0813	3.669	4.0226	0.3536
27876862	470.0	279.0	1131.0	3.05	0.672	0.145	0.047	10.0	0.9	13.0	12.0	19.9751	6.8147	-12.3161	36.499	48.8151	2.9312	3.5413	0.0927	3.4084	3.7531	0.3447
29811890	683.0	349.0	1190.0	2.982	0.533	0.099	0.026	7.0	0.6	13.0	12.0	18.572	7.4026	-1.5481	37.2467	38.7948	2.5089	3.741	0.1232	3.4817	3.9723	0.4906
31361606	490.0	342.0	965.0	2.619	0.459	0.102	0.016	4.0	0.3	13.0	12.0	20.0629	3.9151	7.8329	32.0049	24.172	5.1245	3.6398	0.1149	3.3292	3.8596	0.5304
32938469	367.0	251.0	881.0	2.811	0.496	0.117	0.03	5.0	0.3	13.0	12.0	19.8566	5.5931	3.4533	36.1245	32.6711	3.5502	3.856	0.1434	3.5243	4.1781	0.6538
36895554	650.0	427.0	1404.0	2.921	0.542	0.109	0.021	4.0	0.6	13.0	12.0	18.7001	5.1144	5.9462	35.1408	29.1946	3.6564	3.5593	0.1691	3.3488	4.0574	0.7086
37329051	383.0	275.0	1086.0	3.008	0.618	0.146	0.033	8.0	0.5	13.0	12.0	20.333	5.6827	2.5153	38.9837	36.4685	3.5781	3.7485	0.0899	3.5079	3.8854	0.3775
37835493	635.0	419.0	1461.0	2.831	0.496	0.102	0.017	5.0	0.5	13.0	12.0	18.6172	3.9138	6.2169	34.31	28.0932	4.7568	3.4718	0.1181	3.1699	3.6694	0.4995
43606631	496.0	287.0	641.0	2.236	0.491	0.122	0.035	4.0	0.8	13.0	12.0	15.9485	5.5902	4.1379	37.409	33.2712	2.853	3.5499	0.0847	3.3576	3.7427	0.3851
49408975	398.0	287.0	1182.0	3.084	0.617	0.133	0.021	6.0	0.4	13.0	12.0	17.5717	3.5589	7.6373	27.7994	20.1621	4.9374	3.6123	0.1338	3.1978	3.7919	0.5941
51217255	554.0	370.0	1452.0	2.957	0.591	0.122	0.025	8.0	0.5	13.0	12.0	20.0929	4.9506	8.7138	34.853	26.1392	4.0587	3.5558	0.1035	3.3089	3.8197	0.5107
52306425	571.0	289.0	1228.0	3.157	0.523	0.091	0.018	4.0	0.3	13.0	12.0	17.1305	4.7878	2.9135	31.4114	28.4978	3.578	3.5384	0.1472	3.2136	3.8083	0.5947
52835891	418.0	281.0	1292.0	3.238	0.691	0.136	0.03	6.0	0.5	13.0	12.0	19.6329	4.4513	8.5747	33.5333	24.9586	4.4106	3.6566	0.0956	3.4868	3.9288	0.442
55710183	643.0	411.0	1297.0	2.726	0.513	0.106	0.025	5.0	0.7	13.0	12.0	20.1669	5.1322	5.3075	36.4352	31.1277	3.9295	3.7706	0.087	3.4689	3.9695	0.5006
56162563	509.0	304.0	1261.0	3.053	0.42	0.115	0.023	6.0	0.4	13.0	12.0	20.1627	4.5609	8.5287	33.2659	24.7372	4.4208	3.5817	0.1271	3.3334	3.9111	0.5777
60021964	519.0	344.0	1406.0	3.063	0.609	0.11	0.02	6.0	0.4	13.0	12.0	19.1703	4.365	6.0763	33.1987	27.1223	4.3919	3.6708	0.0641	3.5092	3.8094	0.3002
62582335	350.0	235.0	1216.0	3.518	0.474	0.116	0.027	4.0	0.3	13.0	12.0	18.5079	4.298	8.0737	30.5176	22.4439	4.3062	3.3393	0.0698	3.2045	3.4591	0.2546
65198031	704.0	401.0	1605.0	3.062	0.679	0.107	0.029	7.0	0.9	13.0	12.0	15.2905	5.4532	3.3403	32.9515	29.6112	2.8039	3.5641	0.0792	3.4567	3.9257	0.469
70214854	488.0	311.0	1214.0	2.98	0.512	0.134	0.028	6.0	0.6	13.0	12.0	22.0956	4.2365	11.4738	34.6714	23.1976	5.2156	3.4078	0.0935	3.1962	3.6785	0.4823
71851847	554.0	376.0	1149.0	2.995	0.471	0.121	0.02	4.0	0.5	13.0	12.0	24.7266	5.2446	11.322	38.0712	26.7492	4.7147	3.651	0.075	3.5026	3.8555	0.353
74920331	539.0	358.0	1439.0	3.178	0.446	0.119	0.02	5.0	0.4	13.0	12.0	22.8127	4.0989	10.9941	34.6957	23.7016	5.5655	3.6471	0.084	3.3922	3.8139	0.4217
77390767	633.0	389.0	1452.0	3.117	0.557	0.129	0.032	7.0	0.8	13.0	12.0	20.5606	6.0968	6.7809	36.6643	29.8834	3.3723	3.4783	0.1704	3.226	3.849	0.623
78982423	568.0	330.0	872.0	2.687	0.599	0.11	0.024	4.0	0.6	13.0	12.0	18.0718	6.5219	5.0518	38.2674	33.2156	2.7709	3.7099	0.1007	3.5608	3.9955	0.4347
80982198	574.0	396.0	1224.0	2.963	0.465	0.108	0.019	5.0	0.4	13.0	12.0	23.0403	5.2336	10.7411	46.7433	36.0022	4.4024	3.9148	0.0585	3.7678	4.02	0.2521
82699044	698.0	334.0	1539.0	3.258	0.507	0.097	0.033	8.0	0.9	13.0	12.0	15.1085	5.2774	-6.5861	31.4442	38.0303	2.8628	3.7208	0.1489	3.4129	4.0725	0.6596
84407714	492.0	339.0	1402.0	3.107	0.471	0.142	0.029	7.0	0.6	13.0	12.0	19.9296	5.0325	6.0561	35.0232	28.9672	3.9602	3.662	0.1238	3.4435	3.8992	0.4557
86226939	446.0	263.0	1245.0	3.655	0.5	0.112	0.027	5.0	0.4	13.0	12.0	17.0563	4.8651	8.1585	33.0025	24.844	3.5058	3.7146	0.1757	3.3732	4.1097	0.7365
