participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	593.0	403.0	1132.0	2.399	0.443	0.125	0.022	6.0	0.6	40.0	39.0	21.1034	3.4133	11.5001	29.965	18.4649	6.1827	2.5628	0.0988	2.4393	2.8387	0.3994
8454119	471.0	334.0	954.0	2.327	0.461	0.131	0.037	13.0	0.6	40.0	39.0	24.1297	7.5828	-11.4569	41.3068	52.7638	3.1822	3.2748	0.1314	3.0801	3.5702	0.4901
11407866	495.0	331.0	987.0	2.431	0.597	0.115	0.025	6.0	0.4	40.0	39.0	25.6514	7.1058	4.4879	38.5512	34.0633	3.6099	2.7088	0.1047	2.5837	2.9422	0.3585
11574123	384.0	272.0	699.0	2.173	0.64	0.147	0.044	12.0	0.6	40.0	39.0	22.9792	4.916	3.978	36.3978	32.4198	4.6744	2.681	0.0787	2.5732	2.9109	0.3378
16684978	430.0	297.0	827.0	2.298	0.633	0.156	0.037	8.0	0.6	40.0	39.0	22.4204	5.2562	6.2953	42.3263	36.0311	4.2655	2.844	0.0918	2.6969	3.0941	0.3972
25354225	447.0	310.0	1162.0	2.817	0.659	0.143	0.036	8.0	0.6	40.0	39.0	22.4735	7.7459	-23.6953	39.5743	63.2696	2.9013	2.6013	0.1296	2.4185	2.9453	0.5268
25811472	570.0	379.0	1155.0	2.535	0.6	0.121	0.02	9.0	0.5	40.0	39.0	24.6719	3.8314	11.2689	34.5103	23.2414	6.4394	2.8671	0.1577	2.5986	3.3826	0.784
27876862	372.0	264.0	648.0	2.065	0.635	0.154	0.041	7.0	0.7	40.0	39.0	21.5134	5.3032	-6.6331	33.0914	39.7245	4.0567	2.4369	0.0866	2.3506	2.6995	0.349
29811890	541.0	358.0	1070.0	2.545	0.5	0.146	0.027	8.0	0.6	40.0	39.0	24.159	4.7619	9.3478	40.188	30.8402	5.0734	2.3767	0.0821	2.2288	2.6685	0.4397
31361606	364.0	254.0	670.0	2.264	0.494	0.151	0.04	7.0	0.6	40.0	39.0	21.7556	5.2108	6.7112	35.3861	28.6749	4.1751	2.5718	0.0695	2.3612	2.7246	0.3634
32938469	394.0	268.0	751.0	2.357	0.512	0.104	0.031	5.0	0.6	40.0	39.0	21.6413	6.4299	3.982	36.0204	32.0384	3.3657	2.9283	0.1255	2.7702	3.3135	0.5433
36895554	388.0	285.0	819.0	2.4	0.605	0.144	0.037	8.0	0.5	40.0	39.0	22.3769	5.1416	1.3844	37.8686	36.4842	4.3522	2.8961	0.1115	2.7108	3.2605	0.5497
37329051	334.0	248.0	655.0	2.081	0.565	0.146	0.028	9.0	0.3	40.0	39.0	22.0626	7.0526	-2.5537	35.6755	38.2292	3.1283	2.9462	0.1507	2.6419	3.246	0.6041
