participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	566.0	377.0	809.0	2.326	0.308	0.093	0.018	3.0	0.3	38.0	37.0	20.8668	3.6785	8.4546	32.5116	24.057	5.6727	2.4943	0.0781	2.2869	2.6171	0.3303
8454119	639.0	444.0	1400.0	2.784	0.488	0.127	0.029	7.0	0.8	38.0	37.0	23.9228	6.0494	-0.0374	36.9231	36.9605	3.9546	3.2396	0.2027	2.8811	3.6748	0.7937
11407866	530.0	350.0	785.0	2.551	0.464	0.088	0.013	2.0	0.2	38.0	37.0	25.9722	3.8345	13.4995	42.4275	28.9279	6.7732	2.5919	0.0395	2.4711	2.6426	0.1715
11574123	444.0	306.0	672.0	2.317	0.468	0.097	0.015	2.0	0.3	38.0	37.0	23.9036	4.4384	10.3899	38.4202	28.0303	5.3856	2.6883	0.0952	2.3849	2.8366	0.4517
16684978	452.0	310.0	635.0	2.296	0.437	0.115	0.02	3.0	0.3	38.0	37.0	22.6857	3.9132	8.2864	34.2383	25.9519	5.7972	2.6366	0.0885	2.3081	2.7962	0.4881
25354225	502.0	345.0	801.0	2.583	0.48	0.084	0.013	2.0	0.3	38.0	37.0	23.5646	4.1368	9.1891	38.0917	28.9026	5.6963	2.3985	0.0708	2.2005	2.5635	0.363
25811472	642.0	434.0	938.0	2.601	0.351	0.082	0.013	2.0	0.4	38.0	37.0	25.1864	3.8716	13.677	38.9043	25.2273	6.5054	2.6909	0.0936	2.4954	2.8361	0.3407
27876862	381.0	277.0	628.0	2.317	0.476	0.121	0.021	3.0	0.3	38.0	37.0	24.0544	3.7739	12.7721	35.8399	23.0678	6.3738	2.3705	0.0612	2.2398	2.4407	0.201
29811890	507.0	353.0	731.0	2.334	0.432	0.139	0.028	6.0	0.7	38.0	37.0	26.6326	5.6338	4.7698	41.9803	37.2105	4.7273	2.5127	0.0588	2.3663	2.5985	0.2323
31361606	453.0	305.0	554.0	2.145	0.257	0.086	0.012	1.0	0.2	38.0	37.0	22.2289	3.8906	10.8199	35.7418	24.9219	5.7134	2.3417	0.1559	2.067	2.7309	0.6639
