participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1094.0	732.0	2300.0	2.734	0.566	0.127	0.027	10.0	1.2	56.0	55.0	21.5846	4.628	4.3418	40.5655	36.2236	4.6639	2.4762	0.2812	2.0683	3.2039	1.1356
8454119	1558.0	1021.0	2398.0	2.046	0.645	0.132	0.034	26.0	2.4	56.0	55.0	19.1626	6.6977	-9.899	38.4827	48.3817	2.8611	2.8391	0.1236	2.6548	3.3889	0.734
11407866	1000.0	701.0	2460.0	2.928	0.504	0.129	0.026	12.0	0.9	56.0	55.0	26.3704	5.0634	8.8235	39.2265	30.403	5.208	2.6164	0.254	2.2956	3.1411	0.8455
11574123	751.0	546.0	1937.0	2.896	0.648	0.134	0.03	10.0	1.0	56.0	55.0	23.5866	5.2292	9.0896	39.5314	30.4418	4.5105	2.5583	0.2311	2.2487	3.0681	0.8194
16684978	816.0	565.0	1502.0	2.502	0.539	0.132	0.031	8.0	0.9	56.0	55.0	22.2655	5.4935	5.0503	40.1483	35.098	4.053	2.7837	0.2728	2.1985	3.2423	1.0438
25354225	852.0	573.0	2424.0	3.302	0.538	0.116	0.032	7.0	1.1	56.0	55.0	23.8479	4.5013	7.8527	37.3301	29.4774	5.298	2.5824	0.2683	2.0824	3.1404	1.058
25811472	1169.0	796.0	2853.0	2.978	0.52	0.117	0.025	11.0	1.2	56.0	55.0	22.8686	5.1708	6.8902	39.3631	32.4728	4.4227	2.8691	0.242	2.3904	3.5957	1.2053
27876862	804.0	556.0	1603.0	2.556	0.459	0.121	0.025	10.0	1.0	56.0	55.0	23.5715	5.4573	-4.7645	36.0032	40.7677	4.3192	2.433	0.142	2.0995	2.9088	0.8094
29811890	953.0	617.0	2035.0	2.834	0.63	0.12	0.029	12.0	1.1	56.0	55.0	21.6425	6.2562	-7.5857	42.4193	50.005	3.4593	2.5331	0.2718	2.0833	3.2322	1.1489
31361606	941.0	637.0	2481.0	3.173	0.529	0.134	0.029	10.0	1.0	56.0	55.0	22.0297	4.6191	8.8716	37.3958	28.5242	4.7693	2.5571	0.2607	2.006	3.1814	1.1755
32938469	932.0	616.0	1920.0	2.354	0.672	0.145	0.047	16.0	1.7	56.0	55.0	22.2802	7.643	0.9213	42.9823	42.061	2.9151	2.6795	0.1535	2.4211	3.0868	0.6657
36895554	977.0	650.0	2296.0	2.929	0.796	0.136	0.044	13.0	1.9	56.0	55.0	19.977	7.0429	-6.2825	36.545	42.8274	2.8365	2.6873	0.3077	2.1884	3.2066	1.0182
37329051	769.0	535.0	1656.0	2.72	0.725	0.127	0.03	9.0	0.8	56.0	55.0	25.7053	7.4523	4.0534	48.3409	44.2875	3.4493	2.691	0.1834	2.2977	3.1141	0.8164
37835493	836.0	585.0	2064.0	2.957	0.45	0.122	0.025	7.0	0.7	56.0	55.0	21.2714	4.7885	9.3334	37.0898	27.7564	4.4422	2.3394	0.2127	2.0436	2.9938	0.9502
43606631	961.0	624.0	1807.0	2.42	0.489	0.134	0.037	10.0	1.4	56.0	55.0	17.4178	5.1767	-15.884	34.1493	50.0334	3.3646	2.5813	0.2361	2.291	3.1523	0.8612
49408975	777.0	545.0	2118.0	3.156	0.373	0.129	0.026	8.0	0.7	56.0	55.0	22.1497	5.0226	9.4792	45.1254	35.6462	4.41	2.6279	0.2286	2.3016	3.0643	0.7627
51217255	1059.0	723.0	2277.0	2.78	0.465	0.113	0.022	9.0	0.9	56.0	55.0	22.7033	5.4775	8.4362	46.18	37.7438	4.1448	2.4232	0.1461	2.22	2.9175	0.6975
52306425	1282.0	846.0	2906.0	2.888	0.5	0.126	0.026	12.0	1.4	56.0	55.0	21.9181	5.2765	4.7406	45.5948	40.8542	4.1539	2.2938	0.1233	2.0974	2.7406	0.6432
52835891	859.0	593.0	2382.0	3.151	0.563	0.129	0.029	9.0	0.9	56.0	55.0	22.5268	5.6339	6.1846	43.0986	36.914	3.9984	2.3005	0.164	2.0418	2.7058	0.664
55710183	877.0	621.0	2079.0	2.679	0.656	0.14	0.033	13.0	1.1	56.0	55.0	20.9666	5.7407	-0.0171	39.3645	39.3816	3.6523	2.6531	0.1676	2.3761	3.2484	0.8723
56162563	931.0	660.0	2172.0	2.777	0.424	0.118	0.02	9.0	0.8	56.0	55.0	25.9725	5.4495	9.711	44.2804	34.5694	4.7661	2.4139	0.1227	2.1409	2.7856	0.6448
60021964	1045.0	736.0	2079.0	2.59	0.492	0.108	0.017	9.0	0.7	56.0	55.0	22.7327	5.0044	11.0199	39.3236	28.3037	4.5426	2.6215	0.2501	2.3145	3.2458	0.9313
62582335	779.0	540.0	2011.0	3.13	0.547	0.143	0.029	10.0	0.9	56.0	55.0	23.6369	5.4247	6.5158	37.7017	31.1859	4.3573	2.558	0.1575	2.2815	2.8631	0.5816
65198031	996.0	611.0	2210.0	2.868	0.604	0.12	0.031	8.0	1.4	56.0	55.0	13.6577	5.6414	-5.1009	31.9308	37.0317	2.421	2.6875	0.2655	2.2552	3.134	0.8788
70214854	728.0	517.0	1673.0	2.625	0.607	0.146	0.032	10.0	0.9	56.0	55.0	24.5421	5.4607	8.8963	41.2278	32.3316	4.4943	2.3817	0.2232	2.0888	2.9016	0.8128
71851847	875.0	594.0	2170.0	3.061	0.391	0.132	0.029	8.0	1.0	56.0	55.0	26.7754	5.9623	12.8538	45.3994	32.5456	4.4908	2.4725	0.2645	2.1105	3.084	0.9736
74920331	863.0	588.0	2048.0	3.02	0.633	0.131	0.025	10.0	0.8	56.0	55.0	24.8963	6.8395	6.8064	43.0268	36.2204	3.6401	2.3637	0.1571	2.051	2.8018	0.7508
77390767	828.0	524.0	1798.0	2.822	0.55	0.118	0.023	7.0	0.8	56.0	55.0	19.8684	4.8976	4.1145	35.5754	31.4608	4.0568	2.3159	0.1095	2.1033	2.5931	0.4898
78982423	832.0	522.0	1911.0	2.972	0.5	0.111	0.022	7.0	0.7	56.0	55.0	17.2971	4.5532	4.6357	33.1279	28.4922	3.7989	2.5869	0.2507	2.2167	3.0453	0.8286
80982198	923.0	631.0	2462.0	3.069	0.646	0.121	0.025	8.0	1.0	56.0	55.0	25.3779	5.0275	12.3448	45.0642	32.7194	5.0478	2.7014	0.211	2.3755	3.2588	0.8833
82699044	1303.0	870.0	2600.0	2.697	0.539	0.098	0.017	8.0	0.9	56.0	55.0	22.2133	4.5975	7.8806	39.2581	31.3775	4.8316	2.4098	0.1973	2.1378	3.2353	1.0974
84407714	785.0	554.0	1823.0	2.825	0.547	0.13	0.024	8.0	0.7	56.0	55.0	22.103	4.6941	3.0784	38.6999	35.6215	4.7087	2.5471	0.2978	2.0391	3.1923	1.1531
86226939	795.0	563.0	1937.0	2.827	0.562	0.117	0.019	7.0	0.6	56.0	55.0	19.399	4.965	3.1029	36.45	33.3471	3.9072	2.5059	0.1356	2.1943	2.8382	0.6438
93800202	863.0	573.0	2214.0	3.193	0.65	0.132	0.024	10.0	0.8	56.0	55.0	22.8139	4.3651	8.5585	36.9215	28.3631	5.2264	2.604	0.2259	2.1272	2.9944	0.8672
97005004	1323.0	897.0	3004.0	2.843	0.498	0.113	0.022	14.0	1.2	56.0	55.0	24.6412	5.2624	1.6674	39.8399	38.1725	4.6825	3.0048	0.2192	2.5652	3.7224	1.1572
100527940	1026.0	723.0	2768.0	3.037	0.698	0.127	0.031	11.0	1.3	56.0	55.0	26.2586	6.0677	-4.1607	43.8418	48.0026	4.3276	2.7039	0.1713	2.4294	3.2677	0.8383
103652366	881.0	584.0	1759.0	2.805	0.472	0.118	0.021	8.0	0.7	56.0	55.0	21.2167	5.6269	8.8403	37.4273	28.5869	3.7706	2.4481	0.1166	2.1975	2.8433	0.6458
105914514	810.0	595.0	2569.0	2.846	0.73	0.163	0.066	15.0	2.0	56.0	55.0	15.5646	6.5006	-1.0229	40.5902	41.6132	2.3943	2.9898	0.2381	2.7153	3.6728	0.9575
