participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	928.0	630.0	1558.0	2.278	0.464	0.13	0.023	12.0	0.9	43.0	42.0	21.9875	4.4476	10.4557	35.5048	25.0491	4.9437	2.8744	0.1406	2.6352	3.1383	0.5031
8454119	566.0	390.0	807.0	2.18	0.349	0.112	0.026	5.0	0.6	43.0	42.0	29.4682	4.6779	8.5502	41.5629	33.0127	6.2994	3.3795	0.1607	3.0329	3.6186	0.5858
11407866	800.0	549.0	1712.0	2.578	0.563	0.13	0.026	11.0	1.0	43.0	42.0	26.3786	4.9281	7.2579	37.158	29.9001	5.3527	2.9383	0.101	2.66	3.2245	0.5645
11574123	705.0	462.0	1632.0	2.482	0.845	0.121	0.027	9.0	0.7	43.0	42.0	26.3075	4.9904	10.8632	40.6105	29.7473	5.2716	2.8775	0.103	2.6527	3.2143	0.5616
16684978	681.0	485.0	1570.0	2.553	0.516	0.154	0.027	11.0	0.8	43.0	42.0	24.2117	4.7122	10.4966	41.0317	30.5351	5.1381	3.2123	0.1096	2.9458	3.4272	0.4814
25354225	639.0	440.0	1170.0	2.371	0.475	0.112	0.024	5.0	0.6	43.0	42.0	25.5221	4.7858	-7.423	36.245	43.6679	5.3328	2.9409	0.0951	2.6399	3.1312	0.4912
25811472	692.0	477.0	1800.0	2.934	0.632	0.149	0.046	17.0	1.2	43.0	42.0	23.9051	6.593	0.9607	41.2364	40.2757	3.6258	3.2493	0.225	2.8623	3.7462	0.8839
27876862	471.0	334.0	1361.0	2.959	0.493	0.163	0.033	9.0	0.6	43.0	42.0	24.5455	4.7836	12.3518	38.4665	26.1148	5.1311	2.5926	0.0791	2.4141	2.7486	0.3345
29811890	626.0	415.0	1339.0	2.559	0.472	0.134	0.027	9.0	0.7	43.0	42.0	26.3982	5.1557	13.7972	39.9897	26.1925	5.1202	2.8781	0.2585	2.3428	3.3746	1.0318
31361606	467.0	355.0	1039.0	2.352	0.609	0.163	0.037	10.0	0.7	43.0	42.0	22.5667	4.6528	4.3597	34.8319	30.4723	4.8502	2.9089	0.1434	2.5796	3.1618	0.5822
