participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	979.0	654.0	2045.0	2.52	0.541	0.13	0.031	13.0	1.2	46.0	45.0	22.1238	4.6875	5.5545	36.2309	30.6764	4.7198	2.8346	0.1304	2.4735	3.1884	0.7149
8454119	506.0	341.0	1384.0	2.87	0.567	0.132	0.037	10.0	0.6	46.0	45.0	24.5244	6.6377	2.9297	38.9085	35.9788	3.6947	3.5723	0.17	3.2431	3.9908	0.7477
11407866	702.0	462.0	1512.0	2.845	0.606	0.11	0.022	7.0	0.6	46.0	45.0	26.5652	5.627	4.5076	41.1687	36.6611	4.721	2.8126	0.107	2.6204	2.9762	0.3559
11574123	572.0	427.0	1426.0	2.528	0.63	0.16	0.038	13.0	0.9	46.0	45.0	24.0153	6.1025	6.5278	41.1476	34.6198	3.9354	2.8942	0.1265	2.6757	3.1921	0.5164
16684978	647.0	454.0	1342.0	2.48	0.566	0.133	0.03	10.0	0.8	46.0	45.0	23.6346	5.507	4.9258	42.9807	38.0549	4.2917	3.0106	0.1196	2.7829	3.3216	0.5387
25354225	604.0	408.0	1683.0	3.023	0.556	0.147	0.039	13.0	0.8	46.0	45.0	23.6834	6.2418	1.816	40.5867	38.7707	3.7943	2.7848	0.1296	2.516	3.1321	0.616
25811472	806.0	560.0	1684.0	2.531	0.686	0.138	0.051	15.0	2.0	46.0	45.0	22.3289	6.9979	-21.8608	38.3887	60.2496	3.1908	2.9812	0.1365	2.6273	3.2385	0.6112
27876862	561.0	415.0	1337.0	2.763	0.72	0.164	0.045	10.0	1.2	46.0	45.0	24.3016	6.697	1.9044	41.8801	39.9757	3.6287	2.5388	0.093	2.391	2.7367	0.3457
29811890	645.0	479.0	1405.0	2.437	0.56	0.135	0.045	25.0	0.7	46.0	45.0	26.3668	5.966	-13.6367	41.1272	54.7639	4.4195	2.4894	0.0818	2.2957	2.7566	0.4609
31361606	455.0	321.0	1129.0	2.585	0.688	0.142	0.035	9.0	0.7	46.0	45.0	22.5813	4.5885	8.7907	38.5042	29.7135	4.9212	2.7679	0.1164	2.5585	3.0225	0.4641
32938469	666.0	462.0	1962.0	2.68	0.84	0.168	0.064	19.0	2.0	46.0	45.0	21.8756	7.9116	-3.7539	44.3056	48.0595	2.765	3.0864	0.1444	2.8337	3.3073	0.4737
36895554	612.0	425.0	1719.0	2.889	0.514	0.143	0.034	9.0	0.7	46.0	45.0	21.8554	4.9679	4.3034	37.683	33.3797	4.3993	2.8379	0.083	2.6891	3.0552	0.3661
37329051	577.0	387.0	1139.0	2.484	0.557	0.144	0.049	13.0	1.3	46.0	45.0	27.7801	8.2935	-27.5534	43.5336	71.087	3.3496	3.1588	0.0781	2.826	3.3966	0.5706
37835493	771.0	543.0	1427.0	2.204	0.546	0.153	0.044	17.0	1.5	46.0	45.0	21.9451	6.6873	-7.8966	40.2713	48.168	3.2816	2.8468	0.0887	2.6125	2.9641	0.3517
43606631	605.0	403.0	1104.0	2.303	0.467	0.136	0.027	10.0	0.7	46.0	45.0	21.7347	5.4418	0.6643	37.8544	37.1901	3.994	2.7169	0.0737	2.5657	2.8524	0.2867
49408975	545.0	384.0	1603.0	2.894	0.577	0.155	0.038	9.0	0.8	46.0	45.0	21.1472	4.5835	9.2887	34.5398	25.2511	4.6137	2.6764	0.1253	2.4739	2.9917	0.5178
51217255	566.0	395.0	1392.0	2.608	0.737	0.137	0.041	9.0	1.0	46.0	45.0	23.4136	6.3238	0.0946	40.3399	40.2453	3.7025	2.6989	0.0905	2.4407	2.9622	0.5215
52306425	698.0	469.0	1234.0	2.283	0.411	0.13	0.026	10.0	0.6	46.0	45.0	21.2964	4.9773	7.1825	38.7883	31.6057	4.2787	2.865	0.1982	2.5668	3.3176	0.7508
52835891	500.0	343.0	1454.0	2.902	0.626	0.142	0.034	10.0	0.7	46.0	45.0	21.8295	6.0847	-5.2932	40.3905	45.6837	3.5876	2.8069	0.1327	2.5415	3.0322	0.4907
55710183	647.0	446.0	1124.0	2.328	0.399	0.134	0.031	10.0	0.9	46.0	45.0	23.7784	6.1536	7.6428	39.08	31.4372	3.8642	2.7383	0.1408	2.4938	3.0139	0.5201
56162563	618.0	443.0	1612.0	2.783	0.519	0.167	0.046	12.0	1.4	46.0	45.0	24.4261	6.3669	-0.5817	40.1584	40.7401	3.8364	2.8418	0.1243	2.6053	3.0698	0.4644
60021964	576.0	418.0	1624.0	2.93	0.65	0.142	0.031	10.0	0.8	46.0	45.0	24.784	5.5322	5.6019	40.3685	34.7667	4.4799	2.885	0.1263	2.6103	3.0407	0.4304
62582335	608.0	426.0	1471.0	2.773	0.585	0.158	0.038	11.0	1.0	46.0	45.0	22.0125	6.0668	6.0757	38.0697	31.994	3.6283	2.6826	0.0947	2.4525	2.8791	0.4265
65198031	564.0	391.0	1180.0	2.421	0.579	0.138	0.037	10.0	0.7	46.0	45.0	22.1036	5.0964	9.7596	35.0016	25.2419	4.3371	2.8648	0.0478	2.7224	3.0423	0.3199
70214854	581.0	435.0	1288.0	2.278	0.652	0.154	0.04	11.0	1.0	46.0	45.0	23.8514	5.1365	5.5474	39.3764	33.829	4.6435	2.5368	0.0451	2.4351	2.6367	0.2016
71851847	720.0	521.0	1361.0	2.451	0.463	0.155	0.045	15.0	1.3	46.0	45.0	26.059	6.7402	0.4252	44.8285	44.4034	3.8662	2.8784	0.1209	2.6407	3.1407	0.5001
74920331	935.0	620.0	1596.0	2.264	0.447	0.119	0.025	12.0	1.1	46.0	45.0	23.9546	5.2653	5.4851	40.5806	35.0955	4.5495	2.4971	0.0622	2.3469	2.6597	0.3128
77390767	547.0	377.0	1061.0	2.357	0.486	0.152	0.035	11.0	0.7	46.0	45.0	21.8022	6.0899	4.009	37.5086	33.4996	3.5801	2.5938	0.0678	2.4745	2.7139	0.2394
78982423	688.0	439.0	1534.0	2.616	0.557	0.148	0.036	12.0	1.1	46.0	45.0	22.7836	5.696	5.7047	40.5891	34.8845	3.9999	2.785	0.108	2.5394	2.9921	0.4527
80982198	851.0	562.0	1461.0	2.39	0.33	0.098	0.018	8.0	0.6	46.0	45.0	23.6886	5.1801	4.3546	36.0	31.6454	4.573	3.193	0.1254	2.829	3.4056	0.5766
82699044	794.0	516.0	1658.0	2.511	0.468	0.139	0.03	14.0	1.0	46.0	45.0	21.0598	6.0919	4.3696	38.4209	34.0513	3.457	2.6022	0.1042	2.421	2.7825	0.3615
84407714	538.0	357.0	1432.0	2.876	0.496	0.14	0.033	10.0	0.7	46.0	45.0	21.7937	5.3049	-0.1089	36.2417	36.3507	4.1082	2.543	0.1053	2.349	2.8859	0.5369
