participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	494.0	335.0	908.0	2.441	0.403	0.137	0.029	7.0	0.5	47.0	46.0	20.91	4.9218	-0.6307	34.2443	34.875	4.2485	3.1987	0.0585	3.0352	3.3897	0.3545
8454119	334.0	200.0	919.0	3.083	0.505	0.125	0.026	7.0	0.3	47.0	46.0	22.859	7.6508	6.3859	46.456	40.0701	2.9878	3.6053	0.0965	3.3626	3.8011	0.4386
11407866	376.0	253.0	948.0	2.585	0.575	0.153	0.033	8.0	0.6	47.0	46.0	20.4358	6.6899	-12.2653	33.7013	45.9665	3.0547	3.0238	0.0995	2.8174	3.2026	0.3852
11574123	338.0	238.0	959.0	2.83	0.431	0.168	0.042	7.0	0.6	47.0	46.0	23.8285	5.2306	4.9186	39.5466	34.628	4.5556	3.0956	0.0614	2.9429	3.2567	0.3138
16684978	320.0	215.0	671.0	2.457	0.473	0.138	0.025	5.0	0.3	47.0	46.0	22.0352	4.3493	11.2549	36.4041	25.1492	5.0664	3.2278	0.0504	3.0718	3.3428	0.271
25354225	302.0	216.0	739.0	2.924	0.567	0.121	0.027	4.0	0.4	47.0	46.0	24.1479	5.4862	8.6638	37.2982	28.6344	4.4016	3.1496	0.0632	2.969	3.2817	0.3127
25811472	460.0	300.0	1009.0	2.766	0.697	0.122	0.028	5.0	0.5	47.0	46.0	21.8035	5.5615	2.5049	35.3913	32.8864	3.9204	3.2258	0.0715	2.9644	3.3279	0.3636
27876862	318.0	220.0	915.0	3.22	0.377	0.176	0.043	8.0	0.5	47.0	46.0	22.5071	4.5853	4.1508	32.9085	28.7577	4.9086	2.7687	0.0636	2.6127	2.8676	0.2549
29811890	372.0	223.0	880.0	3.081	0.436	0.154	0.037	7.0	0.6	47.0	46.0	25.0763	5.4088	9.7434	43.4998	33.7563	4.6362	2.8456	0.1318	2.4863	3.1273	0.641
31361606	385.0	264.0	656.0	2.31	0.579	0.137	0.027	6.0	0.4	47.0	46.0	23.6004	4.603	12.0244	36.9969	24.9726	5.1272	2.9117	0.0227	2.843	2.9827	0.1396
32938469	410.0	268.0	746.0	2.461	0.72	0.135	0.029	4.0	0.6	47.0	46.0	24.2963	5.8469	10.4789	40.4658	29.9869	4.1554	3.3369	0.0934	3.1806	3.5289	0.3483
36895554	404.0	299.0	996.0	2.679	0.523	0.156	0.035	9.0	0.6	47.0	46.0	21.2554	5.3737	3.4534	36.8615	33.4081	3.9554	3.087	0.087	2.8719	3.2465	0.3745
37329051	355.0	253.0	926.0	2.702	0.724	0.132	0.027	6.0	0.4	47.0	46.0	27.1186	7.6227	4.9129	43.904	38.9911	3.5576	3.4458	0.0561	3.2349	3.5377	0.3029
37835493	380.0	259.0	917.0	2.707	0.606	0.136	0.026	5.0	0.4	47.0	46.0	22.5987	4.4894	7.9225	36.9075	28.9849	5.0338	2.9937	0.0397	2.8386	3.0709	0.2323
43606631	280.0	205.0	644.0	2.474	0.421	0.136	0.022	4.0	0.2	47.0	46.0	21.4791	4.6632	8.1699	34.8393	26.6693	4.6061	2.8652	0.0422	2.7716	2.9527	0.1811
49408975	342.0	214.0	965.0	3.23	0.529	0.145	0.032	7.0	0.4	47.0	46.0	21.9803	5.3383	5.1254	38.1752	33.0498	4.1175	2.9931	0.059	2.8223	3.0905	0.2681
51217255	377.0	253.0	755.0	2.415	0.6	0.116	0.026	4.0	0.4	47.0	46.0	26.0706	5.6109	7.836	45.8996	38.0636	4.6464	3.0296	0.0475	2.8332	3.1457	0.3125
52306425	397.0	271.0	883.0	2.546	0.556	0.141	0.024	5.0	0.4	47.0	46.0	23.0596	4.4485	12.9356	37.738	24.8024	5.1837	3.1644	0.105	2.9062	3.3821	0.4759
52835891	271.0	195.0	545.0	2.505	0.483	0.108	0.022	3.0	0.2	47.0	46.0	22.755	5.1969	8.9518	34.742	25.7901	4.3786	2.9959	0.0392	2.9186	3.1499	0.2313
55710183	319.0	205.0	732.0	2.656	0.344	0.149	0.043	8.0	0.5	47.0	46.0	22.1482	4.4013	9.0039	34.3655	25.3616	5.0322	2.9305	0.0804	2.7678	3.1531	0.3853
56162563	322.0	217.0	771.0	2.682	0.447	0.134	0.026	5.0	0.3	47.0	46.0	23.6747	4.8405	9.8945	36.3305	26.436	4.891	3.0776	0.0294	2.9997	3.1472	0.1475
60021964	397.0	243.0	1030.0	2.959	0.481	0.139	0.041	8.0	0.6	47.0	46.0	20.0188	5.4475	7.1794	32.7842	25.6048	3.6749	3.108	0.0765	2.9525	3.3071	0.3546
62582335	374.0	245.0	719.0	2.563	0.498	0.114	0.02	4.0	0.3	47.0	46.0	21.4079	5.7792	4.97	36.6796	31.7095	3.7043	2.8919	0.0451	2.7775	2.9912	0.2137
65198031	379.0	282.0	656.0	2.292	0.434	0.152	0.029	4.0	0.5	47.0	46.0	23.291	4.6043	7.8509	35.7431	27.8922	5.0586	2.9936	0.0503	2.8268	3.0783	0.2515
70214854	311.0	220.0	619.0	2.375	0.435	0.148	0.024	5.0	0.3	47.0	46.0	24.4787	3.395	10.0595	32.4289	22.3693	7.2102	2.6627	0.0602	2.5064	2.7859	0.2794
71851847	313.0	215.0	666.0	2.786	0.553	0.137	0.034	5.0	0.4	47.0	46.0	22.971	6.287	4.5576	43.0599	38.5023	3.6537	3.2154	0.0377	3.0868	3.2931	0.2063
74920331	435.0	294.0	985.0	2.642	0.449	0.155	0.034	7.0	0.6	47.0	46.0	25.0601	5.678	10.4223	38.0406	27.6183	4.4135	2.7094	0.1307	2.3863	2.9621	0.5758
77390767	464.0	292.0	907.0	2.396	0.509	0.15	0.034	8.0	0.6	47.0	46.0	19.782	4.7706	7.3065	35.5435	28.237	4.1467	2.8334	0.0763	2.6788	3.0016	0.3228
78982423	385.0	253.0	867.0	2.736	0.582	0.116	0.022	4.0	0.4	47.0	46.0	21.7831	4.5454	8.9638	37.6413	28.6775	4.7923	2.9949	0.0601	2.8464	3.1269	0.2805
80982198	480.0	312.0	1060.0	2.73	0.599	0.146	0.036	10.0	0.5	47.0	46.0	21.1284	5.3229	8.236	35.3472	27.1111	3.9694	3.3415	0.0924	3.0365	3.478	0.4414
82699044	446.0	298.0	633.0	2.167	0.378	0.144	0.026	5.0	0.5	47.0	46.0	24.4699	4.1854	13.0606	37.8518	24.7912	5.8465	2.7715	0.045	2.6899	2.8556	0.1657
84407714	328.0	220.0	715.0	2.63	0.518	0.127	0.02	4.0	0.3	47.0	46.0	22.0399	4.6409	10.8235	33.9174	23.0939	4.749	2.7271	0.0343	2.6488	2.8012	0.1524
86226939	390.0	271.0	616.0	2.164	0.343	0.12	0.026	5.0	0.4	47.0	46.0	19.3936	4.7715	6.8306	30.7976	23.967	4.0645	2.9774	0.0364	2.8773	3.0516	0.1743
93800202	308.0	197.0	488.0	2.168	0.638	0.089	0.018	3.0	0.1	47.0	46.0	20.7118	4.6049	6.0521	32.7955	26.7435	4.4978	2.8938	0.024	2.8101	2.95	0.1399
97005004	532.0	359.0	1175.0	2.537	0.583	0.108	0.023	7.0	0.6	47.0	46.0	25.0334	5.0974	8.9268	38.3336	29.4067	4.911	3.2349	0.0688	3.0355	3.3587	0.3232
100527940	393.0	257.0	1195.0	3.245	0.602	0.162	0.051	7.0	0.8	47.0	46.0	18.4921	6.0236	-0.8316	36.966	37.7976	3.07	3.1099	0.1166	2.9457	3.3665	0.4208
103652366	293.0	198.0	500.0	2.222	0.507	0.128	0.022	3.0	0.3	47.0	46.0	22.7274	5.0177	7.4648	36.6902	29.2255	4.5295	2.7993	0.0369	2.696	2.8731	0.1772
105914514	335.0	239.0	559.0	2.073	0.412	0.159	0.041	5.0	0.5	47.0	46.0	19.0001	6.2911	-1.202	35.945	37.147	3.0201	3.0881	0.0483	2.9659	3.1654	0.1995
107578676	325.0	227.0	890.0	2.917	0.597	0.123	0.025	4.0	0.3	47.0	46.0	24.9335	6.3723	6.4168	39.9838	33.567	3.9128	3.4846	0.089	3.3417	3.6478	0.3061
108828000	345.0	241.0	759.0	2.595	0.49	0.112	0.02	3.0	0.3	47.0	46.0	23.2661	4.4819	9.0118	38.9533	29.9415	5.1911	2.9298	0.0615	2.7672	3.0289	0.2617
113335479	436.0	310.0	1003.0	2.595	0.6	0.116	0.041	6.0	0.6	47.0	46.0	19.3222	6.1643	2.6192	35.0972	32.4781	3.1346	3.1368	0.0685	2.8579	3.2876	0.4296
115784129	619.0	360.0	918.0	2.257	0.594	0.128	0.04	7.0	1.0	47.0	46.0	18.9449	6.6838	-2.9079	40.4434	43.3512	2.8345					
