participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	634.0	398.0	1147.0	2.348	0.505	0.121	0.026	7.0	0.8	30.0	29.0	20.2899	4.2595	6.905	33.0593	26.1543	4.7634	3.0817	0.0933	2.8668	3.2459	0.379
8454119	320.0	211.0	794.0	2.838	0.472	0.16	0.045	9.0	0.5	30.0	29.0	22.5836	6.6917	4.4608	39.4139	34.9531	3.3749	3.9624	0.1523	3.695	4.2474	0.5524
11407866	313.0	224.0	1187.0	3.204	0.546	0.176	0.047	11.0	0.5	30.0	29.0	21.599	5.6973	-0.7925	34.4549	35.2474	3.7911	2.9004	0.0763	2.7344	3.0563	0.3219
11574123	356.0	254.0	737.0	2.306	0.549	0.133	0.028	4.0	0.5	30.0	29.0	23.3926	5.0355	7.5722	35.9444	28.3722	4.6455	3.209	0.043	3.038	3.3435	0.3055
16684978	318.0	231.0	646.0	2.397	0.432	0.148	0.03	5.0	0.4	30.0	29.0	21.965	5.644	3.7275	34.8493	31.1218	3.8918	3.0707	0.075	2.8223	3.1646	0.3423
25354225	295.0	188.0	757.0	2.833	0.6	0.109	0.033	4.0	0.5	30.0	29.0	22.6821	6.012	7.1924	39.5975	32.4051	3.7728	2.9666	0.103	2.8307	3.2221	0.3914
25811472	449.0	311.0	1308.0	3.007	0.633	0.161	0.049	9.0	0.8	30.0	29.0	20.3116	6.4682	-2.8295	36.4293	39.2587	3.1402	3.1458	0.0904	2.9136	3.354	0.4404
27876862	334.0	232.0	830.0	2.992	0.614	0.147	0.025	5.0	0.4	30.0	29.0	22.7569	5.6901	4.0179	38.8486	34.8307	3.9994	2.7568	0.0456	2.5951	2.8514	0.2563
29811890	370.0	277.0	823.0	2.632	0.519	0.115	0.02	3.0	0.4	30.0	29.0	25.2864	6.3898	7.4818	45.5269	38.0451	3.9573	2.7148	0.0715	2.5244	2.9433	0.419
31361606	289.0	207.0	688.0	2.575	0.507	0.15	0.038	5.0	0.5	30.0	29.0	19.8493	5.6915	4.3159	34.4021	30.0862	3.4875	2.8019	0.0615	2.6692	2.9474	0.2782
32938469	315.0	207.0	730.0	2.573	0.488	0.156	0.055	9.0	0.6	30.0	29.0	22.9114	7.0893	2.4689	39.71	37.241	3.2318	3.1788	0.0926	2.9887	3.3399	0.3511
36895554	372.0	270.0	989.0	3.073	0.563	0.117	0.018	4.0	0.3	30.0	29.0	21.0684	4.9103	6.2554	33.3387	27.0834	4.2906	2.8757	0.0781	2.7656	3.0787	0.3132
37329051	408.0	287.0	1079.0	2.851	0.817	0.174	0.065	11.0	1.3	30.0	29.0	22.8083	8.6971	-4.8129	42.3126	47.1255	2.6225	3.273	0.0886	3.0661	3.4184	0.3523
37835493	357.0	260.0	803.0	2.487	0.504	0.149	0.055	10.0	0.8	30.0	29.0	19.5273	6.4734	-2.563	32.0443	34.6073	3.0165	2.9071	0.0645	2.7641	3.0751	0.3111
43606631	286.0	189.0	564.0	2.39	0.591	0.153	0.049	5.0	0.4	30.0	29.0	20.4162	5.1613	5.7967	33.9397	28.143	3.9557	2.8529	0.0321	2.7642	2.931	0.1667
49408975	317.0	224.0	763.0	2.79	0.503	0.151	0.037	5.0	0.5	30.0	29.0	21.339	5.0205	8.6117	35.3294	26.7177	4.2504	2.7922	0.085	2.6073	2.9832	0.3759
51217255	271.0	189.0	738.0	3.016	0.68	0.175	0.053	6.0	0.5	30.0	29.0	23.5522	7.9681	5.4208	43.0359	37.615	2.9558	2.876	0.0738	2.711	3.0432	0.3323
52306425	383.0	279.0	811.0	2.387	0.516	0.163	0.041	6.0	0.7	30.0	29.0	20.976	5.843	6.1144	35.0983	28.9838	3.5899	2.8267	0.0674	2.6912	3.0061	0.3148
52835891	246.0	178.0	607.0	2.412	0.823	0.152	0.058	5.0	0.7	30.0	29.0	19.9063	7.6011	-5.6737	36.135	41.8086	2.6189	2.9641	0.0452	2.7646	3.0718	0.3071
55710183	297.0	206.0	629.0	2.47	0.477	0.154	0.04	7.0	0.5	30.0	29.0	20.2851	6.1602	5.8847	40.2696	34.3849	3.293	2.7621	0.0302	2.683	2.8408	0.1578
56162563	370.0	251.0	812.0	2.467	0.543	0.121	0.031	5.0	0.4	30.0	29.0	24.7831	4.5413	12.5201	35.6716	23.1514	5.4573	2.9808	0.0757	2.7872	3.064	0.2768
60021964	319.0	216.0	943.0	3.193	0.673	0.141	0.029	4.0	0.3	30.0	29.0	24.6387	5.6669	9.8064	40.2903	30.4839	4.3478	2.9701	0.0444	2.7854	3.0549	0.2696
62582335	332.0	245.0	1042.0	3.155	0.812	0.141	0.03	6.0	0.4	30.0	29.0	21.5658	5.9697	6.126	40.9869	34.861	3.6126	2.7861	0.0409	2.7035	2.9135	0.2101
65198031	289.0	206.0	692.0	2.65	0.512	0.162	0.046	7.0	0.5	30.0	29.0	19.566	6.4466	4.5433	38.3469	33.8036	3.0351	2.9299	0.0495	2.7881	3.0358	0.2477
70214854	360.0	244.0	823.0	2.658	0.381	0.145	0.022	5.0	0.3	30.0	29.0	25.211	5.292	6.9913	39.9072	32.9159	4.764	2.6812	0.0404	2.6094	2.7665	0.1571
71851847	304.0	216.0	855.0	2.897	0.612	0.145	0.032	6.0	0.3	30.0	29.0	22.8	5.4065	7.2014	43.2114	36.01	4.2171	3.1801	0.1041	2.9507	3.3633	0.4125
74920331	516.0	361.0	980.0	2.464	0.534	0.137	0.025	7.0	0.6	30.0	29.0	22.6996	5.1393	5.0652	36.9806	31.9154	4.4168	2.6867	0.0904	2.4791	2.903	0.4239
77390767	309.0	206.0	849.0	2.935	0.405	0.149	0.043	6.0	0.5	30.0	29.0	21.5542	7.1376	-7.9565	43.8631	51.8197	3.0198	2.7416	0.0792	2.5591	2.8779	0.3187
78982423	305.0	208.0	691.0	2.66	0.694	0.117	0.022	3.0	0.2	30.0	29.0	22.874	4.373	11.885	32.9556	21.0706	5.2307	2.8859	0.0251	2.8062	2.9554	0.1492
80982198	462.0	278.0	953.0	2.66	0.52	0.13	0.026	8.0	0.5	30.0	29.0	21.5758	6.2703	2.9876	36.2725	33.2849	3.4409	3.1572	0.0487	3.0474	3.3251	0.2777
82699044	385.0	265.0	616.0	2.344	0.44	0.117	0.022	3.0	0.3	30.0	29.0	23.1476	4.0695	9.7015	32.9374	23.2359	5.688	2.768	0.0344	2.6819	2.867	0.1851
84407714	270.0	195.0	649.0	2.727	0.499	0.148	0.032	3.0	0.4	30.0	29.0	21.5788	4.6314	9.7395	33.2877	23.5482	4.6593	2.8738	0.0766	2.6263	3.0351	0.4089
86226939	374.0	250.0	634.0	2.21	0.496	0.136	0.032	7.0	0.4	30.0	29.0	20.2881	5.6394	3.6323	34.1045	30.4722	3.5976	2.9226	0.059	2.852	3.1217	0.2697
93800202	277.0	200.0	786.0	2.734	0.543	0.133	0.036	5.0	0.4	30.0	29.0	19.3267	6.0225	-7.7777	33.4275	41.2053	3.2091	2.8977	0.0543	2.7936	3.0027	0.2091
97005004	400.0	270.0	1051.0	2.978	0.45	0.126	0.031	7.0	0.3	30.0	29.0	23.8745	6.6478	7.3882	45.6267	38.2385	3.5913	3.3691	0.1418	3.2106	3.669	0.4584
100527940	305.0	223.0	792.0	2.923	0.421	0.146	0.039	6.0	0.5	30.0	29.0	20.7379	7.3312	0.7565	35.5159	34.7594	2.8287	2.9852	0.0533	2.8677	3.0699	0.2022
103652366	268.0	184.0	581.0	2.698	0.659	0.157	0.053	5.0	0.5	30.0	29.0	22.7972	5.9608	2.7156	40.8718	38.1562	3.8245	2.9323	0.0841	2.7526	3.0489	0.2964
105914514	381.0	241.0	757.0	2.502	0.595	0.142	0.062	5.0	1.0	30.0	29.0	16.0203	5.8243	-1.1332	29.9839	31.1171	2.7506	3.1596	0.0876	2.9947	3.2733	0.2786
107578676	341.0	228.0	785.0	2.696	0.538	0.135	0.027	5.0	0.4	30.0	29.0	25.8251	6.25	4.3983	40.3795	35.9811	4.132	3.4586	0.0947	3.3477	3.8064	0.4587
108828000	321.0	212.0	662.0	2.579	0.541	0.139	0.029	5.0	0.3	30.0	29.0	20.7412	5.0771	10.3312	36.9957	26.6645	4.0852	2.8596	0.0461	2.7951	3.0077	0.2126
113335479	485.0	342.0	1199.0	2.671	0.644	0.124	0.036	9.0	0.6	30.0	29.0	18.4125	6.0961	0.2445	35.3556	35.1111	3.0204	3.0885	0.147	2.8293	3.3915	0.5622
115784129	388.0	257.0	696.0	2.324	0.472	0.128	0.042	4.0	0.7	30.0	29.0	16.6951	5.5529	1.5116	31.4153	29.9037	3.0066					
119126177	474.0	309.0	1062.0	2.648	0.708	0.126	0.028	7.0	0.5	30.0	29.0	20.7842	5.7655	-2.2603	34.6258	36.8861	3.6049	2.8562	0.1185	2.6148	3.0461	0.4313
121697273	385.0	266.0	870.0	2.792	0.365	0.149	0.025	7.0	0.4	30.0	29.0	26.492	5.1974	10.1345	42.2087	32.0742	5.0972	2.962	0.0898	2.7561	3.1845	0.4284
130118047	407.0	288.0	850.0	2.892	0.379	0.127	0.02	3.0	0.4	30.0	29.0	24.7494	4.0857	12.6976	35.434	22.7364	6.0576	2.9276	0.0957	2.7068	3.1807	0.474
131655018	446.0	290.0	832.0	2.459	0.523	0.157	0.044	13.0	0.8	30.0	29.0	19.5267	6.9666	-21.8179	37.9259	59.7438	2.8029	2.7695	0.0722	2.6311	2.8799	0.2487
134279804	302.0	221.0	711.0	2.546	0.409	0.096	0.014	4.0	0.2	30.0	29.0	19.1833	4.4831	4.1898	30.1634	25.9736	4.279	2.914	0.1124	2.6945	3.122	0.4275
138434806	398.0	260.0	721.0	2.384	0.499	0.136	0.036	6.0	0.5	30.0	29.0	18.187	5.2944	3.1272	34.3983	31.2711	3.4351	3.182	0.0372	3.074	3.2836	0.2096
154667058	399.0	273.0	981.0	2.773	0.57	0.157	0.039	7.0	0.6	30.0	29.0	21.4075	5.5489	6.0208	36.3384	30.3177	3.858	3.4484	0.0846	3.2811	3.6127	0.3316
158779019	365.0	233.0	804.0	2.609	0.386	0.14	0.036	7.0	0.4	30.0	29.0	19.4017	4.9385	7.5567	33.9621	26.4054	3.9287	3.0114	0.0646	2.8237	3.1338	0.3101
162526644	385.0	281.0	1008.0	2.76	0.501	0.176	0.055	8.0	1.0	30.0	29.0	20.3117	7.2071	0.308	38.062	37.754	2.8183	3.0785	0.0544	2.9645	3.1989	0.2344
163259093	292.0	205.0	542.0	2.511	0.347	0.122	0.016	2.0	0.2	30.0	29.0	25.3887	3.3216	14.3692	35.5914	21.2223	7.6435	2.8701	0.0666	2.7255	2.9559	0.2304
176129790	380.0	262.0	853.0	2.553	0.631	0.138	0.026	6.0	0.4	30.0	29.0	23.3849	6.288	3.3935	41.1956	37.8021	3.7189	2.7885	0.046	2.7257	2.9208	0.1951
177928631	313.0	208.0	669.0	2.562	0.334	0.131	0.025	5.0	0.3	30.0	29.0	21.145	4.3041	10.0594	32.5875	22.5281	4.9128	3.1187	0.0663	2.9162	3.2847	0.3686
182017409	317.0	207.0	710.0	2.645	0.723	0.139	0.051	5.0	0.9	30.0	29.0	22.142	8.0841	-6.0108	35.6357	41.6466	2.7389	3.2606	0.0615	3.1189	3.415	0.2961
189913356	322.0	210.0	623.0	2.313	0.625	0.127	0.034	4.0	0.4	30.0	29.0	20.136	6.1715	-2.4659	34.7715	37.2374	3.2628	3.1868	0.108	2.8941	3.4097	0.5156
190100766	446.0	280.0	860.0	2.722	0.45	0.118	0.024	5.0	0.5	30.0	29.0	24.8728	5.0575	4.4242	43.0595	38.6353	4.918	2.8937	0.0458	2.7958	3.0271	0.2313
192039987	300.0	233.0	1001.0	2.799	0.833	0.166	0.048	6.0	0.7	30.0	29.0	15.8656	7.1563	-9.7344	35.2734	45.0078	2.217	2.7801	0.1706	2.4946	3.0786	0.584
192271174	294.0	201.0	765.0	2.714	0.457	0.155	0.027	6.0	0.3	30.0	29.0	21.0599	5.4004	5.5473	39.5221	33.9748	3.8997	2.897	0.0658	2.767	3.0149	0.2479
192413932	378.0	255.0	990.0	2.962	0.402	0.128	0.026	4.0	0.4	30.0	29.0	23.5288	5.656	3.943	42.471	38.528	4.16	2.8343	0.0802	2.6807	3.0243	0.3436
194293030	331.0	227.0	701.0	2.588	0.609	0.151	0.034	8.0	0.3	30.0	29.0	23.142	7.3556	-9.252	42.2256	51.4775	3.1462	2.8192	0.0925	2.626	3.0915	0.4655
194324018	392.0	249.0	697.0	2.579	0.505	0.126	0.03	5.0	0.4	30.0	29.0	23.1476	4.9323	9.0606	33.7398	24.6793	4.6931	3.0197	0.0768	2.8927	3.1687	0.2759
