participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1272.0	862.0	2051.0	2.432	0.445	0.119	0.023	11.0	1.2	69.0	68.0	25.4313	4.6485	12.3099	37.5073	25.1974	5.4708	2.7267	0.2384	2.194	3.0902	0.8962
8454119	1846.0	1239.0	3231.0	2.726	0.387	0.096	0.016	10.0	1.3	69.0	68.0	27.3549	4.3639	11.0968	43.2443	32.1476	6.2684	3.2585	0.254	2.505	3.5702	1.0653
11407866	1310.0	911.0	2361.0	2.79	0.337	0.093	0.014	7.0	0.7	69.0	68.0	29.5751	4.1236	8.4808	42.3804	33.8996	7.1721	2.7912	0.2432	2.2818	3.3078	1.026
11574123	1175.0	831.0	2409.0	2.816	0.629	0.14	0.036	18.0	2.1	69.0	68.0	25.2191	7.6607	-14.1026	42.3173	56.4199	3.292	2.4152	0.1419	2.1826	3.0818	0.8992
16684978	1107.0	744.0	2072.0	2.781	0.417	0.121	0.025	11.0	1.2	69.0	68.0	24.6207	5.3009	6.4659	39.344	32.8782	4.6446	3.122	0.2028	2.2661	3.4043	1.1382
25354225	910.0	565.0	1804.0	3.076	0.51	0.101	0.027	10.0	0.8	69.0	68.0	23.8352	7.4536	-1.2825	43.1848	44.4673	3.1978	2.7533	0.2563	2.3047	3.3466	1.0419
25811472	1418.0	962.0	2626.0	2.918	0.49	0.098	0.017	9.0	1.0	69.0	68.0	26.7111	5.2638	0.3737	40.95	40.5763	5.0744	3.0011	0.1572	2.3569	3.1941	0.8372
27876862	658.0	478.0	1482.0	2.857	0.555	0.138	0.032	7.0	0.8	69.0	68.0	25.8276	5.0141	7.3651	39.2051	31.8399	5.151	2.5542	0.2553	2.0325	3.0175	0.985
29811890	1719.0	1007.0	2594.0	2.722	0.49	0.101	0.029	14.0	2.3	69.0	68.0	23.3358	8.868	-5.3745	46.1697	51.5442	2.6315	2.7259	0.2786	2.0615	3.1273	1.0658
31361606	901.0	600.0	1959.0	2.822	0.576	0.11	0.023	8.0	0.8	69.0	68.0	23.8203	4.7672	9.3212	43.6731	34.3519	4.9967	2.8338	0.1625	2.3185	3.1226	0.8041
32938469	821.0	570.0	1711.0	2.863	0.464	0.125	0.031	9.0	1.1	69.0	68.0	26.1349	6.3138	2.8281	41.9138	39.0857	4.1393	2.5851	0.1207	2.3873	3.2217	0.8344
36895554	1158.0	787.0	2183.0	2.752	0.44	0.106	0.022	11.0	1.0	69.0	68.0	24.1154	5.1638	7.9727	41.0273	33.0546	4.6701	2.701	0.1926	2.2895	3.3242	1.0348
37329051	1213.0	830.0	2363.0	2.808	0.433	0.107	0.021	9.0	0.9	69.0	68.0	27.2977	4.4654	11.9249	39.3823	27.4573	6.1131	3.0401	0.2535	2.2525	3.5661	1.3137
37835493	1165.0	774.0	2152.0	2.671	0.492	0.111	0.02	9.0	1.0	69.0	68.0	24.6955	4.5778	0.177	37.4963	37.3193	5.3947	2.6138	0.2739	2.0828	2.8689	0.7861
43606631	1382.0	926.0	2557.0	2.554	0.504	0.124	0.026	14.0	1.5	69.0	68.0	23.4451	5.0508	9.4067	38.626	29.2193	4.6419	2.8803	0.2559	2.2287	3.2729	1.0442
