participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1224.0	798.0	2858.0	2.903	0.449	0.111	0.016	12.0	0.8	68.0	67.0	23.7096	3.5021	11.8468	34.3703	22.5235	6.7702	3.0131	0.1833	2.5553	3.3677	0.8123
8454119	1312.0	831.0	2694.0	2.868	0.418	0.131	0.024	16.0	1.3	68.0	67.0	23.4664	6.1019	8.5397	40.7313	32.1916	3.8457	3.6202	0.1056	3.3374	3.9724	0.635
11407866	1139.0	824.0	3347.0	3.23	0.505	0.124	0.023	16.0	1.1	68.0	67.0	24.7029	6.0003	3.9471	40.3467	36.3996	4.1169	3.3848	0.2158	2.7636	3.7857	1.0222
11574123	1038.0	693.0	2675.0	3.154	0.505	0.109	0.02	8.0	0.9	68.0	67.0	24.0671	5.7326	9.935	40.7203	30.7854	4.1983	3.2601	0.2783	2.4553	3.8658	1.4105
16684978	831.0	572.0	1934.0	2.903	0.487	0.127	0.025	9.0	0.8	68.0	67.0	22.8399	5.155	7.6401	33.8695	26.2294	4.4306	3.5455	0.1115	3.1676	3.7684	0.6008
25354225	1220.0	622.0	2543.0	3.164	0.813	0.121	0.064	26.0	3.9	68.0	67.0	14.836	8.8441	-7.0568	35.6441	42.7009	1.6775	3.3826	0.2857	2.7144	3.8956	1.1812
25811472	989.0	643.0	2845.0	3.33	0.491	0.125	0.024	13.0	1.0	68.0	67.0	23.4195	5.6459	8.4913	35.8085	27.3171	4.1481	3.3347	0.2469	3.0155	3.9775	0.962
27876862	653.0	428.0	1390.0	2.827	0.478	0.133	0.026	8.0	0.8	68.0	67.0	23.9725	4.7791	10.3413	37.7497	27.4084	5.0162	3.2776	0.2024	2.9757	3.6772	0.7015
29811890	1025.0	542.0	1935.0	3.087	0.589	0.095	0.023	8.0	0.9	68.0	67.0	20.3454	6.5991	1.1339	39.699	38.5651	3.083	3.3117	0.1726	2.992	3.6996	0.7076
31361606	792.0	513.0	1985.0	2.842	0.541	0.134	0.027	12.0	0.9	68.0	67.0	20.955	5.3743	-4.3951	34.0786	38.4736	3.8991	3.4239	0.2694	2.9408	3.9631	1.0224
32938469	1176.0	815.0	2858.0	2.843	0.523	0.128	0.03	19.0	1.3	68.0	67.0	25.2555	6.9821	3.992	43.0482	39.0562	3.6172	3.4853	0.2859	2.5781	4.06	1.482
36895554	1311.0	891.0	3135.0	3.023	0.491	0.105	0.016	12.0	0.9	68.0	67.0	24.036	3.5857	12.4145	35.7051	23.2907	6.7033	3.1461	0.2444	2.5171	3.4083	0.8912
37329051	889.0	646.0	2364.0	2.916	0.777	0.134	0.03	14.0	1.3	68.0	67.0	22.3369	5.6428	2.6285	35.4596	32.8311	3.9585	3.7024	0.1663	3.2669	4.1336	0.8667
