participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	848.0	583.0	1575.0	2.536	0.439	0.135	0.034	11.0	1.1	72.0	71.0	26.1617	5.1191	4.945	37.1862	32.2411	5.1106	2.3459	0.0647	2.17	2.4929	0.3228
8454119	1205.0	824.0	2795.0	2.822	0.606	0.128	0.023	17.0	1.2	72.0	71.0	27.7015	6.727	7.1003	46.724	39.6237	4.118	2.713	0.2342	2.3632	3.3597	0.9965
11407866	886.0	605.0	2529.0	3.239	0.657	0.124	0.02	12.0	0.9	72.0	71.0	27.7018	6.0129	-4.1528	41.4921	45.6449	4.607	2.4241	0.191	2.1254	2.9321	0.8067
11574123	845.0	559.0	1771.0	2.856	0.706	0.115	0.02	9.0	0.7	72.0	71.0	26.2939	5.6397	9.9565	42.5044	32.5479	4.6623	2.4375	0.1539	2.1461	2.8455	0.6995
16684978	744.0	533.0	1577.0	2.777	0.524	0.139	0.026	13.0	0.7	72.0	71.0	23.7505	6.7114	2.2912	43.6679	41.3767	3.5388	2.5445	0.31	2.1604	3.1251	0.9647
25354225	1155.0	651.0	2180.0	2.972	0.624	0.12	0.053	21.0	2.6	72.0	71.0	20.6849	11.0842	-8.4238	44.5688	52.9926	1.8662	2.6204	0.2565	2.2981	3.1785	0.8804
25811472	833.0	539.0	1776.0	3.032	0.55	0.098	0.017	7.0	0.5	72.0	71.0	27.2488	4.5693	11.1918	41.8448	30.653	5.9635	2.536	0.0946	2.3076	2.8972	0.5896
27876862	480.0	314.0	1068.0	2.904	0.603	0.117	0.026	6.0	0.5	72.0	71.0	24.7931	6.1039	-0.3433	36.4605	36.8038	4.0619	2.3049	0.1338	2.0321	2.5915	0.5594
29811890	1475.0	890.0	2267.0	2.654	0.688	0.12	0.034	16.0	2.0	72.0	71.0	20.0111	9.895	-13.6143	43.2872	56.9015	2.0223	2.3257	0.2942	1.9397	3.0177	1.078
31361606	682.0	437.0	1487.0	2.886	0.501	0.134	0.028	10.0	0.7	72.0	71.0	22.9472	5.6516	-3.4843	36.4416	39.9259	4.0603	2.5447	0.1551	2.2195	2.8362	0.6167
