participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	305.0	187.0	657.0	2.605	0.401	0.107	0.021	3.0	0.3	25.0	24.0	14.2209	3.3759	-0.0844	21.5577	21.6421	4.2125	4.9349	0.1454	4.7478	5.4165	0.6687
8454119	287.0	178.0	526.0	2.285	0.378	0.135	0.039	5.0	0.4	25.0	24.0	16.7694	4.4293	5.1825	28.2755	23.093	3.786	5.4732	0.1356	5.1603	5.7226	0.5622
11407866	260.0	164.0	458.0	2.229	0.329	0.163	0.044	5.0	0.4	25.0	24.0	14.0242	4.1157	0.1319	31.3858	31.2539	3.4075	5.2934	0.2322	4.5037	5.4572	0.9536
11574123	276.0	165.0	470.0	2.352	0.561	0.152	0.058	5.0	0.6	25.0	24.0	14.2711	6.4347	-14.1475	36.2459	50.3934	2.2178	5.0003	0.2359	4.4692	5.4008	0.9317
16684978	177.0	122.0	348.0	2.716	0.398	0.157	0.053	3.0	0.3	25.0	24.0	16.9706	5.3937	1.3111	31.6675	30.3565	3.1464	4.7559	0.0874	4.5635	4.9062	0.3428
25354225	200.0	140.0	451.0	2.747	0.3	0.153	0.042	3.0	0.2	25.0	24.0	15.0314	5.9505	2.6947	29.7838	27.0891	2.5261	4.939	0.1915	4.6367	5.4654	0.8287
25811472	305.0	181.0	656.0	3.052	0.398	0.14	0.034	5.0	0.3	25.0	24.0	16.485	4.1763	5.5596	32.7727	27.2131	3.9473	5.3312	0.1085	5.096	5.5732	0.4772
27876862	180.0	99.0	289.0	2.532	0.319	0.157	0.045	4.0	0.2	25.0	24.0	14.0244	3.4534	6.2561	24.9614	18.7053	4.061	4.219	0.1383	3.9984	4.4067	0.4083
29811890	323.0	178.0	635.0	2.71	0.55	0.157	0.053	8.0	0.6	25.0	24.0	17.2533	5.4214	-2.1839	32.6417	34.8255	3.1825	5.159	0.1906	4.8561	5.588	0.732
31361606	233.0	145.0	388.0	2.159	0.433	0.158	0.046	5.0	0.3	25.0	24.0	13.3957	4.3904	0.6895	29.5027	28.8132	3.0511	4.3761	0.0659	4.2035	4.5085	0.305
32938469	319.0	172.0	570.0	2.437	0.533	0.144	0.071	11.0	0.6	25.0	24.0	13.8582	5.6885	-7.1213	27.6553	34.7766	2.4362	5.4082	0.14	5.0451	5.6767	0.6316
36895554	251.0	139.0	353.0	2.152	0.416	0.137	0.044	4.0	0.4	25.0	24.0	12.3943	4.3698	-3.077	24.9188	27.9958	2.8363	4.9047	0.2715	4.4265	5.2331	0.8066
37329051	232.0	138.0	439.0	2.787	0.512	0.176	0.053	5.0	0.4	25.0	24.0	15.5989	5.0202	1.0812	26.4571	25.3759	3.1072	5.271	0.2177	4.7774	5.4505	0.6731
37835493	281.0	142.0	349.0	2.006	0.355	0.121	0.038	4.0	0.4	25.0	24.0	11.846	3.6864	-1.3052	22.2105	23.5157	3.2134	4.5901	0.1246	4.3826	4.8604	0.4778
43606631	254.0	132.0	370.0	2.165	0.421	0.124	0.029	3.0	0.3	25.0	24.0	12.7198	3.9566	-0.0204	28.5356	28.556	3.2148	4.6679	0.0641	4.5454	4.7565	0.211
49408975	220.0	138.0	438.0	2.693	0.331	0.137	0.031	4.0	0.3	25.0	24.0	14.6784	3.6448	0.8057	25.3802	24.5745	4.0272	5.0302	0.1261	4.8096	5.2512	0.4416
51217255	321.0	151.0	419.0	2.203	0.442	0.115	0.049	5.0	0.5	25.0	24.0	11.2856	4.827	-2.218	25.5899	27.8078	2.338	5.1298	0.0646	4.963	5.2758	0.3129
52306425	247.0	180.0	449.0	2.744	0.472	0.116	0.02	1.0	0.2	25.0	24.0	17.1604	5.054	3.0429	30.4992	27.4564	3.3954	4.8505	0.1289	4.6906	5.1346	0.444
52835891	226.0	145.0	369.0	2.682	0.699	0.169	0.05	4.0	0.5	25.0	24.0	16.6085	5.7462	-5.4301	29.5048	34.9349	2.8904	4.3097	0.1698	4.0987	4.5594	0.4607
