participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1231.0	820.0	1917.0	2.433	0.382	0.128	0.026	14.0	1.2	118.0	117.0	22.4986	4.408	6.6907	42.5498	35.859	5.1041	3.3243	0.127	3.0255	3.538	0.5124
8454119	1026.0	679.0	1715.0	2.603	0.442	0.139	0.032	14.0	1.6	118.0	117.0	23.79	7.2547	-10.7893	41.1205	51.9098	3.2792	3.9638	0.0617	3.7809	4.0878	0.3069
11407866	1146.0	834.0	2285.0	2.674	0.4	0.119	0.022	13.0	1.0	118.0	117.0	24.6807	5.0941	-5.5386	38.8663	44.4048	4.8449	3.6294	0.0801	3.4704	3.7608	0.2904
11574123	1047.0	758.0	1826.0	2.708	0.461	0.163	0.042	16.0	2.3	118.0	117.0	25.6491	6.4806	-10.286	45.6756	55.9616	3.9578	3.4955	0.039	3.4049	3.5908	0.186
16684978	839.0	597.0	1211.0	2.373	0.54	0.154	0.039	11.0	1.5	118.0	117.0	24.6285	6.417	-17.3169	45.3426	62.6595	3.838	3.6027	0.0289	3.4995	3.6857	0.1862
25354225	1057.0	725.0	1762.0	2.652	0.499	0.122	0.023	9.0	1.1	118.0	117.0	24.2393	4.7573	-6.7986	39.5968	46.3955	5.0951	3.7195	0.0359	3.6306	3.783	0.1524
25811472	1126.0	748.0	2041.0	2.624	0.363	0.123	0.026	12.0	1.2	118.0	117.0	24.0479	5.9271	-4.8292	45.4186	50.2479	4.0573	3.6977	0.0231	3.6087	3.751	0.1423
27876862	1085.0	707.0	1980.0	2.489	0.438	0.107	0.018	11.0	0.9	118.0	117.0	21.9657	3.7371	7.5256	34.4941	26.9685	5.8777	3.2309	0.1201	2.9352	3.4746	0.5394
29811890	931.0	660.0	1436.0	2.262	0.518	0.163	0.051	24.0	2.4	118.0	117.0	22.563	9.2289	-30.6646	38.926	69.5906	2.4448	3.6582	0.0582	3.5194	3.745	0.2256
31361606	831.0	543.0	1107.0	2.466	0.459	0.134	0.031	8.0	1.0	118.0	117.0	23.3669	5.4543	9.4769	46.2923	36.8154	4.2841	3.3569	0.0828	3.2401	3.5135	0.2734
32938469	976.0	672.0	1474.0	2.522	0.513	0.127	0.023	10.0	1.1	118.0	117.0	24.9909	6.3276	-0.0588	40.131	40.1898	3.9495	3.6426	0.0361	3.5831	3.7278	0.1447
36895554	1110.0	718.0	1785.0	2.463	0.419	0.121	0.025	13.0	1.2	118.0	117.0	20.9858	4.8006	5.9925	34.3897	28.3972	4.3715	3.6069	0.0577	3.4745	3.7197	0.2452
37329051	809.0	543.0	1182.0	2.523	0.418	0.116	0.026	8.0	0.7	118.0	117.0	26.5073	5.495	2.9376	38.5635	35.6259	4.8239	3.648	0.0178	3.5803	3.6867	0.1064
37835493	935.0	635.0	1262.0	2.34	0.319	0.105	0.021	5.0	0.8	118.0	117.0	24.1541	4.1731	11.4135	43.8796	32.466	5.7881	3.4358	0.0096	3.3874	3.4576	0.0702
43606631	806.0	526.0	977.0	2.133	0.348	0.135	0.032	9.0	0.9	118.0	117.0	22.3077	5.6288	4.453	38.6426	34.1895	3.9631	3.6579	0.0476	3.5553	3.7651	0.2098
49408975	967.0	670.0	1782.0	2.52	0.436	0.113	0.025	10.0	0.9	118.0	117.0	20.8918	5.1176	4.1152	38.6437	34.5285	4.0823	3.719	0.0257	3.6126	3.8009	0.1884
51217255	908.0	586.0	1320.0	2.693	0.587	0.131	0.037	9.0	1.4	118.0	117.0	26.5008	6.4899	4.341	56.7376	52.3965	4.0834	3.5596	0.0396	3.4132	3.6165	0.2033
