participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	462.0	314.0	765.0	2.735	0.497	0.089	0.013	2.0	0.3	112.0	111.0	23.686	3.9103	12.7103	35.4589	22.7485	6.0573	4.19	0.1586	3.8458	4.5778	0.732
8454119	470.0	327.0	871.0	3.024	0.406	0.113	0.019	3.0	0.4	112.0	111.0	23.6496	4.744	11.5285	40.96	29.4314	4.9852	4.9832	0.0807	4.8174	5.2978	0.4805
11407866	511.0	353.0	969.0	3.152	0.472	0.09	0.018	2.0	0.4	112.0	111.0	25.4707	4.6973	8.6419	41.0701	32.4281	5.4224	4.6896	0.0653	4.4069	4.9242	0.5172
11574123	477.0	326.0	877.0	3.09	0.401	0.1	0.021	3.0	0.4	112.0	111.0	23.6172	4.6214	10.2687	34.0846	23.8159	5.1104	4.0283	0.0623	3.9394	4.2502	0.3107
16684978	365.0	252.0	632.0	2.953	0.508	0.116	0.027	2.0	0.4	112.0	111.0	25.9642	4.2605	13.3038	35.8898	22.586	6.0941	4.5516	0.0858	4.1165	4.7242	0.6078
25354225	422.0	275.0	821.0	3.532	0.668	0.099	0.023	2.0	0.4	112.0	111.0	23.8145	6.8562	-0.8269	37.8077	38.6346	3.4734	4.1241	0.3277	3.4453	4.6689	1.2236
25811472	519.0	347.0	979.0	3.177	0.456	0.094	0.017	3.0	0.4	112.0	111.0	25.1648	4.5813	8.381	41.4979	33.1169	5.493	4.4324	0.094	4.244	4.7659	0.5219
27876862	361.0	242.0	569.0	2.772	0.385	0.112	0.018	4.0	0.3	112.0	111.0	23.4886	3.9715	9.8655	33.3251	23.4596	5.9143	3.4972	0.0543	3.3663	3.6832	0.3169
29811890	484.0	302.0	876.0	3.168	0.468	0.109	0.025	5.0	0.4	112.0	111.0	24.6356	6.0434	4.7092	43.2005	38.4913	4.0764	4.306	0.3285	3.8067	4.8972	1.0905
31361606	363.0	254.0	562.0	2.627	0.407	0.114	0.023	2.0	0.4	112.0	111.0	23.9884	4.0526	8.3955	34.9251	26.5297	5.9193	3.9666	0.1045	3.6324	4.1723	0.5399
32938469	462.0	311.0	828.0	3.178	0.495	0.09	0.018	2.0	0.3	112.0	111.0	21.6604	4.4576	10.462	37.0954	26.6335	4.8592	4.5608	0.1052	4.4015	4.8975	0.496
36895554	467.0	296.0	653.0	2.582	0.482	0.115	0.037	4.0	0.7	112.0	111.0	23.132	6.6074	-11.6471	39.321	50.9681	3.5009	3.7987	0.1944	3.6064	4.3982	0.7917
37329051	345.0	235.0	708.0	3.127	0.44	0.112	0.027	2.0	0.4	112.0	111.0	23.4836	5.9904	9.805	39.1637	29.3587	3.9202	3.985	0.1853	3.6214	4.553	0.9316
37835493	499.0	324.0	785.0	2.808	0.429	0.103	0.02	4.0	0.4	112.0	111.0	24.4976	4.7508	9.842	38.7936	28.9516	5.1565	4.0195	0.1082	3.657	4.3369	0.6799
43606631	324.0	214.0	505.0	2.584	0.504	0.11	0.027	2.0	0.3	112.0	111.0	23.8511	3.7733	10.9929	34.768	23.7752	6.321	3.5627	0.1311	3.1688	3.8266	0.6577
49408975	440.0	307.0	780.0	2.947	0.363	0.118	0.04	4.0	0.8	112.0	111.0	22.0104	5.1652	3.939	34.6175	30.6785	4.2613	4.3895	0.0743	4.211	4.631	0.42
51217255	380.0	272.0	726.0	3.102	0.478	0.096	0.015	1.0	0.2	112.0	111.0	24.0247	3.9461	14.2711	34.4838	20.2127	6.0882	3.7038	0.3259	3.2594	4.7395	1.4802
52306425	516.0	341.0	798.0	2.954	0.452	0.123	0.024	4.0	0.5	112.0	111.0	25.1621	3.5233	12.8003	35.5961	22.7958	7.1416	4.0928	0.214	3.8179	4.5727	0.7548
52835891	386.0	266.0	747.0	3.526	0.426	0.113	0.024	2.0	0.4	112.0	111.0	24.1901	5.2193	11.5683	38.1237	26.5555	4.6347	3.8424	0.1893	3.2721	4.2937	1.0216
55710183	447.0	300.0	808.0	2.98	0.48	0.126	0.029	9.0	0.5	112.0	111.0	23.2756	5.0028	8.5872	35.2349	26.6476	4.6525	4.2746	0.4294	3.3171	4.8898	1.5727
56162563	489.0	332.0	835.0	2.868	0.348	0.102	0.02	3.0	0.4	112.0	111.0	24.4909	4.4182	8.7157	36.9039	28.1883	5.5432	4.3176	0.3807	3.3418	4.6807	1.3388
60021964	513.0	345.0	911.0	3.083	0.555	0.102	0.022	5.0	0.3	112.0	111.0	24.1158	4.8332	6.7234	35.7084	28.9849	4.9897	4.461	0.1487	4.1933	4.9025	0.7091
62582335	506.0	327.0	862.0	3.047	0.443	0.103	0.019	3.0	0.4	112.0	111.0	24.3953	4.679	4.3676	34.583	30.2155	5.2138	4.2262	0.0534	4.0833	4.3405	0.2572
65198031	414.0	287.0	771.0	3.026	0.464	0.097	0.017	2.0	0.3	112.0	111.0	23.0203	4.0328	7.0184	35.7703	28.7519	5.7082	3.9291	0.0614	3.6729	4.2408	0.5679
70214854	373.0	268.0	705.0	2.977	0.442	0.102	0.019	2.0	0.3	112.0	111.0	27.1147	4.6279	11.9066	40.4585	28.5519	5.859	3.6637	0.1179	3.5394	3.9908	0.4513
71851847	410.0	287.0	750.0	2.982	0.505	0.112	0.047	8.0	0.9	112.0	111.0	25.5134	6.9803	-23.7306	39.224	62.9546	3.6551	4.2253	0.1029	4.0457	4.5153	0.4695
74920331	330.0	223.0	570.0	2.993	0.36	0.107	0.017	2.0	0.2	112.0	111.0	23.4323	3.4134	14.1136	30.6954	16.5818	6.8649	3.8056	0.1662	2.9992	4.035	1.0359
