participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	506.0	352.0	1169.0	3.384	0.763	0.122	0.042	7.0	0.9	119.0	118.0	16.7483	12.1892	0.0	48.7358	48.7358	1.374	2.6884	0.1178	2.4783	2.9341	0.4557
8454119	431.0	273.0	1177.0	3.098	0.638	0.128	0.047	6.0	0.8	119.0	118.0	16.6202	8.9239	0.0	39.1912	39.1912	1.8624	2.998	0.1165	2.7288	3.2905	0.5617
11407866	589.0	370.0	1496.0	3.419	0.652	0.111	0.033	7.0	0.6	119.0	118.0	16.5002	9.7094	0.0	35.8394	35.8394	1.6994	2.8762	0.1124	2.5851	3.0422	0.4571
11574123	425.0	250.0	961.0	3.293	0.572	0.122	0.038	7.0	0.8	119.0	118.0	13.3877	10.2101	-0.9505	37.6996	38.6501	1.3112	2.5749	0.0655	2.4298	2.7085	0.2788
16684978	482.0	358.0	957.0	2.874	0.929	0.154	0.041	6.0	1.1	119.0	118.0	13.2588	10.14	0.0	44.3585	44.3585	1.3076	2.6595	0.0683	2.5203	2.8128	0.2925
25354225	460.0	272.0	1032.0	3.4	0.641	0.132	0.062	9.0	1.1	119.0	118.0	14.3928	10.4956	-8.5443	33.9708	42.5151	1.3713	2.5547	0.0813	2.3927	2.7391	0.3464
25811472	534.0	348.0	1375.0	3.548	0.519	0.121	0.037	10.0	0.8	119.0	118.0	14.929	10.2645	0.0	36.1049	36.1049	1.4544	2.7554	0.1331	2.48	3.0501	0.5701
27876862	480.0	269.0	904.0	3.058	0.697	0.114	0.043	8.0	0.9	119.0	118.0	14.2577	11.1741	0.0	37.4509	37.4509	1.276	2.397	0.0585	2.2748	2.5866	0.3118
29811890	429.0	277.0	1142.0	3.437	0.769	0.15	0.08	11.0	2.0	119.0	118.0	16.5105	11.1889	-7.507	39.4575	46.9646	1.4756	2.7084	0.1026	2.4977	2.9713	0.4736
31361606	387.0	228.0	856.0	3.255	0.711	0.136	0.053	8.0	0.8	119.0	118.0	14.4471	12.3465	0.0	46.0503	46.0503	1.1701	2.5782	0.0399	2.4842	2.6908	0.2066
32938469	579.0	387.0	1582.0	3.382	0.613	0.126	0.047	9.0	1.3	119.0	118.0	16.0755	7.6377	-2.4897	32.2904	34.7801	2.1048	2.6267	0.0919	2.4701	2.8564	0.3863
36895554	599.0	328.0	940.0	2.887	0.771	0.134	0.063	20.0	1.8	119.0	118.0	11.9984	10.6323	0.0	36.8237	36.8237	1.1285	2.5064	0.1211	2.3148	2.7448	0.4299
37329051	545.0	313.0	1369.0	3.522	0.793	0.113	0.04	6.0	1.0	119.0	118.0	15.3042	11.2086	-5.9965	42.8699	48.8664	1.3654	2.9092	0.0893	2.7266	3.0393	0.3127
37835493	389.0	271.0	918.0	3.219	0.644	0.125	0.028	7.0	0.4	119.0	118.0	14.6819	10.5257	-1.8759	32.267	34.1429	1.3949	2.5573	0.0667	2.4171	2.6981	0.2809
43606631	497.0	285.0	1018.0	3.233	0.939	0.132	0.043	9.0	1.0	119.0	118.0	13.4829	10.3465	0.0	34.3995	34.3995	1.3031	2.4762	0.0378	2.4001	2.5876	0.1875
49408975	609.0	375.0	1286.0	3.388	0.909	0.119	0.04	9.0	1.0	119.0	118.0	12.5353	9.7175	-6.4502	33.2534	39.7036	1.29	2.5675	0.0418	2.4854	2.6923	0.2069
51217255	447.0	250.0	1005.0	3.274	0.753	0.133	0.067	12.0	1.5	119.0	118.0	13.5899	10.7284	-5.2962	36.7278	42.024	1.2667	2.8236	0.0963	2.5785	2.9939	0.4153
52306425	650.0	412.0	1508.0	3.3	0.68	0.104	0.028	6.0	0.8	119.0	118.0	17.7605	10.6538	-2.8582	42.7065	45.5647	1.6671	2.5399	0.1061	2.366	2.8145	0.4485
52835891	513.0	325.0	1221.0	3.357	0.669	0.128	0.045	8.0	1.1	119.0	118.0	14.4546	11.4739	-6.9898	36.8976	43.8875	1.2598	2.5934	0.0622	2.4568	2.7176	0.2608
55710183	544.0	311.0	1103.0	2.903	0.622	0.096	0.039	7.0	0.9	119.0	118.0	16.1825	10.1158	-3.5916	36.281	39.8727	1.5997	2.66	0.0687	2.5304	2.7959	0.2655
56162563	485.0	298.0	1291.0	3.381	0.847	0.119	0.043	8.0	0.7	119.0	118.0	16.2014	12.159	-7.3614	41.0336	48.3949	1.3325	2.8418	0.1575	2.5161	3.1221	0.6061
60021964	439.0	268.0	952.0	3.204	0.569	0.115	0.051	7.0	0.8	119.0	118.0	15.4776	11.1368	0.0	36.1887	36.1887	1.3898	2.6158	0.0943	2.4806	2.8409	0.3603
62582335	534.0	324.0	1092.0	2.777	1.069	0.138	0.079	15.0	1.8	119.0	118.0	10.8152	9.5689	-18.04	31.6902	49.7303	1.1302	2.7648	0.0304	2.6855	2.8296	0.1441
65198031	440.0	258.0	868.0	3.321	0.692	0.11	0.029	6.0	0.6	119.0	118.0	14.791	11.6663	-10.4524	35.9639	46.4163	1.2678	2.4895	0.0702	2.3541	2.6707	0.3166
70214854	467.0	302.0	999.0	2.996	0.966	0.152	0.06	11.0	1.4	119.0	118.0	14.2463	10.6156	-13.1632	37.4686	50.6318	1.342	2.7087	0.1029	2.4717	2.859	0.3873
71851847	517.0	336.0	1401.0	3.551	0.802	0.11	0.035	5.0	0.7	119.0	118.0	19.4178	11.4464	0.0	49.2224	49.2224	1.6964	2.6727	0.1161	2.3992	2.9211	0.5219
