participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	791.0	543.0	1624.0	2.712	0.536	0.158	0.038	12.0	1.2	19.0	18.0	22.4073	4.3589	7.344	36.7149	29.3709	5.1406	2.6861	0.0281	2.6105	2.7554	0.1449
8454119	1163.0	785.0	3155.0	3.37	0.514	0.138	0.034	21.0	1.4	19.0	18.0	23.044	5.734	-9.3879	39.2278	48.6157	4.0188	2.9157	0.0637	2.7852	3.0519	0.2667
11407866	841.0	571.0	1994.0	2.985	0.492	0.127	0.025	12.0	0.9	19.0	18.0	22.8753	4.9647	4.3396	34.6325	30.2929	4.6076	2.9071	0.0242	2.8426	2.9879	0.1454
11574123	805.0	559.0	1645.0	2.611	0.552	0.117	0.024	13.0	0.8	19.0	18.0	21.0872	5.2544	4.2049	36.2527	32.0479	4.0132	2.8449	0.1173	2.6573	3.0164	0.3591
16684978	800.0	573.0	1554.0	2.288	0.411	0.155	0.047	16.0	1.6	19.0	18.0	18.8927	6.2497	-14.9709	34.5784	49.5493	3.023	2.8974	0.1103	2.6454	3.0711	0.4257
25354225	915.0	578.0	2247.0	3.059	0.666	0.116	0.032	14.0	0.9	19.0	18.0	20.9604	5.989	-0.3275	40.2491	40.5766	3.4998	2.7702	0.0779	2.595	2.9768	0.3818
25811472	966.0	629.0	2628.0	3.24	0.621	0.151	0.049	18.0	2.0	19.0	18.0	20.7607	5.7451	3.3284	40.6871	37.3587	3.6136	3.0062	0.081	2.8472	3.2415	0.3943
27876862	610.0	427.0	1611.0	3.042	0.439	0.142	0.03	9.0	0.6	19.0	18.0	21.823	4.5258	7.795	35.0582	27.2631	4.8219	2.6915	0.0422	2.5842	2.8394	0.2552
29811890	1259.0	788.0	2756.0	2.734	0.597	0.113	0.034	17.0	1.6	19.0	18.0	20.686	6.4021	-0.4332	35.3193	35.7525	3.2311	3.1149	0.0995	2.9286	3.4183	0.4898
31361606	702.0	456.0	1581.0	2.569	0.468	0.123	0.034	14.0	0.9	19.0	18.0	19.2406	5.082	-5.6356	33.3656	39.0011	3.786	2.5126	0.0581	2.4043	2.6406	0.2363
