participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	260.0	168.0	406.0	2.715	0.371	0.105	0.019	1.0	0.3	116.0	115.0	24.0071	3.7515	13.9077	33.6295	19.7218	6.3993	5.639	0.133	5.3535	5.8969	0.5434
8454119	241.0	155.0	391.0	2.884	0.553	0.15	0.033	3.0	0.3	116.0	115.0	22.8981	5.3218	8.8481	36.2358	27.3877	4.3027	5.6692	0.0858	5.4033	5.8121	0.4088
11407866	278.0	183.0	492.0	3.274	0.483	0.101	0.016	2.0	0.2	116.0	115.0	26.9009	4.2276	13.1121	36.1444	23.0323	6.3632	5.5828	0.0942	5.3186	5.9009	0.5823
11574123	250.0	160.0	380.0	3.007	0.405	0.117	0.027	2.0	0.2	116.0	115.0	24.2992	5.1119	9.5173	40.7967	31.2793	4.7534	5.5421	0.0527	5.4445	5.6936	0.2491
16684978	166.0	109.0	256.0	2.744	0.368	0.117	0.028	1.0	0.2	116.0	115.0	23.0126	5.1167	8.3705	35.3084	26.9379	4.4975	5.0264	0.0415	4.9551	5.097	0.1419
25354225	256.0	166.0	453.0	3.142	0.395	0.115	0.02	2.0	0.2	116.0	115.0	23.0103	5.3159	8.9606	40.5343	31.5737	4.3286	5.1742	0.0829	5.0403	5.3992	0.3589
25811472	293.0	191.0	549.0	3.345	0.45	0.072	0.012	1.0	0.2	116.0	115.0	26.0789	3.3584	17.6681	35.8699	18.2018	7.7653	5.5956	0.0789	5.346	5.7173	0.3713
27876862	183.0	116.0	311.0	2.937	0.465	0.116	0.028	1.0	0.3	116.0	115.0	23.4031	5.3721	6.5277	33.9061	27.3783	4.3564	4.0079	0.1276	3.8794	4.2897	0.4103
29811890	215.0	141.0	423.0	3.182	0.457	0.111	0.017	1.0	0.2	116.0	115.0	24.6984	4.3106	13.5061	38.3956	24.8896	5.7297	5.6719	0.0331	5.6136	5.763	0.1494
31361606	165.0	109.0	240.0	2.476	0.367	0.087	0.012	1.0	0.1	116.0	115.0	24.4111	4.0832	15.2386	41.8699	26.6313	5.9784	4.7065	0.0683	4.4547	4.8014	0.3467
32938469	225.0	153.0	389.0	3.263	0.355	0.109	0.024	2.0	0.2	116.0	115.0	27.5539	5.3476	3.1421	41.2337	38.0916	5.1525	5.7856	0.0895	5.5609	6.0169	0.456
36895554	228.0	146.0	343.0	2.648	0.399	0.101	0.015	1.0	0.2	116.0	115.0	23.9095	3.2921	14.1948	31.7171	17.5223	7.2627	5.1114	0.0685	4.9588	5.3298	0.371
37329051	229.0	155.0	450.0	3.073	0.312	0.108	0.024	1.0	0.3	116.0	115.0	25.9862	4.9612	13.6086	38.8082	25.1996	5.2379	5.546	0.0541	5.3968	5.7058	0.309
37835493	187.0	127.0	288.0	2.501	0.372	0.114	0.028	2.0	0.2	116.0	115.0	21.041	4.413	6.5223	34.1928	27.6705	4.768	4.795	0.0412	4.7018	4.8604	0.1586
43606631	257.0	166.0	386.0	2.512	0.367	0.118	0.026	2.0	0.3	116.0	115.0	24.6021	4.067	13.3965	37.8394	24.4429	6.0492	4.6288	0.0551	4.5386	4.764	0.2255
49408975	206.0	134.0	334.0	2.701	0.505	0.098	0.02	1.0	0.2	116.0	115.0	23.2518	4.8157	2.4203	33.9194	31.4991	4.8284	5.2458	0.1095	4.9759	5.3817	0.4058
51217255	218.0	137.0	392.0	2.894	0.473	0.128	0.027	2.0	0.3	116.0	115.0	23.6484	4.7396	10.8821	33.5415	22.6594	4.9895	5.1712	0.0372	5.0895	5.2873	0.1978
52306425	226.0	160.0	420.0	2.765	0.393	0.113	0.021	2.0	0.2	116.0	115.0	23.0942	3.6272	13.0787	32.7661	19.6875	6.367	5.1099	0.042	5.0004	5.2892	0.2887
52835891	177.0	120.0	320.0	3.437	0.36	0.102	0.017	1.0	0.1	116.0	115.0	25.1416	4.048	12.006	32.9559	20.9499	6.2109	4.708	0.0434	4.6204	4.7958	0.1754
55710183	235.0	147.0	384.0	2.762	0.45	0.109	0.019	2.0	0.2	116.0	115.0	23.35	3.9771	9.6428	34.5692	24.9264	5.8712	5.263	0.0272	5.2193	5.3386	0.1193
56162563	211.0	144.0	352.0	2.686	0.334	0.125	0.032	2.0	0.3	116.0	115.0	24.2755	5.6414	4.3935	35.0185	30.625	4.3031	5.1638	0.0565	5.0362	5.3896	0.3535
60021964	271.0	181.0	378.0	2.577	0.415	0.113	0.02	2.0	0.3	116.0	115.0	24.081	5.986	8.7323	37.1129	28.3806	4.0229	5.5157	0.0267	5.4105	5.5623	0.1518
62582335	246.0	157.0	457.0	3.093	0.357	0.124	0.019	2.0	0.2	116.0	115.0	22.9012	3.7052	15.5067	33.204	17.6973	6.1808	4.8546	0.1242	4.5297	5.1653	0.6355
65198031	203.0	136.0	371.0	2.76	0.313	0.11	0.023	1.0	0.2	116.0	115.0	22.9844	4.0689	14.5317	33.3484	18.8167	5.6488	5.2295	0.0853	4.8221	5.4459	0.6238
70214854	257.0	161.0	465.0	3.009	0.425	0.111	0.021	2.0	0.3	116.0	115.0	25.4797	5.1892	11.8958	41.8738	29.978	4.9101	4.5979	0.035	4.5129	4.7028	0.1898
71851847	245.0	156.0	447.0	3.296	0.333	0.104	0.02	2.0	0.2	116.0	115.0	27.6116	5.0112	15.0264	42.231	27.2047	5.51	5.3373	0.089	5.167	5.5282	0.3612
74920331	286.0	192.0	501.0	2.844	0.415	0.109	0.017	1.0	0.3	116.0	115.0	24.5121	3.8496	12.4392	34.989	22.5499	6.3674	4.9217	0.0272	4.792	4.9509	0.1589
77390767	221.0	151.0	351.0	2.902	0.445	0.102	0.016	1.0	0.2	116.0	115.0	25.4155	4.6245	13.9723	35.7376	21.7653	5.4959	5.1508	0.0565	4.997	5.3274	0.3304
78982423	190.0	133.0	336.0	2.931	0.313	0.1	0.019	1.0	0.1	116.0	115.0	25.0892	3.6274	12.9402	36.5345	23.5943	6.9167	4.8897	0.0841	4.7076	5.0043	0.2968
80982198	281.0	185.0	501.0	3.35	0.44	0.138	0.024	3.0	0.3	116.0	115.0	24.2021	4.5235	14.0007	35.2797	21.279	5.3503	5.8591	0.0849	5.7119	6.1069	0.395
82699044	275.0	177.0	445.0	2.779	0.304	0.115	0.024	2.0	0.3	116.0	115.0	23.4555	4.2332	10.255	32.5046	22.2496	5.5408	5.4091	0.0649	5.282	5.6392	0.3572
84407714	198.0	132.0	358.0	2.821	0.388	0.1	0.017	1.0	0.2	116.0	115.0	23.1648	3.4448	12.495	32.2458	19.7508	6.7246	5.0889	0.0619	4.9881	5.2373	0.2492
86226939	211.0	141.0	317.0	2.501	0.407	0.088	0.02	1.0	0.2	116.0	115.0	23.7433	4.7426	9.7417	38.5627	28.821	5.0064	5.0978	0.0379	5.0142	5.2699	0.2557
93800202	187.0	118.0	301.0	3.335	0.338	0.105	0.02	1.0	0.2	116.0	115.0	25.2104	4.3378	15.3513	34.7539	19.4025	5.8118	5.159	0.0375	5.0772	5.2317	0.1544
97005004	258.0	165.0	488.0	2.912	0.407	0.118	0.025	4.0	0.3	116.0	115.0	23.854	5.9256	3.9497	35.3543	31.4046	4.0256	5.8615	0.0718	5.685	6.0874	0.4024
100527940	286.0	183.0	522.0	3.018	0.454	0.141	0.032	4.0	0.3	116.0	115.0	22.2654	5.6391	9.4183	35.9092	26.4909	3.9484	5.4704	0.0541	5.2075	5.5395	0.3319
103652366	206.0	139.0	318.0	2.644	0.316	0.09	0.015	1.0	0.1	116.0	115.0	23.5636	3.7046	14.2424	32.8256	18.5833	6.3607	4.7959	0.049	4.7435	4.9611	0.2176
105914514	265.0	174.0	498.0	3.137	0.506	0.108	0.032	2.0	0.3	116.0	115.0	20.3613	4.5783	6.0452	31.6131	25.5679	4.4473	6.3385	0.0465	6.2277	6.4603	0.2326
107578676	286.0	195.0	471.0	2.944	0.518	0.136	0.036	4.0	0.5	116.0	115.0	24.9214	6.5812	7.4587	37.582	30.1233	3.7867	6.3235	0.0757	6.1306	6.5982	0.4676
