participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	816.0	626.0	21.0	2.527	1.027	0.081	0.017	3.0	0.5	121.0	120.0	0.3004	2.4402	0.0	28.1707	28.1707	0.1231	2.8182	0.0723	2.5593	2.9268	0.3675
8454119	862.0	607.0	0.0	2.2	0.775	0.066	0.01	2.0	0.4	121.0	120.0	0.0	0.0	0.0	0.0	0.0		3.1932	0.0593	2.9538	3.324	0.3702
11407866	796.0	591.0	0.0	2.726	1.288	0.08	0.016	3.0	0.5	121.0	120.0	0.0084	0.2361	0.0	6.6622	6.6622	0.0354	2.9867	0.0489	2.8243	3.1272	0.3029
11574123	723.0	492.0	1.0	2.314	1.249	0.077	0.013	3.0	0.4	121.0	120.0	0.0309	0.5358	0.0	12.693	12.693	0.0577	2.6451	0.0442	2.495	2.7059	0.2109
16684978	717.0	509.0	11.0	3.019	1.264	0.103	0.022	4.0	0.8	121.0	120.0	0.2859	1.8395	0.0	21.7075	21.7075	0.1554	2.7557	0.0611	2.5913	2.8529	0.2616
25354225	845.0	553.0	25.0	2.565	1.061	0.096	0.034	9.0	1.3	121.0	120.0	0.3827	2.1255	-2.0503	17.4526	19.5029	0.18	2.6655	0.0714	2.509	2.791	0.2821
25811472	790.0	587.0	3.0	2.723	0.702	0.081	0.016	3.0	0.5	121.0	120.0	0.072	1.0658	0.0	20.0398	20.0398	0.0676	2.8721	0.0605	2.7151	3.0244	0.3093
27876862	710.0	492.0	14.0	2.614	0.863	0.069	0.013	3.0	0.4	121.0	120.0	0.3072	2.2601	0.0	24.9953	24.9953	0.1359	2.4796	0.0445	2.3904	2.5617	0.1714
29811890	820.0	515.0	0.0	2.345	0.833	0.072	0.014	3.0	0.5	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.867	0.1	2.6727	3.0801	0.4074
31361606	694.0	453.0	30.0	2.382	1.029	0.095	0.029	8.0	1.1	121.0	120.0	0.5663	2.8831	0.0	21.8831	21.8831	0.1964	2.5585	0.0675	2.3771	2.6652	0.2881
32938469	748.0	499.0	4.0	2.833	0.835	0.068	0.01	2.0	0.3	121.0	120.0	0.017	0.4639	0.0	12.688	12.688	0.0366	2.752	0.0568	2.5433	2.8559	0.3126
36895554	799.0	518.0	1.0	2.381	0.795	0.071	0.018	3.0	0.5	121.0	120.0	0.0338	0.6829	0.0	15.4395	15.4395	0.0496	2.6798	0.0418	2.5431	2.7778	0.2347
37329051	734.0	513.0	21.0	2.719	1.09	0.082	0.015	3.0	0.5	121.0	120.0	0.2827	2.438	0.0	30.8998	30.8998	0.1159	2.9734	0.0619	2.6749	3.0495	0.3746
37835493	741.0	546.0	18.0	2.261	0.849	0.07	0.019	4.0	0.8	121.0	120.0	0.4027	2.8352	0.0	30.252	30.252	0.142	2.7369	0.0699	2.5881	2.9101	0.322
43606631	703.0	456.0	26.0	2.233	1.113	0.105	0.038	10.0	1.1	121.0	120.0	0.9119	3.8746	0.0	25.7856	25.7856	0.2354	2.5092	0.0369	2.4017	2.6033	0.2015
49408975	785.0	546.0	0.0	2.79	0.905	0.07	0.012	2.0	0.4	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.6357	0.0455	2.3553	2.7276	0.3724
51217255	946.0	597.0	10.0	2.611	1.111	0.082	0.025	5.0	1.0	121.0	120.0	0.1102	1.0986	0.0	16.6507	16.6507	0.1003	3.0056	0.0529	2.8227	3.1625	0.3398
52306425	882.0	632.0	14.0	2.656	0.81	0.082	0.012	4.0	0.5	121.0	120.0	0.1453	1.4031	0.0	17.0914	17.0914	0.1036	2.7012	0.0702	2.5261	2.8251	0.299
52835891	790.0	591.0	32.0	2.675	1.124	0.092	0.024	5.0	0.9	121.0	120.0	0.183	1.4092	0.0	15.5902	15.5902	0.1299	2.6442	0.074	2.3446	2.7931	0.4484
55710183	833.0	591.0	9.0	2.438	0.999	0.063	0.009	2.0	0.3	121.0	120.0	0.1426	1.3451	0.0	17.0142	17.0142	0.106	2.726	0.0351	2.5949	2.8126	0.2176
56162563	929.0	676.0	5.0	2.332	1.152	0.081	0.014	3.0	0.6	121.0	120.0	0.0672	0.7903	0.0	11.3013	11.3013	0.085	3.097	0.0712	2.8609	3.2306	0.3697
60021964	791.0	551.0	0.0	2.506	0.909	0.073	0.011	3.0	0.4	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.81	0.1021	2.5185	2.9748	0.4563
62582335	828.0	556.0	45.0	2.793	0.883	0.099	0.022	3.0	0.8	121.0	120.0	0.2981	1.933	-0.1051	17.5336	17.6387	0.1542	2.7589	0.1311	2.459	2.926	0.467
65198031	832.0	587.0	6.0	2.432	1.065	0.079	0.022	3.0	0.7	121.0	120.0	0.1141	1.2028	0.0	17.9797	17.9797	0.0949	2.6126	0.0612	2.486	2.7402	0.2542
70214854	697.0	523.0	18.0	2.696	1.111	0.085	0.017	3.0	0.5	121.0	120.0	0.3073	2.3586	0.0	29.011	29.011	0.1303	2.7705	0.0455	2.6343	2.8413	0.207
71851847	835.0	579.0	0.0	2.693	1.107	0.071	0.024	12.0	0.5	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.8704	0.0674	2.5695	2.9683	0.3988
74920331	864.0	548.0	66.0	2.868	1.071	0.089	0.017	4.0	0.6	121.0	120.0	0.9232	4.2544	0.0	26.0655	26.0655	0.217	2.7641	0.0393	2.6078	2.8851	0.2773
77390767	771.0	573.0	0.0	2.57	0.984	0.067	0.011	2.0	0.4	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.6867	0.1466	2.2978	2.8344	0.5366
78982423	718.0	495.0	8.0	2.547	0.86	0.078	0.016	4.0	0.5	121.0	120.0	0.2168	1.9358	0.0	22.415	22.415	0.112	2.5401	0.0511	2.4261	2.673	0.247
80982198	765.0	496.0	0.0	2.553	0.877	0.065	0.01	2.0	0.3	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.6788	0.0411	2.6159	2.8335	0.2176
82699044	868.0	609.0	0.0	2.447	0.972	0.084	0.016	3.0	0.7	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.9129	0.0575	2.6993	3.0239	0.3246
84407714	705.0	493.0	5.0	2.895	1.045	0.075	0.012	3.0	0.4	121.0	120.0	0.1158	1.1725	0.0	13.729	13.729	0.0987	2.6531	0.048	2.5289	2.7383	0.2094
86226939	708.0	495.0	139.0	2.884	0.965	0.1	0.021	5.0	0.7	121.0	120.0	2.666	7.168	0.0	32.5355	32.5355	0.3719	2.6476	0.0887	2.3452	2.7479	0.4027
93800202	749.0	489.0	8.0	2.495	0.915	0.068	0.013	3.0	0.4	121.0	120.0	0.102	1.1605	0.0	16.7483	16.7483	0.0879	2.6247	0.0486	2.53	2.7047	0.1748
97005004	910.0	616.0	23.0	2.789	1.014	0.097	0.029	8.0	1.2	121.0	120.0	0.1404	1.466	0.0	22.6288	22.6288	0.0958	2.7788	0.0817	2.5482	2.9612	0.413
100527940	687.0	502.0	0.0	2.547	0.649	0.07	0.011	2.0	0.3	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.7527	0.0574	2.6212	2.915	0.2938
103652366	682.0	472.0	45.0	2.547	0.877	0.1	0.025	4.0	0.7	121.0	120.0	0.9272	4.0314	0.0	27.0509	27.0509	0.23	2.6758	0.0495	2.5731	2.8937	0.3205
105914514	1105.0	689.0	4.0	2.613	0.724	0.086	0.023	6.0	1.3	121.0	120.0	0.0427	0.8311	0.0	18.9155	18.9155	0.0514	2.8855	0.1515	2.4895	3.1609	0.6715
107578676	802.0	545.0	0.0	2.578	1.17	0.092	0.028	5.0	0.9	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.9757	0.0911	2.6113	3.179	0.5677
108828000	691.0	497.0	23.0	2.956	1.049	0.087	0.019	5.0	0.6	121.0	120.0	0.6924	4.0002	0.0	36.1877	36.1877	0.1731	2.3897	0.022	2.3266	2.4598	0.1332
113335479	853.0	586.0	6.0	2.584	0.789	0.07	0.011	2.0	0.4	121.0	120.0	0.0671	1.1435	0.0	22.7447	22.7447	0.0586	3.0412	0.0496	2.8706	3.1889	0.3183
115784129	925.0	620.0	0.0	2.478	0.821	0.085	0.019	4.0	0.8	121.0	120.0	0.0	0.0	0.0	0.0	0.0						
119126177	825.0	544.0	15.0	2.855	1.054	0.076	0.022	5.0	1.0	121.0	120.0	0.2635	2.0508	0.0	22.0971	22.0971	0.1285	2.646	0.0435	2.4499	2.7549	0.305
121697273	639.0	447.0	0.0	2.748	1.106	0.071	0.01	2.0	0.3	121.0	120.0	0.0	0.0	0.0	0.0	0.0		2.8134	0.1097	2.5803	3.0211	0.4408
130118047	834.0	558.0	10.0	2.86	0.824	0.099	0.025	4.0	0.9	121.0	120.0	0.0939	1.475	-18.4108	17.8502	36.261	0.0637	2.734	0.093	2.4372	2.8523	0.4151
131655018	609.0	359.0	240.0	2.277	0.862	0.153	0.065	19.0	2.0	121.0	120.0	5.7244	9.87	-39.8143	37.3849	77.1992	0.58	2.3204	0.0935	2.0867	2.4656	0.3789
134279804	730.0	573.0	1.0	2.534	0.895	0.063	0.01	1.0	0.3	121.0	120.0	0.0168	0.453	0.0	12.2402	12.2402	0.037	2.8006	0.0604	2.6165	2.9376	0.3211
138434806	700.0	477.0	463.0	2.776	1.215	0.116	0.044	9.0	1.0	121.0	120.0	5.9766	9.4725	0.0	36.6965	36.6965	0.6309	2.2963	0.0715	2.1551	2.4349	0.2799
154667058	1039.0	735.0	14.0	2.292	1.023	0.103	0.029	8.0	1.4	121.0	120.0	0.2119	1.8376	0.0	22.0013	22.0013	0.1153	3.0509	0.106	2.6015	3.2469	0.6454
158779019	777.0	511.0	6.0	2.633	0.943	0.069	0.01	3.0	0.3	121.0	120.0	0.0186	0.5184	0.0	14.4499	14.4499	0.0359	2.5818	0.0635	2.4704	2.7766	0.3062
162526644	1027.0	664.0	68.0	2.748	0.901	0.095	0.025	8.0	1.1	121.0	120.0	0.1934	1.7238	0.0	25.3722	25.3722	0.1122	2.8947	0.1285	2.564	3.1833	0.6193
163259093	827.0	540.0	3.0	2.284	0.951	0.078	0.014	3.0	0.5	121.0	120.0	0.0814	1.1917	0.0	22.4319	22.4319	0.0683	2.5139	0.0399	2.3738	2.5924	0.2185
176129790	710.0	463.0	204.0	2.628	0.973	0.076	0.013	3.0	0.3	121.0	120.0	2.5137	7.4309	0.0	39.7739	39.7739	0.3383	2.5334	0.061	2.2804	2.6269	0.3466
177928631	801.0	595.0	28.0	2.984	0.823	0.087	0.019	4.0	0.7	121.0	120.0	0.4349	2.2649	0.0	17.9994	17.9994	0.192	2.7891	0.0559	2.6313	2.8982	0.2669
182017409	910.0	595.0	36.0	2.567	1.02	0.095	0.031	9.0	1.2	121.0	120.0	0.1924	1.6116	0.0	21.5356	21.5356	0.1194	2.7099	0.0834	2.5273	2.9204	0.3931
189913356	934.0	627.0	46.0	2.379	0.876	0.107	0.033	9.0	1.5	121.0	120.0	0.3296	2.2926	-3.4649	25.2328	28.6977	0.1438	2.6777	0.064	2.5142	2.8692	0.3551
190100766	981.0	650.0	7.0	2.489	1.221	0.078	0.02	5.0	0.8	121.0	120.0	0.0491	0.7024	0.0	12.2665	12.2665	0.0699	2.8199	0.0513	2.628	2.9731	0.3451
192039987	765.0	554.0	63.0	2.459	1.06	0.131	0.076	15.0	2.6	121.0	120.0	0.6395	2.9744	-8.7929	23.865	32.658	0.215	2.5662	0.0668	2.2687	2.662	0.3933
192271174	616.0	469.0	7.0	2.343	0.978	0.084	0.017	3.0	0.5	121.0	120.0	0.1297	1.6505	0.0	27.2088	27.2088	0.0786	2.4889	0.043	2.245	2.5766	0.3316
192413932	806.0	615.0	5.0	2.569	0.922	0.102	0.023	3.0	1.1	121.0	120.0	0.0454	0.9429	0.0	23.2	23.2	0.0481	3.0109	0.0837	2.692	3.1833	0.4914
194293030	934.0	592.0	5.0	2.59	0.789	0.084	0.021	5.0	1.0	121.0	120.0	0.0805	1.2704	0.0	26.4046	26.4046	0.0634	2.6844	0.0452	2.5397	2.8054	0.2657
