participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	485.0	314.0	792.0	2.542	0.38	0.121	0.029	4.0	0.6	80.0	79.0	22.8285	4.6273	-21.2426	31.5166	52.7592	4.9334	4.1595	0.2929	3.8061	4.8335	1.0274
8454119	420.0	265.0	602.0	2.426	0.367	0.106	0.018	4.0	0.3	80.0	79.0	21.3154	5.0767	4.1222	32.701	28.5788	4.1987	5.0377	0.3047	4.6848	5.7463	1.0614
11407866	498.0	328.0	936.0	2.854	0.475	0.129	0.021	6.0	0.6	80.0	79.0	24.9694	5.6921	8.8454	37.7514	28.9061	4.3866	4.1651	0.241	3.8787	4.6385	0.7598
11574123	343.0	242.0	658.0	2.82	0.415	0.107	0.023	3.0	0.4	80.0	79.0	25.7262	5.3866	-4.2683	39.4508	43.7191	4.776	4.3672	0.2998	3.9569	5.1481	1.1912
16684978	329.0	217.0	446.0	2.396	0.527	0.085	0.015	1.0	0.3	80.0	79.0	24.0583	4.5858	12.6227	42.6073	29.9845	5.2463	4.1947	0.1416	3.9231	4.4329	0.5098
25354225	453.0	307.0	993.0	2.986	0.358	0.122	0.033	6.0	0.5	80.0	79.0	24.3426	5.3041	9.5141	38.5372	29.0232	4.5894	4.411	0.2069	3.8782	4.7662	0.888
25811472	385.0	269.0	668.0	2.894	0.359	0.109	0.013	2.0	0.2	80.0	79.0	26.3423	4.0275	15.2741	37.2	21.9259	6.5406	3.967	0.2231	3.7353	4.6318	0.8965
27876862	358.0	240.0	613.0	3.235	0.673	0.137	0.037	4.0	0.6	80.0	79.0	26.6815	6.6451	8.6434	40.6083	31.9649	4.0152	3.6373	0.0522	3.517	3.8413	0.3244
29811890	407.0	279.0	637.0	2.696	0.378	0.1	0.02	2.0	0.3	80.0	79.0	27.8745	5.5984	13.5257	47.1137	33.588	4.979	4.6063	0.4328	3.9215	5.2536	1.3321
31361606	365.0	246.0	604.0	2.592	0.296	0.11	0.019	3.0	0.3	80.0	79.0	24.3081	5.0957	9.9307	35.659	25.7282	4.7703	4.0336	0.1961	3.7913	4.5305	0.7392
32938469	504.0	333.0	941.0	2.717	0.34	0.136	0.029	7.0	0.5	80.0	79.0	23.1794	5.5647	0.6208	36.4058	35.785	4.1654	4.3443	0.192	4.014	5.0095	0.9955
36895554	382.0	246.0	656.0	2.83	0.343	0.098	0.019	2.0	0.3	80.0	79.0	25.118	4.423	9.1597	38.394	29.2343	5.679	4.2006	0.1354	3.9353	4.5792	0.644
37329051	527.0	379.0	1091.0	2.945	0.35	0.103	0.017	4.0	0.4	80.0	79.0	25.8345	4.6887	5.1435	38.6443	33.5008	5.51	4.2327	0.0939	4.1009	4.6297	0.5288
37835493	448.0	308.0	755.0	2.631	0.278	0.106	0.017	3.0	0.3	80.0	79.0	23.2928	3.8755	10.7675	35.9384	25.171	6.0102	3.8092	0.132	3.4589	4.2068	0.7479
43606631	290.0	202.0	357.0	2.283	0.279	0.13	0.022	2.0	0.3	80.0	79.0	22.9987	4.0443	11.1668	33.977	22.8101	5.6868	4.1921	0.1406	3.9279	4.4146	0.4867
49408975	460.0	335.0	1053.0	2.848	0.379	0.128	0.035	7.0	0.7	80.0	79.0	19.915	6.2962	2.038	40.2373	38.1993	3.163	3.9035	0.1769	3.6779	4.4743	0.7964
51217255	451.0	315.0	948.0	2.958	0.482	0.103	0.015	3.0	0.3	80.0	79.0	25.7677	3.8853	13.7909	37.5929	23.8019	6.632	3.7458	0.0835	3.6042	4.0432	0.439
52306425	563.0	403.0	945.0	2.422	0.511	0.146	0.029	7.0	0.8	80.0	79.0	20.7705	9.4684	-54.0694	33.9679	88.0374	2.1937	4.3152	0.1533	4.0538	4.8389	0.785
52835891	571.0	395.0	1206.0	2.942	0.445	0.124	0.028	6.0	0.7	80.0	79.0	23.7615	5.8516	6.3135	37.302	30.9884	4.0607	3.8577	0.2165	3.5618	4.6588	1.0969
55710183	435.0	307.0	661.0	2.406	0.37	0.109	0.022	3.0	0.4	80.0	79.0	23.4299	3.9073	10.7364	34.5447	23.8083	5.9964	4.3207	0.1074	4.1121	4.74	0.628
56162563	437.0	295.0	720.0	2.61	0.4	0.111	0.018	3.0	0.4	80.0	79.0	24.1684	3.6078	14.1516	34.7509	20.5993	6.6989	3.7969	0.1521	3.5314	4.2423	0.7108
60021964	476.0	331.0	865.0	2.669	0.377	0.134	0.068	7.0	2.0	80.0	79.0	22.2523	8.0245	-14.8408	40.6767	55.5176	2.773	4.0675	0.2503	3.7571	4.7233	0.9662
62582335	427.0	308.0	845.0	2.7	0.345	0.111	0.015	4.0	0.3	80.0	79.0	24.704	3.9621	13.4588	36.155	22.6962	6.2351	3.4327	0.1304	3.202	3.6923	0.4903
65198031	422.0	286.0	887.0	2.572	0.349	0.119	0.039	6.0	0.5	80.0	79.0	18.4708	5.0894	3.537	30.6839	27.1469	3.6293	4.0984	0.1544	3.8788	4.5307	0.6519
70214854	437.0	287.0	733.0	2.429	0.413	0.115	0.021	3.0	0.4	80.0	79.0	25.4885	4.5372	12.1657	39.5315	27.3659	5.6176	3.8603	0.1479	3.6512	4.2408	0.5897
71851847	672.0	467.0	1234.0	2.774	0.364	0.101	0.016	6.0	0.4	80.0	79.0	25.651	4.7157	7.2107	35.7905	28.5798	5.4394	4.1164	0.0816	3.9653	4.4168	0.4515
74920331	508.0	345.0	795.0	2.415	0.299	0.126	0.027	5.0	0.6	80.0	79.0	20.7602	4.4858	6.3166	33.1892	26.8725	4.628	3.6534	0.0769	3.4937	3.8721	0.3784
77390767	355.0	246.0	507.0	2.525	0.323	0.121	0.023	2.0	0.4	80.0	79.0	23.7951	3.7658	7.7351	33.7165	25.9815	6.3187	3.9656	0.1097	3.7016	4.377	0.6754
78982423	349.0	237.0	540.0	2.403	0.302	0.106	0.019	2.0	0.3	80.0	79.0	23.8991	4.7198	11.7934	35.1531	23.3597	5.0636	4.09	0.1715	3.8823	4.5548	0.6725
80982198	478.0	319.0	815.0	2.991	0.446	0.099	0.018	2.0	0.4	80.0	79.0	27.1078	3.927	11.637	36.2752	24.6382	6.903	4.3396	0.2029	4.0968	5.0988	1.002
82699044	475.0	320.0	822.0	2.69	0.284	0.108	0.021	4.0	0.4	80.0	79.0	23.0667	3.9719	11.5648	34.7231	23.1583	5.8075	4.1169	0.1302	3.9	4.5971	0.6972
84407714	465.0	310.0	808.0	2.65	0.33	0.095	0.016	4.0	0.3	80.0	79.0	23.0126	4.5504	8.0217	33.0124	24.9908	5.0572	3.9826	0.12	3.7458	4.3799	0.6341
86226939	408.0	291.0	646.0	2.602	0.427	0.109	0.02	3.0	0.4	80.0	79.0	23.7318	4.175	14.328	36.7943	22.4663	5.6843	4.4087	0.1712	4.1397	4.8253	0.6856
93800202	376.0	261.0	607.0	2.703	0.313	0.107	0.017	2.0	0.3	80.0	79.0	26.6244	4.1269	12.1394	38.7374	26.5979	6.4514	4.0002	0.221	3.7763	4.8906	1.1143
97005004	596.0	386.0	983.0	2.726	0.408	0.114	0.019	7.0	0.5	80.0	79.0	26.1866	4.9509	10.8325	40.6576	29.8251	5.2893	4.2407	0.3151	3.7722	5.1979	1.4257
100527940	712.0	500.0	1480.0	2.828	0.612	0.146	0.039	12.0	1.1	80.0	79.0	21.904	8.2418	-16.8752	48.6616	65.5369	2.6577	4.2472	0.1315	3.9188	4.7017	0.7829
103652366	361.0	244.0	591.0	2.652	0.393	0.107	0.018	2.0	0.3	80.0	79.0	23.8114	3.8469	11.7854	34.6109	22.8255	6.1897	4.3848	0.1921	3.8787	4.7877	0.909
105914514	626.0	440.0	1208.0	3.014	0.409	0.116	0.027	6.0	0.6	80.0	79.0	20.9379	5.1361	6.5461	39.3841	32.838	4.0766	4.4761	0.1766	4.0839	5.0362	0.9523
107578676	759.0	497.0	1261.0	2.703	0.357	0.112	0.023	8.0	0.7	80.0	79.0	26.0014	5.1602	10.453	36.3704	25.9174	5.0388	4.3167	0.3073	3.9064	5.0123	1.1059
108828000	576.0	386.0	1060.0	2.824	0.345	0.107	0.02	4.0	0.5	80.0	79.0	24.3161	4.5924	12.8615	40.6894	27.8279	5.2949	3.6325	0.2153	3.3444	4.2291	0.8847
113335479	536.0	387.0	933.0	2.632	0.376	0.105	0.016	4.0	0.4	80.0	79.0	24.9586	3.8092	5.2179	35.7282	30.5104	6.5523	4.3928	0.1504	4.061	5.193	1.132
115784129	550.0	373.0	835.0	2.343	0.434	0.13	0.021	6.0	0.5	80.0	79.0	22.2084	5.0611	9.601	35.3943	25.7933	4.388					
