participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	440.0	297.0	900.0	2.651	0.387	0.138	0.027	6.0	0.5	82.0	81.0	21.9472	4.1893	11.5007	32.5033	21.0026	5.2389	4.0258	0.1762	3.7517	4.603	0.8513
8454119	752.0	486.0	1563.0	2.837	0.463	0.123	0.029	10.0	0.7	82.0	81.0	23.2077	6.262	2.0995	37.5178	35.4183	3.7061	5.1353	0.219	4.6586	5.6452	0.9866
11407866	380.0	280.0	808.0	2.826	0.345	0.116	0.026	4.0	0.3	82.0	81.0	24.0191	5.077	9.522	33.9268	24.4049	4.7309	4.2245	0.2476	3.858	4.9136	1.0557
11574123	478.0	300.0	1163.0	3.024	0.581	0.105	0.026	5.0	0.4	82.0	81.0	20.6493	6.0307	5.8558	34.3326	28.4768	3.424	4.4881	0.2403	4.0042	5.1428	1.1387
16684978	370.0	230.0	867.0	2.876	0.506	0.144	0.037	5.0	0.6	82.0	81.0	20.9032	5.1489	8.372	35.3096	26.9376	4.0598	3.9948	0.1461	3.7783	4.3702	0.5919
25354225	674.0	420.0	1267.0	2.798	0.459	0.127	0.039	10.0	1.0	82.0	81.0	22.3767	8.415	-18.8164	38.2702	57.0867	2.6591	3.978	0.1647	3.7788	4.5406	0.7617
25811472	464.0	302.0	1249.0	2.999	0.48	0.104	0.022	7.0	0.3	82.0	81.0	20.2987	4.6263	7.0424	29.9023	22.8598	4.3877	4.0964	0.2527	3.6645	4.8112	1.1467
27876862	391.0	257.0	850.0	3.008	0.635	0.136	0.036	5.0	0.6	82.0	81.0	23.2692	6.1335	-2.1818	38.2026	40.3844	3.7938	3.6139	0.0279	3.504	3.703	0.199
29811890	448.0	298.0	1087.0	2.831	0.452	0.115	0.023	6.0	0.4	82.0	81.0	19.9907	5.9759	8.2319	35.0763	26.8444	3.3452	4.8338	0.3051	3.9913	5.3723	1.3809
31361606	315.0	214.0	699.0	2.75	0.438	0.125	0.024	3.0	0.2	82.0	81.0	22.1521	4.5741	10.5895	32.3864	21.7969	4.843	3.9379	0.0858	3.773	4.2267	0.4537
32938469	565.0	388.0	946.0	2.469	0.403	0.096	0.023	3.0	0.4	82.0	81.0	23.2708	6.0333	-0.4527	35.8882	36.341	3.8571	4.5972	0.2018	4.2065	5.3063	1.0998
36895554	384.0	265.0	835.0	2.814	0.425	0.11	0.019	4.0	0.3	82.0	81.0	23.6111	3.5622	12.744	33.4405	20.6965	6.6282	3.9889	0.1074	3.8201	4.228	0.4078
37329051	578.0	389.0	1445.0	2.998	0.53	0.119	0.023	8.0	0.6	82.0	81.0	24.7636	4.7615	10.9933	37.6992	26.7059	5.2007	4.2552	0.1358	4.0378	4.7788	0.741
37835493	497.0	334.0	1101.0	2.787	0.454	0.103	0.016	4.0	0.4	82.0	81.0	22.1711	3.8048	10.3629	31.2852	20.9223	5.8271	3.5328	0.1478	3.348	3.9176	0.5696
43606631	315.0	198.0	704.0	2.68	0.348	0.147	0.037	6.0	0.5	82.0	81.0	18.7047	4.4448	5.8098	33.9155	28.1057	4.2082	4.2035	0.1705	3.7579	4.47	0.7122
49408975	558.0	362.0	1293.0	2.959	0.516	0.12	0.025	8.0	0.6	82.0	81.0	21.623	4.747	8.8025	34.0579	25.2554	4.5551	3.8215	0.1587	3.4489	4.1756	0.7267
51217255	479.0	311.0	1150.0	3.017	0.431	0.106	0.017	4.0	0.4	82.0	81.0	24.5165	3.7166	14.1525	35.8834	21.731	6.5965	3.7833	0.0962	3.6634	4.2674	0.604
52306425	551.0	379.0	1071.0	2.624	0.416	0.108	0.021	5.0	0.4	82.0	81.0	23.1935	4.2684	13.4949	38.186	24.6911	5.4338	4.1402	0.093	3.9305	4.4402	0.5096
52835891	436.0	324.0	1129.0	2.958	0.506	0.127	0.027	4.0	0.5	82.0	81.0	22.7642	5.9341	7.3596	39.5332	32.1736	3.8362	3.7717	0.1978	3.4657	4.3009	0.8352
55710183	550.0	377.0	1172.0	2.673	0.548	0.117	0.024	5.0	0.5	82.0	81.0	21.4317	4.6814	8.4341	36.5219	28.0878	4.5781	4.1355	0.2051	3.6891	4.6742	0.9851
56162563	361.0	266.0	746.0	2.537	0.414	0.083	0.013	2.0	0.2	82.0	81.0	24.1042	4.0239	8.4021	32.9379	24.5358	5.9903	3.7277	0.0827	3.5439	4.0423	0.4984
60021964	540.0	343.0	1263.0	2.927	0.66	0.13	0.028	7.0	0.7	82.0	81.0	20.4283	5.3943	3.3195	36.1903	32.8708	3.787	4.0372	0.2262	3.742	4.6924	0.9504
