participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	661.0	476.0	1167.0	2.424	0.357	0.128	0.032	7.0	0.8	146.0	145.0	21.6483	5.749	4.4136	37.7028	33.2892	3.7656	3.3523	0.0909	3.071	3.4495	0.3784
8454119	641.0	443.0	1351.0	2.576	0.433	0.135	0.028	11.0	0.8	146.0	145.0	22.344	6.1804	6.2246	39.2699	33.0453	3.6153	3.479	0.1099	3.2213	3.7667	0.5454
11407866	691.0	462.0	1264.0	2.77	0.387	0.103	0.021	6.0	0.5	146.0	145.0	26.222	5.215	10.1614	47.2941	37.1327	5.0282	3.2453	0.0883	3.0756	3.4702	0.3946
11574123	692.0	491.0	1565.0	2.864	0.452	0.116	0.02	7.0	0.6	146.0	145.0	25.0349	4.941	1.7895	36.2506	34.4611	5.0667	3.3004	0.1113	3.0471	3.4915	0.4444
16684978	636.0	445.0	1056.0	2.488	0.466	0.128	0.028	9.0	0.7	146.0	145.0	21.8319	6.0107	1.5221	44.5716	43.0496	3.6322	3.3978	0.0606	3.3293	3.5399	0.2106
25354225	699.0	470.0	1398.0	2.787	0.407	0.102	0.023	6.0	0.6	146.0	145.0	23.9641	4.9596	4.3731	39.4394	35.0663	4.8319	3.5151	0.1339	3.2609	3.7301	0.4692
25811472	711.0	470.0	1215.0	2.636	0.412	0.114	0.03	7.0	0.8	146.0	145.0	23.9459	6.3355	5.2927	44.9109	39.6182	3.7797	3.594	0.0938	3.3688	3.758	0.3892
27876862	626.0	433.0	1049.0	2.578	0.253	0.105	0.025	4.0	0.5	146.0	145.0	23.8316	3.8074	11.6139	42.8075	31.1935	6.2592	2.9005	0.0602	2.7861	3.0612	0.2751
29811890	601.0	433.0	1186.0	2.536	0.396	0.118	0.02	7.0	0.6	146.0	145.0	25.7724	6.0616	6.6887	40.8507	34.162	4.2518	3.283	0.1526	3.0769	3.5382	0.4613
31361606	561.0	383.0	1211.0	2.645	0.453	0.138	0.036	10.0	0.8	146.0	145.0	20.9833	4.9654	3.3475	32.1167	28.7692	4.2259	3.0307	0.0967	2.8834	3.2723	0.3889
32938469	688.0	513.0	1647.0	2.897	0.554	0.154	0.043	11.0	1.1	146.0	145.0	21.7733	7.8306	-24.3661	42.3617	66.7278	2.7805	3.6353	0.1702	3.2939	4.0086	0.7146
36895554	767.0	537.0	1514.0	2.641	0.279	0.133	0.023	11.0	0.6	146.0	145.0	21.298	4.7159	-5.2609	33.715	38.976	4.5162	3.1677	0.0937	2.9741	3.5096	0.5355
37329051	788.0	531.0	1826.0	2.718	0.504	0.135	0.049	20.0	1.7	146.0	145.0	22.409	6.3529	-4.0509	38.5108	42.5617	3.5273	3.6915	0.1011	3.5448	3.9463	0.4015
37835493	859.0	610.0	1645.0	2.411	0.38	0.142	0.028	14.0	1.0	146.0	145.0	21.5882	5.7811	4.3542	39.7549	35.4007	3.7343	3.1845	0.0901	3.0814	3.4156	0.3342
43606631	531.0	359.0	906.0	2.119	0.339	0.123	0.035	9.0	0.6	146.0	145.0	19.9419	5.0532	-13.1712	30.4955	43.6667	3.9464	3.3024	0.097	3.112	3.5531	0.4411
49408975	621.0	402.0	1042.0	2.523	0.444	0.132	0.043	7.0	1.0	146.0	145.0	22.0872	5.8734	0.7829	38.6532	37.8703	3.7605	3.488	0.0787	3.2404	3.6608	0.4204
51217255	606.0	407.0	1165.0	2.535	0.447	0.124	0.033	7.0	0.7	146.0	145.0	24.0993	7.0517	1.3014	51.2912	49.9898	3.4175	3.3987	0.0711	3.2664	3.5699	0.3035
52306425	858.0	577.0	1335.0	2.424	0.291	0.112	0.021	8.0	0.7	146.0	145.0	22.5157	4.459	6.5056	36.9224	30.4168	5.0495	3.4594	0.0977	3.1689	3.5984	0.4294
52835891	619.0	403.0	1112.0	2.849	0.345	0.107	0.02	5.0	0.4	146.0	145.0	23.7439	4.4493	5.2727	36.9183	31.6455	5.3365	3.1732	0.043	3.0316	3.2301	0.1984
55710183	723.0	488.0	1284.0	2.419	0.43	0.125	0.028	8.0	0.8	146.0	145.0	21.6437	4.4718	8.1432	35.1479	27.0047	4.84	3.3999	0.2578	2.9652	3.6473	0.6822
56162563	615.0	429.0	1144.0	2.496	0.303	0.119	0.02	6.0	0.5	146.0	145.0	23.952	4.309	11.1143	39.4501	28.3358	5.5586	3.2044	0.0251	3.1152	3.2545	0.1393
60021964	649.0	453.0	1222.0	2.619	0.461	0.115	0.02	7.0	0.4	146.0	145.0	24.7803	5.2894	1.1359	35.6659	34.53	4.6849	3.2159	0.099	3.1006	3.4971	0.3964
62582335	707.0	473.0	1242.0	2.644	0.33	0.11	0.024	7.0	0.7	146.0	145.0	24.269	5.774	5.0744	47.5714	42.497	4.2032	3.0198	0.0318	2.8511	3.0905	0.2394
65198031	659.0	461.0	1000.0	2.273	0.352	0.117	0.025	5.0	0.6	146.0	145.0	22.5315	4.0949	11.9285	35.25	23.3214	5.5023	3.5696	0.0451	3.4556	3.6726	0.217
70214854	478.0	326.0	745.0	2.364	0.305	0.118	0.027	5.0	0.4	146.0	145.0	23.9341	4.6259	6.249	35.9776	29.7286	5.1739	2.9086	0.0691	2.7572	3.0321	0.275
71851847	639.0	473.0	1350.0	2.584	0.383	0.116	0.02	8.0	0.5	146.0	145.0	24.2779	4.8292	9.5423	37.7228	28.1805	5.0274	3.2381	0.0386	3.154	3.3413	0.1873
74920331	683.0	476.0	1227.0	2.482	0.379	0.12	0.025	6.0	0.6	146.0	145.0	23.5874	4.3431	0.4209	34.7213	34.3004	5.431	3.324	0.2381	3.0246	3.8234	0.7988
77390767	675.0	481.0	1146.0	2.341	0.439	0.121	0.028	6.0	0.8	146.0	145.0	23.1056	5.4962	-1.9646	41.6293	43.5939	4.2039	3.0792	0.0867	2.9211	3.2371	0.3159
78982423	633.0	412.0	1052.0	2.468	0.35	0.116	0.028	6.0	0.6	146.0	145.0	22.0487	4.9691	5.1165	34.4518	29.3353	4.4372	3.3648	0.1231	3.1509	3.5387	0.3878
