participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	554.0	373.0	807.0	2.574	0.34	0.12	0.021	4.0	0.6	96.0	95.0	23.1716	4.0465	12.1599	35.2769	23.1171	5.7263	3.4339	0.055	3.3259	3.531	0.2051
8454119	296.0	202.0	601.0	2.49	0.473	0.109	0.03	4.0	0.3	96.0	95.0	24.3594	6.1064	8.1452	36.3609	28.2157	3.9892	3.7758	0.126	3.5088	3.9266	0.4178
11407866	457.0	310.0	606.0	2.717	0.321	0.107	0.021	2.0	0.4	96.0	95.0	26.8252	3.5008	9.9323	37.4906	27.5583	7.6625	3.4515	0.0922	3.2277	3.5329	0.3053
11574123	433.0	281.0	616.0	2.482	0.323	0.118	0.022	3.0	0.4	96.0	95.0	25.0651	4.4479	12.4168	40.4875	28.0708	5.6353	3.42	0.0799	3.1831	3.4829	0.2998
16684978	324.0	205.0	377.0	2.643	0.487	0.14	0.035	4.0	0.5	96.0	95.0	23.6718	6.3184	-4.7164	38.7004	43.4168	3.7465	3.5068	0.0515	3.3469	3.617	0.2701
25354225	307.0	194.0	551.0	2.917	0.317	0.146	0.044	5.0	0.5	96.0	95.0	22.0518	6.7491	-6.6443	35.5576	42.2019	3.2674	3.6591	0.0782	3.3862	3.7364	0.3502
25811472	396.0	253.0	562.0	2.474	0.378	0.111	0.019	3.0	0.4	96.0	95.0	23.0013	4.792	6.5123	36.1617	29.6493	4.8	3.7172	0.0486	3.5705	3.7646	0.1941
27876862	454.0	307.0	722.0	2.439	0.31	0.127	0.025	5.0	0.5	96.0	95.0	22.5173	4.6624	7.5729	33.0266	25.4538	4.8296	2.9907	0.0875	2.8375	3.1759	0.3385
29811890	407.0	266.0	580.0	2.389	0.386	0.124	0.025	3.0	0.5	96.0	95.0	26.2131	5.5309	10.6516	44.3756	33.724	4.7394	3.4995	0.0727	3.1203	3.5606	0.4403
31361606	422.0	267.0	695.0	2.745	0.507	0.142	0.041	5.0	0.7	96.0	95.0	23.1104	6.1997	7.509	39.5995	32.0906	3.7276	3.1824	0.0551	3.0646	3.2926	0.2279
32938469	353.0	246.0	517.0	3.116	0.406	0.128	0.029	3.0	0.4	96.0	95.0	26.7141	4.8765	11.6808	41.3549	29.6741	5.4781	3.7759	0.0669	3.6764	3.9502	0.2738
36895554	397.0	261.0	691.0	2.426	0.421	0.126	0.028	6.0	0.5	96.0	95.0	20.0558	4.5148	5.7574	32.8785	27.1212	4.4422	3.4557	0.1353	3.0768	3.6715	0.5947
37329051	431.0	284.0	634.0	2.563	0.462	0.105	0.03	3.0	0.4	96.0	95.0	26.5521	6.354	-2.0528	41.8032	43.8561	4.1788	3.6818	0.0372	3.5553	3.7675	0.2122
37835493	348.0	207.0	533.0	2.482	0.326	0.141	0.055	5.0	0.7	96.0	95.0	23.3199	5.0275	6.7827	35.1411	28.3584	4.6385	3.319	0.1105	3.0857	3.4507	0.3651
43606631	288.0	198.0	327.0	2.024	0.34	0.143	0.033	4.0	0.4	96.0	95.0	21.83	6.1977	3.0687	38.6072	35.5385	3.5223	3.4043	0.1929	3.0209	3.5841	0.5632
49408975	365.0	254.0	399.0	2.093	0.418	0.118	0.016	2.0	0.3	96.0	95.0	22.6715	3.8423	6.851	35.035	28.184	5.9005	3.5883	0.1205	3.2826	3.7379	0.4553
51217255	473.0	294.0	798.0	2.4	0.422	0.142	0.038	9.0	0.7	96.0	95.0	22.6639	7.2042	3.9332	40.3385	36.4054	3.1459	3.4561	0.1081	3.1699	3.5551	0.3852
52306425	460.0	309.0	574.0	2.235	0.347	0.119	0.025	4.0	0.4	96.0	95.0	23.2707	5.1049	9.7956	35.9519	26.1563	4.5585	3.5749	0.0136	3.5069	3.6038	0.0969
52835891	376.0	246.0	485.0	2.691	0.39	0.117	0.025	3.0	0.4	96.0	95.0	23.0191	4.9579	9.0683	35.7162	26.6479	4.643	3.1715	0.0246	3.1216	3.2476	0.1261
55710183	377.0	247.0	466.0	2.487	0.351	0.138	0.032	4.0	0.4	96.0	95.0	24.4122	4.4535	9.3139	35.6017	26.2878	5.4815	3.6365	0.0582	3.4205	3.7636	0.3431
