participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	839.0	526.0	1276.0	2.395	0.348	0.121	0.024	8.0	0.9	49.0	48.0	20.2677	4.2357	5.8732	33.4044	27.5313	4.785	3.4569	0.0545	3.2315	3.5377	0.3063
8454119	377.0	246.0	638.0	2.45	0.479	0.141	0.036	7.0	0.4	49.0	48.0	25.2132	7.8236	2.6773	41.473	38.7958	3.2227	3.6627	0.0847	3.5178	3.9063	0.3886
11407866	560.0	368.0	1120.0	2.64	0.498	0.111	0.017	7.0	0.4	49.0	48.0	24.2015	4.7699	7.0375	34.8455	27.808	5.0738	3.4114	0.1056	3.1598	3.5343	0.3745
11574123	510.0	331.0	686.0	2.026	0.431	0.094	0.015	4.0	0.3	49.0	48.0	23.4989	3.802	12.0668	36.4427	24.3759	6.1807	3.2484	0.1144	3.0311	3.4088	0.3777
16684978	479.0	320.0	910.0	2.351	0.342	0.156	0.035	9.0	0.6	49.0	48.0	20.4344	5.2931	4.6488	34.8864	30.2376	3.8606	3.4857	0.0456	3.37	3.6038	0.2338
25354225	509.0	335.0	1267.0	2.85	0.578	0.145	0.025	11.0	0.5	49.0	48.0	20.9659	5.6112	4.7296	32.8029	28.0733	3.7364	3.6251	0.0848	3.2067	3.8047	0.5979
25811472	641.0	420.0	1059.0	2.33	0.366	0.125	0.026	9.0	0.7	49.0	48.0	21.2963	5.5755	-0.0508	40.5108	40.5616	3.8196	3.7112	0.0366	3.545	3.7599	0.2149
27876862	514.0	322.0	743.0	2.235	0.355	0.107	0.019	4.0	0.4	49.0	48.0	21.1631	4.9586	9.3662	37.0996	27.7334	4.268	2.856	0.0792	2.6733	2.9827	0.3095
29811890	445.0	314.0	496.0	1.795	0.36	0.079	0.009	1.0	0.2	49.0	48.0	23.4098	3.4156	13.9319	31.9946	18.0627	6.8539	3.3803	0.1464	2.9251	3.5452	0.62
31361606	452.0	300.0	877.0	2.581	0.567	0.127	0.029	5.0	0.5	49.0	48.0	19.2742	4.4697	5.9584	34.538	28.5796	4.3122	3.1827	0.0318	3.1008	3.276	0.1752
32938469	494.0	338.0	724.0	2.106	0.469	0.134	0.03	7.0	0.5	49.0	48.0	22.453	6.2228	3.3299	39.5569	36.227	3.6082	3.6556	0.0317	3.5612	3.7595	0.1983
36895554	418.0	286.0	700.0	2.219	0.507	0.134	0.022	5.0	0.4	49.0	48.0	21.077	3.6988	10.2304	32.5652	22.3348	5.6983	3.4566	0.0542	3.2083	3.537	0.3287
37329051	510.0	353.0	980.0	2.408	0.442	0.131	0.02	7.0	0.5	49.0	48.0	24.6341	5.4154	6.1957	38.1164	31.9207	4.5489	3.6775	0.0248	3.5739	3.7762	0.2022
37835493	471.0	321.0	618.0	2.054	0.388	0.098	0.016	4.0	0.4	49.0	48.0	20.2919	3.8944	6.8866	33.4427	26.5561	5.2105	3.2418	0.0937	3.0475	3.4286	0.381
43606631	338.0	223.0	589.0	2.254	0.367	0.158	0.04	5.0	0.5	49.0	48.0	19.418	4.4021	4.4439	30.7851	26.3412	4.411	3.323	0.1664	2.937	3.5595	0.6226
49408975	460.0	300.0	582.0	2.022	0.387	0.056	0.007	1.0	0.1	49.0	48.0	21.1114	3.6915	9.0013	32.662	23.6607	5.719	3.5012	0.11	3.227	3.6434	0.4165
51217255	448.0	308.0	860.0	2.362	0.427	0.132	0.03	7.0	0.5	49.0	48.0	23.7522	6.2202	3.5071	50.8933	47.3862	3.8186	3.4083	0.1384	3.1479	3.6264	0.4785
52306425	526.0	355.0	813.0	2.313	0.323	0.139	0.029	6.0	0.5	49.0	48.0	22.7981	4.8051	8.6578	35.2404	26.5825	4.7446	3.5746	0.0416	3.3716	3.6243	0.2527
52835891	411.0	275.0	742.0	2.773	0.464	0.127	0.02	5.0	0.4	49.0	48.0	21.6149	5.7414	9.2806	43.4702	34.1897	3.7647	3.141	0.0313	3.0636	3.2221	0.1585
55710183	438.0	283.0	700.0	2.214	0.384	0.139	0.029	6.0	0.5	49.0	48.0	19.7866	4.751	3.1783	33.4693	30.291	4.1647	3.6173	0.063	3.5014	3.7482	0.2468
56162563	381.0	245.0	546.0	2.184	0.475	0.101	0.014	3.0	0.2	49.0	48.0	22.6104	4.4412	7.3272	37.909	30.5817	5.091	3.2086	0.0352	3.0641	3.2595	0.1954
60021964	595.0	381.0	1169.0	2.542	0.564	0.129	0.031	9.0	0.7	49.0	48.0	21.3206	5.7587	4.9251	34.1471	29.222	3.7023	3.4804	0.074	3.3405	3.6112	0.2708
62582335	376.0	253.0	634.0	2.53	0.404	0.106	0.014	2.0	0.2	49.0	48.0	24.2315	4.6497	12.5634	46.5516	33.9882	5.2114	3.0697	0.0425	3.0066	3.1481	0.1415
65198031	511.0	356.0	742.0	2.206	0.361	0.13	0.025	5.0	0.6	49.0	48.0	20.1909	5.0285	6.778	39.514	32.736	4.0153	3.4984	0.091	3.1652	3.6736	0.5084
70214854	441.0	293.0	768.0	2.335	0.445	0.127	0.026	5.0	0.5	49.0	48.0	23.2957	4.5655	10.4504	38.8494	28.399	5.1025	2.8071	0.1361	2.6058	3.0634	0.4576
71851847	580.0	401.0	851.0	2.241	0.411	0.104	0.016	5.0	0.4	49.0	48.0	23.8224	4.6333	7.5958	36.9565	29.3607	5.1415	3.1709	0.0522	3.0419	3.2649	0.223
74920331	611.0	407.0	784.0	2.073	0.317	0.092	0.013	3.0	0.4	49.0	48.0	21.1386	3.8312	3.2305	33.9393	30.7088	5.5175	3.4316	0.1441	2.9031	3.7253	0.8222
77390767	492.0	332.0	738.0	2.42	0.31	0.098	0.02	4.0	0.4	49.0	48.0	20.7596	5.7227	1.4525	40.4468	38.9944	3.6276	3.0906	0.0547	3.0241	3.2382	0.2141
78982423	671.0	446.0	1029.0	2.144	0.484	0.128	0.027	8.0	0.8	49.0	48.0	20.1108	4.671	5.8608	35.0458	29.185	4.3055	3.4611	0.0649	3.2677	3.6287	0.361
80982198	625.0	411.0	1376.0	2.634	0.519	0.144	0.035	12.0	0.9	49.0	48.0	21.9787	5.9539	3.9655	35.34	31.3744	3.6915	3.6902	0.0442	3.5128	3.7579	0.2451
82699044	871.0	548.0	1270.0	2.069	0.4	0.112	0.023	8.0	0.8	49.0	48.0	19.4718	4.4821	4.8958	33.1792	28.2834	4.3443	3.2376	0.116	2.8353	3.3557	0.5204
84407714	322.0	205.0	686.0	2.601	0.474	0.1	0.02	3.0	0.2	49.0	48.0	18.4277	3.071	9.4242	30.3775	20.9534	6.0006	2.9779	0.1277	2.8122	3.2909	0.4787
86226939	334.0	237.0	576.0	2.213	0.487	0.107	0.017	4.0	0.2	49.0	48.0	18.4013	3.8971	2.7354	30.587	27.8517	4.7219	3.2533	0.0851	3.1038	3.442	0.3382
93800202	438.0	284.0	577.0	2.173	0.361	0.086	0.011	2.0	0.3	49.0	48.0	21.0604	3.6069	5.7524	29.5619	23.8095	5.8389	3.265	0.058	3.1677	3.379	0.2114
97005004	857.0	574.0	1498.0	2.484	0.413	0.12	0.025	12.0	0.8	49.0	48.0	23.9763	6.0763	3.301	38.2598	34.9588	3.9459	3.5742	0.2618	3.1797	4.0269	0.8471
100527940	577.0	388.0	899.0	2.568	0.404	0.093	0.015	3.0	0.4	49.0	48.0	23.5892	4.6814	11.3268	41.3273	30.0005	5.0389	3.46	0.2384	3.1255	3.7363	0.6108
103652366	358.0	244.0	494.0	2.066	0.406	0.12	0.028	4.0	0.4	49.0	48.0	20.6511	5.9429	3.2764	35.6287	32.3523	3.4749	3.0313	0.1325	2.9029	3.2893	0.3864
105914514	348.0	237.0	529.0	2.207	0.341	0.11	0.036	5.0	0.2	49.0	48.0	19.8448	6.0323	-4.9646	34.945	39.9096	3.2897	3.3	0.0851	3.0226	3.3995	0.3769
107578676	683.0	463.0	1216.0	2.387	0.435	0.102	0.017	7.0	0.5	49.0	48.0	28.2679	5.786	10.3935	45.2472	34.8536	4.8856	3.5215	0.1014	3.2034	3.7479	0.5444
108828000	458.0	316.0	592.0	2.004	0.504	0.096	0.015	3.0	0.3	49.0	48.0	21.5571	4.1915	7.9389	38.4524	30.5135	5.143	3.0254	0.0963	2.7993	3.3166	0.5173
113335479	538.0	366.0	840.0	2.217	0.406	0.113	0.017	6.0	0.4	49.0	48.0	20.7071	4.4005	0.6364	32.2987	31.6623	4.7056	3.6309	0.0991	3.3475	3.7813	0.4338
115784129	769.0	492.0	1066.0	2.164	0.448	0.121	0.032	8.0	1.0	49.0	48.0	18.2112	5.3321	2.5411	34.9662	32.4251	3.4154					
119126177	418.0	265.0	802.0	2.6	0.451	0.086	0.013	3.0	0.3	49.0	48.0	21.6183	4.454	7.5615	35.6795	28.118	4.8537	3.4173	0.0623	3.3088	3.5914	0.2826
