participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	644.0	423.0	1073.0	2.379	0.402	0.116	0.02	7.0	0.5	51.0	50.0	20.0423	4.4484	6.8657	34.7841	27.9184	4.5055	3.369	0.03	3.2584	3.4682	0.2098
8454119	481.0	341.0	634.0	2.213	0.284	0.112	0.015	3.0	0.3	51.0	50.0	25.4625	3.6519	14.217	35.5183	21.3013	6.9723	3.542	0.0492	3.4306	3.6555	0.225
11407866	477.0	320.0	1011.0	2.913	0.394	0.111	0.023	4.0	0.5	51.0	50.0	25.0217	4.5764	3.4545	45.2106	41.7561	5.4675	3.2107	0.0246	3.1552	3.2762	0.121
11574123	602.0	381.0	911.0	2.337	0.419	0.114	0.017	9.0	0.5	51.0	50.0	24.8688	4.9316	11.5648	39.3575	27.7927	5.0428	3.1717	0.0772	3.0052	3.3175	0.3123
16684978	547.0	372.0	817.0	2.343	0.407	0.137	0.023	7.0	0.5	51.0	50.0	22.971	5.0469	-0.9489	38.3286	39.2775	4.5515	3.3603	0.0155	3.2684	3.4395	0.1711
25354225	583.0	378.0	728.0	2.44	0.382	0.092	0.014	2.0	0.4	51.0	50.0	24.3641	4.0121	12.6729	39.2359	26.563	6.0726	3.3841	0.0907	3.2124	3.6332	0.4208
25811472	717.0	474.0	1045.0	2.405	0.389	0.104	0.018	4.0	0.6	51.0	50.0	24.1555	4.0717	11.6723	38.2646	26.5923	5.9325	3.4584	0.1131	3.1694	3.7369	0.5675
27876862	575.0	390.0	872.0	2.28	0.425	0.102	0.019	3.0	0.5	51.0	50.0	22.5931	4.1234	10.668	34.4821	23.8141	5.4792	2.8156	0.0565	2.714	2.9762	0.2621
29811890	484.0	316.0	894.0	2.503	0.403	0.13	0.022	7.0	0.4	51.0	50.0	26.2499	4.6298	15.9492	40.8267	24.8775	5.6697	3.1321	0.0543	2.9079	3.3534	0.4455
31361606	563.0	372.0	1077.0	2.6	0.554	0.122	0.024	7.0	0.6	51.0	50.0	22.2884	5.2862	7.2638	37.9617	30.6979	4.2164	2.9977	0.0636	2.8534	3.1445	0.2911
32938469	644.0	406.0	1100.0	2.601	0.444	0.139	0.035	10.0	1.0	51.0	50.0	21.0681	7.2932	2.7464	40.4597	37.7133	2.8887	3.5932	0.0874	3.3891	3.7348	0.3457
36895554	697.0	475.0	886.0	2.266	0.362	0.115	0.023	5.0	0.7	51.0	50.0	22.3179	3.2955	13.9604	33.8141	19.8537	6.7722	3.1187	0.0594	2.9611	3.3389	0.3779
37329051	647.0	435.0	1026.0	2.412	0.509	0.117	0.022	7.0	0.6	51.0	50.0	25.9501	5.2471	5.3772	39.1733	33.7961	4.9456	3.549	0.0629	3.4463	3.7257	0.2794
37835493	598.0	390.0	821.0	2.342	0.304	0.117	0.025	5.0	0.5	51.0	50.0	23.0756	3.3653	10.7559	33.1504	22.3945	6.8569	3.0802	0.0342	3.0252	3.1722	0.147
43606631	416.0	304.0	611.0	1.981	0.35	0.124	0.021	3.0	0.4	51.0	50.0	22.791	3.2528	13.8831	33.0239	19.1409	7.0065	3.0281	0.1079	2.8684	3.285	0.4166
49408975	606.0	392.0	1225.0	2.508	0.459	0.123	0.026	9.0	0.7	51.0	50.0	18.7838	4.2389	8.9149	38.6545	29.7396	4.4313	3.2046	0.1277	2.9271	3.4618	0.5347
51217255	575.0	390.0	818.0	2.321	0.341	0.117	0.028	5.0	0.6	51.0	50.0	26.1743	5.3933	8.176	45.0096	36.8336	4.8531	3.1727	0.0906	2.9819	3.3336	0.3516
52306425	601.0	406.0	777.0	2.224	0.297	0.111	0.018	4.0	0.5	51.0	50.0	21.7963	4.3486	7.0004	32.1655	25.1651	5.0122	3.4056	0.0715	3.215	3.5726	0.3576
52835891	479.0	307.0	863.0	2.774	0.347	0.122	0.024	6.0	0.5	51.0	50.0	22.7121	4.2277	10.0561	37.8936	27.8374	5.3723	3.1551	0.0441	2.982	3.2116	0.2296
55710183	441.0	304.0	627.0	2.278	0.323	0.123	0.027	5.0	0.6	51.0	50.0	21.8519	5.2189	2.4662	35.2904	32.8242	4.1871	3.1293	0.1838	2.9242	3.5885	0.6643
56162563	441.0	305.0	557.0	2.181	0.287	0.106	0.018	2.0	0.3	51.0	50.0	24.5316	3.2901	15.0867	36.1189	21.0322	7.4561	3.1502	0.0295	3.096	3.2233	0.1273
60021964	597.0	404.0	907.0	2.397	0.426	0.115	0.027	5.0	0.7	51.0	50.0	24.735	5.361	6.5877	40.8803	34.2926	4.6139	3.1931	0.0671	3.1088	3.3736	0.2648
62582335	562.0	359.0	799.0	2.562	0.478	0.102	0.016	3.0	0.4	51.0	50.0	24.3429	4.1073	7.442	37.3086	29.8666	5.9267	3.0032	0.0234	2.9586	3.0608	0.1023
65198031	625.0	419.0	1169.0	2.422	0.354	0.143	0.03	8.0	0.7	51.0	50.0	20.4502	4.5583	9.0808	33.797	24.7162	4.4863	3.4129	0.1638	3.0567	3.619	0.5623
70214854	486.0	316.0	630.0	2.096	0.475	0.117	0.017	5.0	0.3	51.0	50.0	23.7601	3.6625	9.0337	32.2368	23.203	6.4874	2.7925	0.0958	2.5798	2.9757	0.3959
