participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	487.0	324.0	1309.0	3.239	0.675	0.102	0.024	4.0	0.5	110.0	109.0	20.0211	4.7915	0.8103	32.3386	31.5283	4.1785	4.8316	0.2935	4.2998	5.4376	1.1378
8454119	484.0	317.0	1369.0	3.739	0.546	0.124	0.025	5.0	0.5	110.0	109.0	19.8883	4.6579	7.4538	34.0151	26.5613	4.2698	5.5711	0.2508	5.0723	6.0494	0.9771
11407866	524.0	355.0	1353.0	3.422	0.47	0.075	0.013	2.0	0.3	110.0	109.0	21.1537	3.9631	10.8535	33.6859	22.8325	5.3376	5.0652	0.2565	4.5592	5.7432	1.184
11574123	492.0	337.0	1327.0	3.441	0.618	0.087	0.016	2.0	0.3	110.0	109.0	18.9002	3.9359	6.9144	29.7691	22.8547	4.802	4.666	0.4729	4.0423	5.6454	1.6031
16684978	391.0	268.0	1129.0	3.32	0.551	0.136	0.044	8.0	0.7	110.0	109.0	20.5342	7.6242	-3.1616	68.5638	71.7253	2.6933	4.8335	0.1262	4.6086	5.0846	0.476
25354225	467.0	298.0	1091.0	3.589	0.799	0.086	0.03	5.0	0.5	110.0	109.0	19.6362	6.7498	-5.3131	37.2367	42.5498	2.9091	4.7583	0.1887	4.4325	5.1712	0.7387
25811472	577.0	379.0	1580.0	3.626	0.705	0.097	0.025	4.0	0.7	110.0	109.0	20.6233	5.5347	3.1089	36.7108	33.6019	3.7262	5.0287	0.3231	4.4804	5.6899	1.2095
27876862	370.0	249.0	1134.0	3.432	0.715	0.124	0.039	5.0	0.5	110.0	109.0	19.8677	4.3362	5.2649	29.273	24.008	4.5819	3.6674	0.1164	3.4609	3.932	0.4711
29811890	436.0	267.0	1161.0	3.305	0.548	0.097	0.05	5.0	0.6	110.0	109.0	18.5998	5.6147	0.2121	38.271	38.0589	3.3127	5.1428	0.3244	4.6228	5.7397	1.1169
31361606	360.0	244.0	998.0	3.208	0.444	0.119	0.028	4.0	0.4	110.0	109.0	20.8368	4.4622	7.7593	34.5674	26.8081	4.6696	4.2316	0.1496	3.9149	4.7018	0.7869
