participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	381.0	262.0	648.0	2.757	0.491	0.146	0.026	4.0	0.5	103.0	102.0	21.299	4.2827	9.5048	33.8008	24.296	4.9732	5.3804	0.2072	4.849	5.6084	0.7594
8454119	454.0	304.0	917.0	3.219	0.393	0.131	0.037	5.0	0.7	103.0	102.0	22.0292	5.9439	6.7423	36.6653	29.923	3.7062	5.472	0.1559	5.1736	5.6955	0.5218
11407866	388.0	259.0	688.0	3.127	0.544	0.119	0.024	4.0	0.3	103.0	102.0	22.4985	5.5624	4.6162	33.415	28.7987	4.0448	5.4297	0.1271	4.6412	5.7259	1.0847
11574123	307.0	201.0	527.0	3.254	0.396	0.14	0.029	4.0	0.4	103.0	102.0	22.9995	5.3823	5.3675	34.9273	29.5598	4.2732	5.2772	0.101	5.147	5.5217	0.3747
16684978	249.0	174.0	416.0	3.094	0.524	0.145	0.029	2.0	0.3	103.0	102.0	23.4441	5.9004	8.5174	36.2515	27.734	3.9733	4.8504	0.1088	4.6808	4.9945	0.3137
25354225	363.0	261.0	640.0	2.764	0.428	0.103	0.018	2.0	0.3	103.0	102.0	21.674	4.0049	8.1418	33.2784	25.1366	5.4119	5.2679	0.1763	4.7945	5.6292	0.8347
25811472	391.0	267.0	787.0	3.401	0.342	0.12	0.028	3.0	0.4	103.0	102.0	24.0038	4.9676	9.9801	37.2994	27.3192	4.8321	5.4779	0.1302	5.2169	5.6577	0.4408
27876862	265.0	193.0	482.0	2.997	0.573	0.126	0.024	2.0	0.3	103.0	102.0	24.0203	5.82	8.4949	41.3007	32.8058	4.1272	4.303	0.0595	4.0572	4.4216	0.3645
29811890	376.0	263.0	725.0	3.202	0.569	0.105	0.022	2.0	0.3	103.0	102.0	23.9258	5.3266	10.6575	40.0922	29.4347	4.4918	5.3632	0.32	4.8369	5.7608	0.9239
31361606	253.0	174.0	411.0	2.957	0.459	0.132	0.025	2.0	0.3	103.0	102.0	24.1672	5.7105	11.1483	41.7413	30.5931	4.2321	4.6012	0.1202	4.3746	4.7815	0.4069
32938469	362.0	251.0	680.0	3.242	0.684	0.139	0.031	4.0	0.5	103.0	102.0	23.2824	6.5892	4.6164	41.1474	36.531	3.5334	5.58	0.1022	5.3859	5.9331	0.5473
36895554	296.0	200.0	499.0	3.029	0.504	0.109	0.02	2.0	0.2	103.0	102.0	22.1038	4.5343	9.1357	35.3633	26.2276	4.8748	5.1078	0.0542	4.9829	5.257	0.2741
37329051	314.0	207.0	611.0	3.257	0.491	0.113	0.025	2.0	0.3	103.0	102.0	25.3709	4.755	11.9202	46.208	34.2879	5.3356	5.3654	0.1263	5.0629	5.5121	0.4492
37835493	335.0	223.0	516.0	2.732	0.409	0.146	0.031	4.0	0.4	103.0	102.0	20.1251	5.0284	7.1341	31.7256	24.5915	4.0023	4.6126	0.1111	4.3322	4.8211	0.4888
43606631	355.0	234.0	529.0	2.484	0.444	0.118	0.02	3.0	0.3	103.0	102.0	21.8639	4.5892	10.3496	32.6483	22.2987	4.7642	4.7247	0.0256	4.6252	4.7684	0.1432
49408975	318.0	215.0	517.0	2.698	0.482	0.115	0.019	2.0	0.3	103.0	102.0	20.9651	3.6044	8.0207	32.2311	24.2104	5.8165	5.1615	0.1609	4.7877	5.3362	0.5485
51217255	274.0	200.0	475.0	2.735	0.36	0.122	0.019	2.0	0.2	103.0	102.0	21.8075	4.649	6.2498	33.45	27.2002	4.6907	5.2112	0.064	5.048	5.3512	0.3032
52306425	435.0	297.0	651.0	2.553	0.413	0.131	0.025	4.0	0.4	103.0	102.0	20.6527	4.0548	9.6086	33.7575	24.1488	5.0934	5.1856	0.1519	4.747	5.4119	0.6649
52835891	274.0	185.0	533.0	3.166	0.502	0.123	0.022	2.0	0.3	103.0	102.0	21.8236	5.077	9.9546	34.776	24.8215	4.2985	4.5779	0.1334	4.1252	4.7377	0.6125
55710183	301.0	202.0	536.0	2.855	0.505	0.121	0.02	2.0	0.2	103.0	102.0	22.14	4.3945	9.2305	36.1922	26.9617	5.0381	5.1863	0.1934	4.8178	5.4521	0.6344
56162563	348.0	240.0	572.0	2.856	0.393	0.119	0.02	3.0	0.2	103.0	102.0	23.1221	4.0891	11.5336	33.2257	21.6922	5.6546	5.0432	0.2524	4.5465	5.4299	0.8834
60021964	348.0	245.0	549.0	2.461	0.461	0.143	0.025	5.0	0.4	103.0	102.0	20.5219	5.4855	7.2299	33.7504	26.5205	3.7411	5.2841	0.1412	4.8285	5.5262	0.6977
62582335	322.0	225.0	661.0	3.618	0.466	0.126	0.025	2.0	0.3	103.0	102.0	24.8322	5.3934	12.2443	43.2746	31.0303	4.6042	4.6373	0.2819	4.1629	5.0829	0.9201
65198031	333.0	216.0	587.0	3.047	0.462	0.121	0.031	3.0	0.4	103.0	102.0	20.836	4.2326	9.7954	33.0995	23.3041	4.9227	5.1145	0.1118	4.7739	5.211	0.4371
70214854	348.0	227.0	599.0	3.078	0.434	0.132	0.028	3.0	0.4	103.0	102.0	23.812	5.4305	11.0981	37.5226	26.4245	4.3849	4.5088	0.1551	4.125	4.6825	0.5575
71851847	370.0	236.0	540.0	2.851	0.439	0.104	0.017	2.0	0.3	103.0	102.0	25.4405	3.9727	11.9832	36.5681	24.5849	6.4038	4.8584	0.2136	4.6173	5.311	0.6937
74920331	384.0	264.0	667.0	2.752	0.318	0.13	0.023	3.0	0.3	103.0	102.0	21.3916	4.5653	8.3231	37.0351	28.712	4.6856	4.8875	0.0283	4.7929	4.9893	0.1964
77390767	332.0	229.0	534.0	2.739	0.43	0.138	0.029	3.0	0.4	103.0	102.0	21.5351	5.5732	7.5772	35.64	28.0628	3.864	4.9369	0.1394	4.6722	5.3714	0.6992
78982423	275.0	201.0	487.0	2.984	0.53	0.136	0.025	3.0	0.3	103.0	102.0	22.9458	4.508	9.4668	37.616	28.1492	5.09	4.9216	0.0703	4.6137	5.0317	0.4181
80982198	353.0	239.0	644.0	3.154	0.466	0.138	0.03	4.0	0.4	103.0	102.0	22.3812	5.2842	4.3181	35.6423	31.3242	4.2354	5.5265	0.1091	5.372	5.7272	0.3551
82699044	387.0	267.0	677.0	2.818	0.381	0.14	0.028	4.0	0.5	103.0	102.0	21.1978	5.3559	8.0381	35.0003	26.9622	3.9578	5.2227	0.1523	4.8298	5.372	0.5422
84407714	272.0	189.0	455.0	2.873	0.506	0.085	0.012	1.0	0.2	103.0	102.0	23.8399	3.8358	15.7993	35.5822	19.7829	6.2151	4.9939	0.0496	4.8423	5.1082	0.2658
86226939	333.0	223.0	580.0	2.945	0.574	0.111	0.023	2.0	0.3	103.0	102.0	22.38	5.2306	10.0363	38.2219	28.1856	4.2787	4.8246	0.2486	4.3534	5.2181	0.8648
93800202	259.0	179.0	441.0	3.136	0.522	0.1	0.015	1.0	0.2	103.0	102.0	24.0824	3.4434	13.8075	32.8528	19.0454	6.9937	4.7988	0.3505	4.3076	5.185	0.8773
97005004	401.0	266.0	674.0	2.961	0.43	0.123	0.023	3.0	0.4	103.0	102.0	24.1225	5.0478	7.758	34.3236	26.5656	4.7788	5.814	0.1374	5.6152	6.0804	0.4652
100527940	376.0	268.0	828.0	3.277	0.378	0.117	0.026	3.0	0.4	103.0	102.0	23.8903	5.2321	4.6614	37.3244	32.6631	4.5661	5.4403	0.1143	5.1488	5.8179	0.6691
103652366	323.0	209.0	523.0	2.753	0.45	0.111	0.023	2.0	0.3	103.0	102.0	21.4714	4.4071	9.3384	33.3473	24.0089	4.872	4.918	0.0704	4.7018	5.0905	0.3888
105914514	384.0	267.0	945.0	3.632	0.564	0.112	0.02	2.0	0.3	103.0	102.0	22.3107	5.0597	8.5965	34.6104	26.014	4.4095	6.1341	0.1325	5.7329	6.3913	0.6584
107578676	412.0	293.0	731.0	2.678	0.493	0.128	0.027	5.0	0.4	103.0	102.0	22.7926	5.8924	8.6059	38.4054	29.7994	3.8681	5.985	0.2378	5.7001	6.4741	0.774
108828000	263.0	189.0	459.0	2.791	0.416	0.123	0.027	2.0	0.2	103.0	102.0	22.1858	4.6268	6.8237	35.3133	28.4896	4.795	4.6287	0.0964	4.3542	4.7713	0.4171
113335479	407.0	288.0	701.0	2.851	0.512	0.121	0.022	3.0	0.4	103.0	102.0	21.5795	4.4758	8.1803	34.0205	25.8402	4.8214	5.9403	0.1078	5.6637	6.185	0.5213
115784129	326.0	229.0	565.0	2.726	0.432	0.145	0.041	3.0	0.5	103.0	102.0	19.7678	6.1224	3.5505	38.6351	35.0847	3.2288					
119126177	306.0	204.0	585.0	3.437	0.454	0.127	0.023	3.0	0.3	103.0	102.0	24.276	5.6641	9.3087	37.7405	28.4318	4.2859	4.9441	0.0652	4.7093	5.0611	0.3518
121697273	364.0	254.0	632.0	2.814	0.333	0.139	0.035	5.0	0.5	103.0	102.0	21.8071	6.1332	6.3264	38.9832	32.6568	3.5556	5.4509	0.1375	5.1791	5.6419	0.4627
130118047	412.0	273.0	702.0	2.814	0.485	0.116	0.023	3.0	0.3	103.0	102.0	22.5701	4.5342	10.397	34.9209	24.524	4.9778	5.1169	0.1097	4.8586	5.3899	0.5313
131655018	348.0	237.0	570.0	2.609	0.324	0.133	0.026	3.0	0.4	103.0	102.0	21.0493	4.611	9.5022	35.5464	26.0442	4.565	5.1373	0.128	4.9082	5.5435	0.6354
134279804	289.0	199.0	485.0	2.75	0.4	0.114	0.021	2.0	0.2	103.0	102.0	20.6946	4.6732	8.258	32.824	24.566	4.4284	4.8295	0.1098	4.6049	5.1763	0.5714
138434806	357.0	253.0	626.0	2.664	0.384	0.119	0.023	3.0	0.3	103.0	102.0	21.5475	4.391	11.5052	36.9596	25.4544	4.9072	5.5227	0.2002	4.9241	5.782	0.8579
154667058	397.0	264.0	697.0	2.903	0.62	0.112	0.026	3.0	0.4	103.0	102.0	22.9474	5.412	5.3911	40.4906	35.0994	4.2401	5.7841	0.0614	5.4623	5.9271	0.4648
158779019	290.0	203.0	525.0	3.095	0.506	0.135	0.026	3.0	0.3	103.0	102.0	22.7523	5.2825	10.3458	35.9463	25.6005	4.3071	5.1068	0.3962	4.3959	5.4253	1.0294
162526644	362.0	250.0	804.0	3.228	0.514	0.14	0.026	6.0	0.3	103.0	102.0	21.0417	5.5423	-10.2803	33.535	43.8153	3.7965	5.0299	0.1984	4.6817	5.3008	0.6191
163259093	266.0	189.0	469.0	2.947	0.635	0.1	0.019	1.0	0.2	103.0	102.0	24.3058	4.1746	11.4197	39.6246	28.205	5.8223	4.5668	0.1367	4.1658	4.6849	0.5191
176129790	324.0	237.0	551.0	2.483	0.444	0.13	0.028	3.0	0.3	103.0	102.0	21.1376	4.636	9.1188	30.3546	21.2359	4.5595	4.8708	0.0329	4.7942	4.9541	0.1599
177928631	371.0	251.0	569.0	2.728	0.384	0.128	0.026	4.0	0.4	103.0	102.0	22.1633	5.2852	11.847	40.2553	28.4083	4.1935	5.0201	0.048	4.9026	5.0775	0.1749
182017409	424.0	287.0	737.0	2.97	0.416	0.135	0.031	4.0	0.5	103.0	102.0	22.8015	5.0671	10.6712	35.9459	25.2747	4.4999	5.3728	0.3546	4.5774	5.6877	1.1103
189913356	366.0	245.0	704.0	3.047	0.418	0.104	0.023	2.0	0.3	103.0	102.0	21.7232	5.0381	-0.4332	35.121	35.5542	4.3118	5.1352	0.0364	5.045	5.1968	0.1518
190100766	368.0	245.0	601.0	2.908	0.445	0.102	0.02	2.0	0.3	103.0	102.0	22.8785	4.2713	7.6104	34.7972	27.1868	5.3564	5.0643	0.2261	4.5474	5.32	0.7726
192039987	320.0	233.0	583.0	2.958	0.457	0.103	0.022	1.0	0.3	103.0	102.0	20.4112	5.3491	3.7821	37.5436	33.7614	3.8158	5.0439	0.1202	4.8353	5.2355	0.4002
