participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	573.0	347.0	1041.0	2.659	0.401	0.121	0.031	7.0	0.8	101.0	100.0	20.0914	5.948	0.8652	34.4591	33.594	3.3778	4.8977	0.5215	3.8691	5.6437	1.7746
8454119	1053.0	639.0	2608.0	3.317	0.754	0.131	0.044	19.0	2.1	101.0	100.0	21.7009	8.1568	-6.7312	38.9799	45.7111	2.6605	4.6551	0.6682	3.5455	5.6127	2.0671
11407866	584.0	400.0	1763.0	3.708	0.467	0.146	0.031	9.0	0.7	101.0	100.0	21.5832	5.4585	7.9398	38.4834	30.5436	3.954	5.2097	0.3388	4.4437	5.9208	1.4772
11574123	484.0	331.0	1187.0	3.196	0.525	0.121	0.029	4.0	0.5	101.0	100.0	20.9892	5.7994	7.4019	37.09	29.6881	3.6192	5.148	0.2059	4.723	5.4487	0.7256
16684978	467.0	296.0	900.0	2.619	0.44	0.132	0.05	8.0	0.9	101.0	100.0	19.4733	7.0208	-6.0551	38.4165	44.4716	2.7737	4.8189	0.117	4.5998	4.9928	0.3929
25354225	749.0	449.0	1598.0	2.954	0.561	0.13	0.058	14.0	1.9	101.0	100.0	17.8173	8.7471	-7.0745	37.6954	44.7699	2.0369	5.229	0.2672	4.516	5.5387	1.0226
25811472	672.0	455.0	1889.0	3.269	0.532	0.125	0.028	8.0	0.6	101.0	100.0	19.7757	6.338	-3.5526	32.9998	36.5524	3.1202	5.4686	0.1788	4.8508	5.695	0.8442
27876862	358.0	253.0	897.0	3.144	0.334	0.146	0.033	5.0	0.4	101.0	100.0	23.1279	5.6271	10.0801	39.565	29.4849	4.1101	4.2395	0.0781	4.0792	4.384	0.3048
29811890	524.0	365.0	1252.0	3.259	0.413	0.131	0.036	10.0	0.5	101.0	100.0	23.1003	6.2073	1.2471	45.7473	44.5001	3.7215	5.0412	0.3587	4.4272	5.7562	1.329
31361606	487.0	265.0	883.0	2.605	0.67	0.122	0.064	8.0	1.1	101.0	100.0	17.285	8.1712	-3.6367	48.2612	51.898	2.1153	4.4154	0.1353	4.0953	4.6825	0.5872
32938469	536.0	383.0	1297.0	2.922	0.616	0.13	0.038	6.0	0.7	101.0	100.0	21.2519	5.4103	7.7014	35.6593	27.9578	3.928	5.2801	0.3921	4.6104	5.7942	1.1837
36895554	474.0	307.0	1137.0	3.16	0.397	0.118	0.023	4.0	0.4	101.0	100.0	21.0813	5.2912	8.5176	43.8656	35.3481	3.9842	5.0278	0.1358	4.6566	5.2468	0.5902
37329051	434.0	299.0	1128.0	3.24	0.484	0.155	0.037	9.0	0.6	101.0	100.0	22.7104	5.2257	6.9682	41.5565	34.5882	4.3459	4.9854	0.3382	4.1418	5.5203	1.3785
37835493	526.0	342.0	1254.0	3.062	0.38	0.129	0.026	6.0	0.5	101.0	100.0	21.396	5.2099	-0.6454	37.6569	38.3023	4.1068	4.4396	0.2974	3.7971	4.808	1.0109
43606631	511.0	349.0	942.0	2.467	0.406	0.132	0.026	6.0	0.6	101.0	100.0	21.2334	5.5706	8.7134	40.8482	32.1347	3.8117	4.6298	0.1244	4.3004	4.8115	0.5111
49408975	474.0	325.0	1217.0	3.051	0.48	0.121	0.029	4.0	0.6	101.0	100.0	19.0947	5.4969	3.4868	40.1528	36.666	3.4737	5.0864	0.1649	4.4878	5.2759	0.7881
51217255	489.0	327.0	1259.0	3.296	0.389	0.114	0.02	4.0	0.4	101.0	100.0	23.7305	4.9676	3.1375	38.5305	35.393	4.7771	4.7334	0.3568	4.0859	5.1995	1.1135
52306425	666.0	454.0	1407.0	2.816	0.368	0.135	0.028	8.0	0.9	101.0	100.0	20.8087	4.8732	4.9321	38.8244	33.8923	4.2701	5.1027	0.1679	4.5827	5.4416	0.8589
52835891	382.0	274.0	1099.0	3.124	0.38	0.115	0.024	6.0	0.3	101.0	100.0	20.9657	5.4165	9.7201	38.2038	28.4837	3.8707	4.5035	0.1319	4.1445	4.6641	0.5196
55710183	460.0	309.0	1134.0	3.115	0.409	0.151	0.042	6.0	0.8	101.0	100.0	20.4242	5.7709	7.6226	35.8377	28.2151	3.5392	4.8786	0.2837	4.0986	5.3098	1.2111
56162563	495.0	323.0	1159.0	3.087	0.433	0.137	0.035	6.0	0.6	101.0	100.0	23.1832	4.4145	11.076	37.9279	26.8519	5.2516	4.7833	0.2321	4.1626	5.3995	1.237
