participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	605.0	407.0	1005.0	2.527	0.35	0.094	0.015	3.0	0.4	125.0	124.0	18.8649	3.7007	6.7713	30.676	23.9046	5.0976	4.7785	0.3132	4.1004	5.4769	1.3765
8454119	687.0	453.0	1292.0	2.794	0.338	0.097	0.017	5.0	0.4	125.0	124.0	21.6181	4.5729	6.8607	34.8796	28.019	4.7274	5.4896	0.2468	4.7879	5.994	1.2061
11407866	600.0	406.0	1116.0	2.66	0.518	0.087	0.012	4.0	0.3	125.0	124.0	21.7816	4.4037	6.3893	33.0084	26.6191	4.9462	4.9253	0.3891	4.1008	5.6202	1.5195
11574123	579.0	392.0	1071.0	2.666	0.455	0.098	0.02	3.0	0.4	125.0	124.0	20.5693	4.1189	9.5502	32.486	22.9357	4.9939	4.8724	0.2518	4.4624	5.4353	0.9729
16684978	440.0	286.0	793.0	2.892	0.603	0.122	0.035	6.0	0.4	125.0	124.0	21.7737	6.3359	-5.838	38.404	44.242	3.4365	4.5039	0.2454	4.0966	5.0044	0.9078
25354225	567.0	371.0	1132.0	3.064	0.592	0.095	0.021	4.0	0.5	125.0	124.0	20.2652	7.1629	-5.6471	39.4077	45.0549	2.8292	4.9318	0.3763	4.4357	5.5978	1.1621
25811472	738.0	483.0	1674.0	3.172	0.452	0.093	0.016	5.0	0.5	125.0	124.0	22.1023	4.8012	8.768	37.7337	28.9658	4.6035	4.9486	0.318	4.3606	5.7712	1.4105
27876862	347.0	274.0	662.0	2.29	0.481	0.104	0.018	1.0	0.3	125.0	124.0	19.0765	4.2078	9.7534	33.3966	23.6431	4.5336	4.1393	0.1088	3.967	4.3832	0.4162
29811890	666.0	451.0	1239.0	2.596	0.585	0.115	0.035	8.0	1.0	125.0	124.0	20.4738	6.6624	-38.9312	47.9315	86.8627	3.073	4.7696	0.3835	4.3131	5.739	1.4259
31361606	482.0	316.0	674.0	2.141	0.419	0.097	0.023	3.0	0.5	125.0	124.0	18.568	5.1007	4.8031	40.1276	35.3245	3.6403	4.2938	0.2052	3.8273	4.7005	0.8732
32938469	813.0	513.0	1414.0	2.697	0.437	0.1	0.021	7.0	0.7	125.0	124.0	20.8587	4.8861	1.1514	36.6288	35.4775	4.269	5.3788	0.3225	4.437	5.8367	1.3997
36895554	468.0	327.0	892.0	2.813	0.618	0.076	0.013	1.0	0.3	125.0	124.0	20.817	4.22	8.6989	35.3221	26.6231	4.933	4.6385	0.2225	4.0661	5.083	1.0169
37329051	509.0	347.0	1052.0	2.981	0.527	0.101	0.019	3.0	0.5	125.0	124.0	22.9216	4.3313	3.615	34.1384	30.5234	5.2921	4.8622	0.3504	4.3266	5.4917	1.1651
37835493	569.0	395.0	997.0	2.627	0.384	0.115	0.022	5.0	0.5	125.0	124.0	19.8141	4.1621	7.9995	30.4961	22.4966	4.7606	4.3572	0.2512	3.9983	4.9562	0.9578
43606631	516.0	357.0	879.0	2.464	0.483	0.118	0.043	6.0	1.0	125.0	124.0	19.8914	5.864	-4.3562	43.0779	47.4342	3.3921	4.5714	0.2025	4.151	4.8014	0.6503
49408975	468.0	337.0	894.0	2.68	0.412	0.096	0.015	2.0	0.3	125.0	124.0	19.4512	4.5308	7.2215	33.1699	25.9484	4.2931	4.8804	0.1835	4.4933	5.2804	0.7871
51217255	560.0	365.0	888.0	2.448	0.341	0.082	0.013	3.0	0.3	125.0	124.0	21.4067	3.9702	9.082	33.5721	24.4901	5.3918	4.9721	0.2772	4.3837	5.3021	0.9184
52306425	631.0	447.0	1179.0	2.518	0.536	0.114	0.022	7.0	0.5	125.0	124.0	20.3793	5.0436	4.3623	43.4602	39.0979	4.0406	4.7482	0.2444	4.1813	5.2613	1.0801
52835891	542.0	376.0	871.0	2.556	0.538	0.116	0.024	4.0	0.6	125.0	124.0	20.1297	5.2495	-14.7452	32.11	46.8552	3.8346	4.1528	0.1783	3.749	4.5977	0.8487
55710183	469.0	320.0	801.0	2.507	0.513	0.074	0.01	2.0	0.2	125.0	124.0	18.5966	4.0505	4.0299	31.9034	27.8735	4.5912	4.8655	0.2119	4.2375	5.3919	1.1544
56162563	594.0	394.0	1012.0	2.6	0.367	0.094	0.015	3.0	0.4	125.0	124.0	20.3961	4.5112	7.5033	37.2988	29.7955	4.5213	4.475	0.2075	3.889	5.1582	1.2692
60021964	602.0	394.0	945.0	2.471	0.371	0.076	0.012	3.0	0.3	125.0	124.0	20.1111	3.9632	7.0142	34.3337	27.3195	5.0745	4.8706	0.2749	4.3303	5.566	1.2357
62582335	498.0	327.0	982.0	2.914	0.319	0.096	0.019	3.0	0.3	125.0	124.0	21.6505	4.701	6.0137	34.1779	28.1642	4.6055	4.2742	0.3405	3.8119	4.9263	1.1143
65198031	588.0	407.0	1027.0	2.763	0.542	0.139	0.028	8.0	0.7	125.0	124.0	19.0116	5.2698	-2.3628	32.1044	34.4672	3.6076	4.7591	0.2079	4.3056	5.1996	0.894
70214854	434.0	309.0	765.0	2.77	0.514	0.13	0.021	4.0	0.4	125.0	124.0	23.9266	6.5863	10.6201	41.5768	30.9567	3.6328	4.2029	0.1974	3.8588	4.6064	0.7476
71851847	368.0	247.0	781.0	2.922	0.598	0.079	0.015	1.0	0.2	125.0	124.0	20.87	4.5807	8.0948	34.4724	26.3776	4.5561	4.5414	0.2425	4.1015	5.1298	1.0283
74920331	425.0	289.0	826.0	2.9	0.361	0.079	0.013	2.0	0.2	125.0	124.0	20.0134	3.5272	10.042	30.9692	20.9273	5.6741	4.6712	0.154	4.1159	4.8891	0.7731
77390767	440.0	300.0	717.0	2.467	0.345	0.081	0.018	3.0	0.3	125.0	124.0	20.5234	4.6436	5.4049	33.7281	28.3232	4.4197	4.4625	0.2785	3.8735	5.033	1.1595
78982423	443.0	300.0	799.0	2.699	0.482	0.081	0.01	2.0	0.2	125.0	124.0	20.7771	4.7036	10.6856	43.5899	32.9043	4.4173	4.6022	0.2006	4.2322	4.9649	0.7326
80982198	753.0	503.0	1319.0	2.651	0.43	0.077	0.012	4.0	0.4	125.0	124.0	22.7047	4.989	7.0237	41.3097	34.286	4.5509	5.0746	0.4638	4.1898	5.897	1.7073
82699044	713.0	473.0	1263.0	2.642	0.447	0.102	0.024	7.0	0.6	125.0	124.0	18.6926	4.3261	-0.7974	31.679	32.4764	4.3208	4.7859	0.3209	4.1106	5.3093	1.1987
84407714	471.0	317.0	867.0	2.69	0.379	0.106	0.027	4.0	0.4	125.0	124.0	20.8725	5.2966	-2.0327	40.5809	42.6136	3.9407	4.5659	0.2985	3.9848	5.0516	1.0668
86226939	508.0	362.0	867.0	2.418	0.384	0.117	0.023	5.0	0.6	125.0	124.0	19.8602	4.9603	2.9692	33.9463	30.9771	4.0038	4.4535	0.2053	4.277	5.075	0.7979
93800202	382.0	270.0	801.0	2.969	0.447	0.096	0.013	2.0	0.2	125.0	124.0	22.5154	4.5266	10.982	38.3414	27.3594	4.974	4.5084	0.3019	4.0197	5.156	1.1362
97005004	534.0	375.0	1091.0	2.917	0.407	0.096	0.016	3.0	0.3	125.0	124.0	23.6063	4.2096	10.8966	39.4702	28.5736	5.6077	5.3669	0.2595	4.9536	5.9751	1.0215
