participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	722.0	487.0	1281.0	2.412	0.428	0.144	0.036	11.0	1.1	28.0	27.0	19.9473	5.1313	1.9919	36.5295	34.5376	3.8874	2.8986	0.1536	2.5883	3.274	0.6857
8454119	388.0	268.0	808.0	2.803	0.526	0.158	0.037	7.0	0.7	28.0	27.0	21.2362	7.4386	4.6715	38.8664	34.195	2.8549	3.8747	0.1422	3.4801	4.1524	0.6723
11407866	525.0	356.0	1298.0	3.045	0.467	0.147	0.044	10.0	0.8	28.0	27.0	21.9335	6.2663	3.0333	37.9753	34.942	3.5002	2.7076	0.0464	2.6055	2.8517	0.2462
11574123	447.0	309.0	769.0	2.192	0.505	0.121	0.029	4.0	0.5	28.0	27.0	23.6965	5.1104	4.5367	39.1286	34.592	4.6369	3.0572	0.1388	2.7597	3.2932	0.5335
16684978	440.0	334.0	767.0	2.162	0.365	0.123	0.027	5.0	0.6	28.0	27.0	21.5618	5.4108	2.3292	35.9574	33.6282	3.985	2.8795	0.0492	2.6968	3.0174	0.3207
25354225	501.0	333.0	1277.0	3.026	0.753	0.139	0.029	8.0	0.5	28.0	27.0	23.2643	6.2656	7.3111	48.4829	41.1718	3.713	2.7523	0.1025	2.4425	2.9034	0.461
25811472	731.0	500.0	1578.0	2.476	0.535	0.144	0.035	17.0	1.0	28.0	27.0	20.3092	6.2004	-1.6149	36.9725	38.5874	3.2755	3.1421	0.2186	2.6516	3.49	0.8384
27876862	489.0	342.0	984.0	2.51	0.513	0.156	0.044	11.0	1.0	28.0	27.0	21.8993	5.6147	5.3695	35.2046	29.8351	3.9003	2.5687	0.0528	2.4283	2.6992	0.2708
29811890	669.0	466.0	1563.0	2.765	0.612	0.141	0.045	11.0	0.9	28.0	27.0	23.864	6.06	-5.634	42.8586	48.4927	3.938	2.6034	0.1161	2.403	2.846	0.443
31361606	338.0	233.0	987.0	2.89	0.64	0.133	0.035	5.0	0.5	28.0	27.0	21.82	5.6955	-19.4921	31.9024	51.3945	3.8311	2.5573	0.0822	2.368	2.6898	0.3217
32938469	463.0	322.0	1060.0	2.585	0.631	0.14	0.052	9.0	1.4	28.0	27.0	21.3514	6.703	-13.6604	34.852	48.5124	3.1853	3.0362	0.1246	2.7958	3.285	0.4891
36895554	631.0	417.0	1176.0	2.547	0.41	0.133	0.033	10.0	0.9	28.0	27.0	20.0511	4.9653	4.8804	32.8337	27.9532	4.0382	2.752	0.0437	2.6332	2.8656	0.2324
37329051	608.0	405.0	1905.0	2.912	0.718	0.17	0.063	20.0	1.8	28.0	27.0	23.4895	8.2265	-19.9259	42.746	62.6719	2.8554	2.8966	0.1279	2.5782	3.1334	0.5552
37835493	622.0	420.0	1236.0	2.502	0.462	0.144	0.04	10.0	0.9	28.0	27.0	21.1911	5.6488	5.4025	34.0914	28.6889	3.7514	2.7082	0.0997	2.505	2.9048	0.3998
43606631	456.0	305.0	967.0	2.75	0.496	0.134	0.03	6.0	0.6	28.0	27.0	21.6659	4.7308	8.2221	36.6182	28.3961	4.5798	2.8327	0.0823	2.6497	2.9489	0.2992
49408975	437.0	292.0	1133.0	3.137	0.733	0.127	0.029	4.0	0.5	28.0	27.0	23.3493	4.8059	8.4887	39.014	30.5254	4.8585	2.7196	0.118	2.4576	2.885	0.4274
51217255	424.0	295.0	930.0	2.578	0.563	0.116	0.031	5.0	0.6	28.0	27.0	23.5832	4.5489	5.9553	38.3693	32.4139	5.1843	2.7068	0.1179	2.4619	2.9408	0.4789
52306425	565.0	382.0	976.0	2.289	0.524	0.144	0.042	8.0	1.0	28.0	27.0	21.4083	6.1458	-14.3719	35.9948	50.3667	3.4834	2.7954	0.1036	2.6428	3.0174	0.3746
52835891	358.0	232.0	836.0	2.867	0.482	0.131	0.026	5.0	0.4	28.0	27.0	20.7724	4.3803	8.674	34.0879	25.4139	4.7422	2.8088	0.1261	2.597	2.9996	0.4026
55710183	478.0	326.0	1137.0	2.592	0.557	0.144	0.03	7.0	0.7	28.0	27.0	20.4701	5.1663	-9.283	35.4076	44.6906	3.9623	2.7394	0.0917	2.5367	2.9264	0.3897
56162563	496.0	346.0	1099.0	2.725	0.408	0.156	0.029	9.0	0.6	28.0	27.0	23.4845	5.82	4.1913	36.3425	32.1512	4.0351	2.7693	0.0962	2.6006	3.0174	0.4168
60021964	538.0	368.0	1293.0	2.808	0.599	0.161	0.046	17.0	0.9	28.0	27.0	21.9405	6.9807	-1.7952	43.1078	44.903	3.143	2.7821	0.0886	2.5755	2.944	0.3685
62582335	706.0	470.0	1510.0	2.557	0.436	0.129	0.031	12.0	0.9	28.0	27.0	20.6524	5.4127	2.9072	36.1122	33.205	3.8155	2.6896	0.069	2.5788	2.8222	0.2434
65198031	417.0	284.0	708.0	2.4	0.346	0.139	0.044	6.0	0.6	28.0	27.0	22.2847	6.2316	4.9823	39.6591	34.6768	3.5761	2.9211	0.1076	2.791	3.3319	0.5408
70214854	680.0	459.0	1363.0	2.43	0.508	0.159	0.042	14.0	1.1	28.0	27.0	22.892	6.2467	1.2175	38.0094	36.792	3.6646	2.6401	0.0785	2.4759	2.8422	0.3663
71851847	486.0	331.0	1149.0	2.963	0.57	0.159	0.044	10.0	0.9	28.0	27.0	22.9061	7.2942	1.9766	41.8349	39.8583	3.1403	3.0511	0.1776	2.7124	3.3673	0.6549
74920331	599.0	453.0	1335.0	2.552	0.523	0.169	0.044	14.0	0.9	28.0	27.0	20.4293	6.2063	-17.9942	34.4192	52.4133	3.2917	2.6453	0.165	2.4398	3.0509	0.6111
77390767	427.0	328.0	963.0	2.383	0.532	0.134	0.032	5.0	0.7	28.0	27.0	20.9188	5.6878	5.7441	38.5867	32.8426	3.6779	2.5799	0.068	2.4767	2.7496	0.2729
78982423	466.0	335.0	1019.0	2.549	0.417	0.149	0.028	7.0	0.6	28.0	27.0	21.4632	4.7192	8.2964	35.0558	26.7594	4.548	2.7114	0.1072	2.4946	3.0034	0.5088
80982198	540.0	376.0	1414.0	2.8	0.626	0.135	0.029	9.0	0.7	28.0	27.0	19.7771	5.268	2.5611	34.1764	31.6153	3.7542	3.0902	0.1335	2.8023	3.355	0.5527
82699044	562.0	405.0	1082.0	2.352	0.46	0.125	0.027	6.0	0.7	28.0	27.0	20.1093	5.0558	2.9913	31.8733	28.8819	3.9774	2.5815	0.0746	2.4116	2.7325	0.3209
84407714	494.0	331.0	1103.0	2.707	0.528	0.144	0.034	8.0	0.6	28.0	27.0	20.7853	4.4853	8.4709	37.5457	29.0748	4.6341	2.8428	0.1949	2.4103	3.2115	0.8011
86226939	508.0	346.0	1022.0	2.392	0.549	0.12	0.022	5.0	0.5	28.0	27.0	20.3402	4.416	8.8557	33.1981	24.3424	4.606	2.7614	0.0803	2.5736	2.8766	0.303
93800202	373.0	245.0	997.0	2.941	0.775	0.125	0.025	4.0	0.4	28.0	27.0	22.6881	4.818	5.8485	32.9923	27.1438	4.7091	2.8072	0.1036	2.622	3.1002	0.4782
97005004	762.0	533.0	1651.0	2.673	0.583	0.135	0.036	11.0	1.2	28.0	27.0	24.0541	6.8365	-10.214	38.8105	49.0245	3.5185	3.0715	0.1188	2.8062	3.278	0.4718
100527940	448.0	311.0	890.0	2.514	0.461	0.14	0.044	7.0	0.9	28.0	27.0	22.1598	7.2023	0.2352	39.842	39.6069	3.0768	2.9249	0.0523	2.8126	3.0631	0.2504
103652366	503.0	354.0	951.0	2.203	0.522	0.139	0.037	7.0	0.9	28.0	27.0	20.082	5.8022	0.0925	36.2247	36.1322	3.4611	2.8355	0.1939	2.6006	3.2049	0.6043
105914514	833.0	554.0	2051.0	2.578	0.712	0.146	0.049	15.0	1.7	28.0	27.0	14.7067	6.4483	-2.6968	29.8356	32.5325	2.2807	3.2362	0.1981	2.8454	3.7661	0.9207
107578676	637.0	439.0	1413.0	2.772	0.476	0.144	0.033	11.0	1.0	28.0	27.0	23.3687	7.2867	-0.1651	38.8741	39.0392	3.2071	3.3806	0.312	2.725	3.8083	1.0834
108828000	477.0	325.0	1148.0	2.689	0.477	0.136	0.041	9.0	0.6	28.0	27.0	21.6398	6.396	-2.5608	41.6016	44.1623	3.3833	2.6127	0.1069	2.4365	2.8418	0.4053
113335479	810.0	570.0	1655.0	2.486	0.574	0.139	0.034	14.0	1.1	28.0	27.0	20.7998	5.6675	3.2906	36.5303	33.2396	3.67	2.8889	0.1035	2.6886	3.1136	0.425
115784129	570.0	375.0	1025.0	2.257	0.369	0.133	0.028	8.0	0.7	28.0	27.0	17.9193	4.5096	4.0294	31.7616	27.7323	3.9736					
119126177	517.0	360.0	1013.0	2.587	0.54	0.134	0.032	6.0	0.7	28.0	27.0	21.1447	5.5744	2.8957	34.3077	31.412	3.7932	2.6905	0.074	2.4627	2.8113	0.3486
121697273	566.0	388.0	1069.0	2.566	0.465	0.137	0.027	6.0	0.7	28.0	27.0	26.8305	4.8121	9.7072	39.4606	29.7535	5.5756	2.8025	0.0724	2.6559	3.0638	0.4079
130118047	766.0	513.0	1540.0	2.646	0.36	0.121	0.021	11.0	0.7	28.0	27.0	23.6307	4.7335	10.6109	34.3574	23.7465	4.9922	2.6691	0.0765	2.5542	2.8963	0.3421
131655018	583.0	389.0	1065.0	2.288	0.465	0.144	0.038	9.0	1.0	28.0	27.0	19.4742	5.6913	3.1715	33.6444	30.473	3.4218	2.6691	0.0598	2.5224	2.7903	0.2679
134279804	520.0	379.0	1169.0	2.48	0.573	0.149	0.038	8.0	0.8	28.0	27.0	20.5547	5.3434	0.6425	32.3365	31.6939	3.8467	2.7587	0.1126	2.5167	2.9471	0.4304
138434806	674.0	444.0	1113.0	2.206	0.371	0.129	0.036	13.0	1.0	28.0	27.0	18.3086	5.096	0.6384	28.1825	27.5441	3.5927	3.0729	0.0708	2.9144	3.2202	0.3059
154667058	806.0	548.0	1620.0	2.439	0.526	0.151	0.03	14.0	1.0	28.0	27.0	20.7448	5.7033	3.9043	35.1424	31.2381	3.6373	3.2779	0.1887	2.9107	3.6019	0.6911
158779019	617.0	414.0	1192.0	2.418	0.519	0.149	0.048	12.0	1.2	28.0	27.0	20.3877	5.6808	3.6917	40.5681	36.8764	3.5889	2.746	0.1209	2.5295	3.2044	0.6749
162526644	609.0	427.0	1609.0	2.861	0.625	0.15	0.033	10.0	1.0	28.0	27.0	22.7912	5.2244	1.9519	38.6848	36.7329	4.3624	3.0031	0.1092	2.769	3.2165	0.4475
163259093	511.0	341.0	1092.0	2.638	0.449	0.135	0.037	8.0	0.9	28.0	27.0	23.0496	5.172	2.3698	36.9055	34.5357	4.4566	2.6643	0.1215	2.4467	2.9223	0.4755
176129790	677.0	443.0	1349.0	2.729	0.498	0.149	0.037	11.0	1.0	28.0	27.0	21.3705	6.6896	1.2731	39.8578	38.5847	3.1946	2.7289	0.0626	2.6156	2.9212	0.3057
177928631	586.0	391.0	1205.0	2.729	0.562	0.167	0.047	13.0	1.1	28.0	27.0	20.9073	6.3241	1.3051	35.3821	34.077	3.306	2.806	0.1142	2.5856	3.0573	0.4717
182017409	501.0	335.0	1204.0	2.938	0.537	0.136	0.042	8.0	0.9	28.0	27.0	22.2982	6.354	7.5268	42.1658	34.639	3.5093	3.0366	0.1612	2.6835	3.2561	0.5726
189913356	547.0	383.0	1298.0	2.499	0.621	0.174	0.076	12.0	1.6	28.0	27.0	15.5293	8.443	-3.2143	37.0986	40.3129	1.8393	3.1149	0.1957	2.8128	3.6229	0.8101
190100766	752.0	494.0	1357.0	2.473	0.433	0.109	0.018	8.0	0.6	28.0	27.0	24.4832	4.61	7.6674	39.5525	31.8851	5.3109	2.6834	0.1011	2.5411	2.9794	0.4383
192039987	484.0	311.0	1118.0	2.676	0.81	0.17	0.077	14.0	1.7	28.0	27.0	15.374	5.8397	-3.2339	30.7639	33.9978	2.6327	2.456	0.0284	2.4017	2.5496	0.1479
192271174	446.0	298.0	1033.0	2.995	0.449	0.145	0.045	6.0	0.9	28.0	27.0	22.4458	5.6517	7.6627	43.6702	36.0075	3.9715	2.6057	0.0756	2.4484	2.8161	0.3677
192413932	555.0	407.0	817.0	2.259	0.501	0.128	0.03	6.0	0.8	28.0	27.0	21.9821	5.3036	-4.7399	38.2751	43.015	4.1448	2.8836	0.0678	2.6541	2.998	0.3439
194293030	538.0	366.0	1187.0	2.572	0.688	0.156	0.067	12.0	1.6	28.0	27.0	21.8127	6.5362	3.2403	41.0227	37.7823	3.3372	2.6808	0.0571	2.5438	2.8246	0.2808
194324018	720.0	503.0	1585.0	2.486	0.562	0.15	0.035	12.0	1.1	28.0	27.0	20.6927	5.7342	-1.9147	36.7471	38.6618	3.6087	2.9523	0.145	2.688	3.2213	0.5333
195168692	510.0	364.0	1170.0	2.855	0.551	0.165	0.047	10.0	1.2	28.0	27.0	21.5806	6.7628	-0.3788	37.5118	37.8905	3.1911	2.972	0.1601	2.6837	3.2669	0.5832
198051119	400.0	269.0	711.0	2.402	0.511	0.158	0.043	6.0	0.8	28.0	27.0	21.4921	5.3484	3.7717	33.1132	29.3414	4.0184	2.5425	0.1035	2.3123	2.7101	0.3978
199547104	611.0	412.0	1437.0	2.811	0.363	0.139	0.031	12.0	0.7	28.0	27.0	21.0841	5.6069	4.724	36.2433	31.5192	3.7604	2.6716	0.1307	2.4203	3.0263	0.606
199809850	377.0	260.0	721.0	2.396	0.429	0.143	0.029	5.0	0.4	28.0	27.0	21.7886	4.7139	8.8183	33.067	24.2487	4.6222	2.6625	0.0721	2.505	2.7761	0.2711
200066829	499.0	347.0	936.0	2.257	0.455	0.155	0.039	10.0	1.0	28.0	27.0	19.697	6.0267	0.2719	40.7765	40.5045	3.2683	2.7217	0.0737	2.564	2.8733	0.3093
210534092	514.0	359.0	993.0	2.36	0.534	0.139	0.035	6.0	0.6	28.0	27.0	21.5257	5.3199	6.9679	35.8434	28.8754	4.0462	2.8148	0.0749	2.6491	2.977	0.3278
