participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	543.0	377.0	1102.0	2.573	0.422	0.133	0.026	6.0	0.7	106.0	105.0	20.4478	4.5376	5.5748	37.6848	32.11	4.5063	4.0339	0.19	3.6688	4.3832	0.7143
8454119	907.0	622.0	1951.0	2.757	0.574	0.129	0.028	14.0	1.1	106.0	105.0	21.9293	7.4482	-4.7093	39.1397	43.849	2.9442	4.3277	0.2801	3.542	4.8507	1.3086
11407866	487.0	330.0	1059.0	2.954	0.376	0.111	0.025	4.0	0.4	106.0	105.0	22.895	4.7129	9.8537	38.5196	28.6659	4.8579	4.2323	0.1922	3.9018	4.8064	0.9046
11574123	420.0	296.0	921.0	2.925	0.532	0.13	0.033	4.0	0.5	106.0	105.0	22.4158	5.2109	5.8656	40.4087	34.5431	4.3017	4.3512	0.2641	3.9751	4.8491	0.8739
16684978	333.0	225.0	580.0	2.643	0.365	0.158	0.061	6.0	0.9	106.0	105.0	24.4198	7.0416	2.1479	54.9698	52.8219	3.468	4.0874	0.3199	3.5804	4.6163	1.0359
25354225	509.0	340.0	1049.0	2.964	0.422	0.121	0.03	7.0	0.6	106.0	105.0	23.8425	6.1682	1.9705	39.1999	37.2295	3.8654	4.3772	0.2281	3.9681	4.766	0.798
25811472	667.0	467.0	1530.0	3.183	0.401	0.124	0.022	7.0	0.6	106.0	105.0	23.9528	5.3061	9.6948	41.0085	31.3137	4.5142	4.4701	0.3675	3.5122	5.1206	1.6084
27876862	307.0	214.0	587.0	2.555	0.427	0.146	0.046	6.0	0.6	106.0	105.0	19.1132	6.2258	0.9869	33.5211	32.5342	3.07	3.9767	0.1317	3.7064	4.1815	0.4751
29811890	461.0	303.0	959.0	3.08	0.562	0.112	0.022	3.0	0.4	106.0	105.0	25.1064	4.8016	9.8989	40.4104	30.5114	5.2287	4.1283	0.2251	3.7558	4.7957	1.0399
31361606	354.0	236.0	656.0	2.52	0.365	0.125	0.029	4.0	0.3	106.0	105.0	20.5492	5.1781	3.6028	38.8859	35.2831	3.9685	3.8238	0.2003	3.459	4.1309	0.6719
32938469	495.0	356.0	980.0	2.717	0.478	0.134	0.028	8.0	0.7	106.0	105.0	22.3123	6.7921	0.3883	38.2816	37.8932	3.285	4.2782	0.248	3.8896	4.7109	0.8213
36895554	456.0	304.0	878.0	3.031	0.411	0.128	0.03	4.0	0.6	106.0	105.0	22.788	5.9826	7.7619	42.0629	34.301	3.8091	4.2281	0.2639	3.6857	4.8765	1.1908
37329051	334.0	229.0	720.0	2.895	0.522	0.114	0.028	3.0	0.4	106.0	105.0	23.2737	5.8736	7.2929	36.0464	28.7536	3.9624	4.4399	0.1364	4.0132	4.8061	0.7929
37835493	507.0	337.0	952.0	2.51	0.413	0.127	0.037	6.0	0.7	106.0	105.0	20.1867	5.8946	1.1109	37.4101	36.2993	3.4246	3.8419	0.2081	3.5576	4.248	0.6904
