participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1904.0	1205.0	4198.0	2.808	0.432	0.129	0.022	28.0	1.7	150.0	149.0	21.197	4.9873	4.1391	33.4262	29.2871	4.2502	3.3546	0.0967	3.1006	3.5489	0.4483
8454119	1290.0	807.0	3335.0	3.051	0.412	0.128	0.03	22.0	1.5	150.0	149.0	21.5284	5.7688	5.1928	36.3167	31.1239	3.7318	3.9664	0.1073	3.4762	4.149	0.6728
11407866	2741.0	1823.0	7413.0	3.198	0.587	0.124	0.023	39.0	2.5	150.0	149.0	23.7366	5.2173	8.2908	38.3929	30.102	4.5496	3.4734	0.0649	3.1949	3.6239	0.429
11574123	2207.0	1415.0	5016.0	2.919	0.538	0.134	0.037	40.0	3.4	150.0	149.0	20.1556	6.939	-9.7656	36.1695	45.9352	2.9047	3.5165	0.0628	3.2605	3.7046	0.4441
16684978	1756.0	1159.0	3872.0	2.812	0.469	0.146	0.035	30.0	2.4	150.0	149.0	22.2505	5.2642	5.5742	35.3368	29.7626	4.2268	3.4657	0.0672	3.2635	3.6531	0.3896
25354225	1856.0	1209.0	4833.0	3.119	0.467	0.145	0.035	36.0	2.7	150.0	149.0	20.7427	6.1608	1.8232	36.2472	34.424	3.3669	3.8163	0.1066	3.3651	4.0061	0.641
25811472	1601.0	1078.0	4197.0	3.128	0.521	0.138	0.036	29.0	2.3	150.0	149.0	20.3648	6.3633	-24.5591	36.5755	61.1346	3.2003	3.6324	0.0947	3.3547	3.8169	0.4622
27876862	1787.0	1190.0	4280.0	3.034	0.537	0.149	0.033	32.0	2.3	150.0	149.0	22.1364	5.6074	-0.3268	37.836	38.1628	3.9477	3.1421	0.1079	2.8044	3.4158	0.6114
29811890	2852.0	1796.0	4798.0	2.501	0.578	0.132	0.034	39.0	4.5	150.0	149.0	19.8282	9.4947	-31.7424	39.1234	70.8658	2.0883	3.5867	0.0992	3.1924	3.9282	0.7357
31361606	1366.0	970.0	3351.0	2.764	0.658	0.16	0.035	29.0	2.1	150.0	149.0	19.3801	5.8805	0.2448	34.8718	34.6271	3.2957	3.2367	0.0542	3.0818	3.3807	0.2989
32938469	2913.0	1552.0	4931.0	2.633	0.57	0.12	0.042	49.0	4.7	150.0	149.0	17.3949	8.3565	-5.3314	36.5457	41.877	2.0816	3.7876	0.0826	3.5517	4.038	0.4863
