participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	606.0	367.0	1209.0	2.71	0.483	0.13	0.031	9.0	0.7	148.0	147.0	20.759	4.7449	5.4362	32.2436	26.8074	4.375	3.8525	0.1882	3.3787	4.3073	0.9285
8454119	1215.0	799.0	3197.0	3.354	0.582	0.144	0.032	18.0	1.7	148.0	147.0	23.8958	5.7322	3.4378	39.6344	36.1966	4.1687	3.7939	0.1746	3.5564	4.2727	0.7164
11407866	782.0	509.0	1795.0	3.09	0.644	0.118	0.022	10.0	0.8	148.0	147.0	21.9267	5.5093	7.1605	33.5036	26.3431	3.98	4.3141	0.1063	4.1273	4.6346	0.5073
11574123	498.0	302.0	1350.0	3.158	0.363	0.135	0.032	7.0	0.7	148.0	147.0	20.4657	5.5872	8.8164	35.0403	26.224	3.663	4.2402	0.307	3.7524	4.8827	1.1303
16684978	417.0	254.0	1063.0	3.109	0.436	0.119	0.026	5.0	0.4	148.0	147.0	19.5979	4.4089	3.0167	30.544	27.5273	4.4451	4.2345	0.2959	3.7449	4.6637	0.9187
25354225	622.0	381.0	1580.0	3.119	0.451	0.131	0.041	11.0	0.9	148.0	147.0	18.7656	6.4061	4.9111	35.0584	30.1473	2.9293	4.2948	0.2746	3.9119	4.7873	0.8754
25811472	934.0	529.0	1943.0	2.829	0.502	0.12	0.054	28.0	2.4	148.0	147.0	19.6858	8.1102	-5.1515	34.9842	40.1357	2.4273	4.5374	0.2847	4.0252	5.1012	1.076
27876862	494.0	333.0	992.0	2.802	0.417	0.15	0.036	7.0	0.8	148.0	147.0	21.7409	5.3971	8.4256	38.0829	29.6573	4.0282	3.9874	0.0624	3.871	4.1748	0.3038
29811890	633.0	381.0	1585.0	3.372	0.494	0.143	0.038	12.0	0.9	148.0	147.0	20.5604	6.6744	-4.155	34.4517	38.6067	3.0805	4.1466	0.1862	3.8028	4.5264	0.7236
31361606	410.0	262.0	1036.0	2.966	0.666	0.147	0.04	7.0	0.7	148.0	147.0	18.4786	7.0867	-0.1118	33.4528	33.5646	2.6075	3.9664	0.2235	3.5967	4.4853	0.8887
32938469	558.0	382.0	1014.0	2.497	0.392	0.127	0.032	11.0	0.8	148.0	147.0	20.1714	7.0993	-8.6644	34.3561	43.0205	2.8413	4.3537	0.1961	4.006	4.7083	0.7022
