participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	728.0	480.0	1252.0	2.59	0.531	0.137	0.029	10.0	0.8	117.0	116.0	21.2643	4.8428	0.1491	31.3542	31.2051	4.3909	3.3262	0.1871	3.035	3.8018	0.7668
8454119	996.0	660.0	1830.0	2.886	0.479	0.102	0.019	10.0	0.8	117.0	116.0	26.3089	5.6324	6.3527	41.3611	35.0084	4.671	3.923	0.0907	3.6751	4.0349	0.3599
11407866	1023.0	665.0	2026.0	2.943	0.505	0.117	0.022	11.0	0.9	117.0	116.0	24.6941	4.8244	10.218	35.3609	25.143	5.1186	3.8469	0.1458	3.6881	4.2746	0.5865
11574123	723.0	520.0	1222.0	2.536	0.471	0.132	0.027	7.0	1.0	117.0	116.0	24.9892	4.1122	3.8979	38.7629	34.865	6.0769	3.6801	0.142	3.4798	4.0843	0.6045
16684978	653.0	440.0	1006.0	2.581	0.489	0.122	0.026	6.0	0.7	117.0	116.0	24.0818	5.6865	8.1494	48.3042	40.1548	4.2349	3.6952	0.1698	3.4463	4.0909	0.6446
25354225	886.0	558.0	1846.0	2.901	0.642	0.123	0.031	18.0	0.9	117.0	116.0	20.8909	5.86	-5.1734	34.1079	39.2812	3.565	3.8775	0.1254	3.7018	4.1463	0.4445
25811472	1261.0	802.0	2175.0	2.689	0.419	0.104	0.034	14.0	2.2	117.0	116.0	22.1395	6.6125	-6.2048	37.4266	43.6313	3.3481	3.9124	0.2807	3.5242	4.5674	1.0433
27876862	824.0	527.0	1306.0	2.421	0.44	0.128	0.026	11.0	0.9	117.0	116.0	22.1203	4.6703	6.6218	39.515	32.8932	4.7363	3.6555	0.1463	3.3856	3.9532	0.5677
29811890	841.0	597.0	1510.0	2.757	0.39	0.135	0.031	12.0	1.0	117.0	116.0	26.4749	5.4276	-13.5098	43.9709	57.4807	4.8778	3.7585	0.0774	3.6803	4.0409	0.3607
31361606	572.0	391.0	1001.0	2.624	0.501	0.113	0.022	4.0	0.5	117.0	116.0	22.8957	4.3324	10.0474	37.1621	27.1146	5.2847	3.5753	0.1132	3.4083	3.9291	0.5207
