participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1343.0	917.0	2415.0	2.518	0.407	0.097	0.016	12.0	1.1	151.0	150.0	23.2521	4.9339	1.0273	37.915	36.8877	4.7127	3.3785	0.0326	3.274	3.4565	0.1825
8454119	1607.0	1054.0	2815.0	2.762	0.391	0.106	0.03	16.0	2.0	151.0	150.0	24.26	7.1894	-5.6818	41.6677	47.3496	3.3744	4.0026	0.1224	3.5624	4.1551	0.5927
11407866	1686.0	1144.0	3509.0	3.272	0.474	0.092	0.016	9.0	1.2	151.0	150.0	27.3716	4.9447	3.9822	44.5091	40.5269	5.5356	3.4242	0.033	3.346	3.4938	0.1477
11574123	1788.0	1169.0	3217.0	2.879	0.43	0.099	0.017	12.0	1.3	151.0	150.0	24.9266	4.7915	9.4877	43.5614	34.0737	5.2022	3.5763	0.0751	3.3552	3.7613	0.4061
16684978	1166.0	785.0	1888.0	2.546	0.417	0.121	0.027	11.0	1.4	151.0	150.0	23.4208	5.4592	2.0978	40.1016	38.0037	4.2901	3.3971	0.04	3.2789	3.4856	0.2067
25354225	1563.0	1052.0	2740.0	2.952	0.448	0.104	0.021	12.0	1.3	151.0	150.0	25.358	4.9594	5.205	40.7081	35.5031	5.1131	3.9826	0.0355	3.8844	4.1248	0.2405
25811472	1390.0	933.0	2670.0	2.9	0.431	0.105	0.021	12.0	1.3	151.0	150.0	24.4593	5.5769	6.8819	43.5736	36.6917	4.3858	3.569	0.0321	3.4933	3.7076	0.2143
27876862	1239.0	840.0	2166.0	2.574	0.409	0.123	0.024	12.0	1.2	151.0	150.0	24.163	4.9586	0.3217	40.9207	40.599	4.873	3.2209	0.0729	3.0938	3.4053	0.3116
29811890	2119.0	1464.0	3852.0	2.804	0.501	0.094	0.016	14.0	1.4	151.0	150.0	25.9176	5.1367	1.5838	40.4683	38.8845	5.0455	3.6275	0.1037	3.4674	3.95	0.4826
31361606	1047.0	729.0	1636.0	2.609	0.546	0.128	0.026	9.0	1.2	151.0	150.0	24.4311	4.6689	8.4642	40.5241	32.0599	5.2327	3.1588	0.0505	2.8999	3.2457	0.3459
32938469	1909.0	1302.0	3474.0	2.874	0.577	0.111	0.022	16.0	1.7	151.0	150.0	24.7495	5.659	-10.1088	41.9971	52.106	4.3735	3.8889	0.0385	3.7243	3.9792	0.2549
36895554	1478.0	1016.0	3020.0	2.655	0.516	0.11	0.024	17.0	1.4	151.0	150.0	22.8095	4.5536	4.2207	41.4539	37.2331	5.0091	3.2617	0.0513	3.128	3.4059	0.278
37329051	2175.0	1484.0	4614.0	2.937	0.559	0.12	0.022	24.0	2.1	151.0	150.0	24.5313	5.9337	-10.6382	42.8888	53.527	4.1342	3.7348	0.0664	3.5912	3.9035	0.3123
37835493	1478.0	987.0	2877.0	2.781	0.365	0.111	0.02	13.0	1.3	151.0	150.0	24.0857	4.4428	8.5963	45.8739	37.2776	5.4213	3.3384	0.0457	3.2076	3.5181	0.3105
43606631	1159.0	797.0	1890.0	2.339	0.384	0.134	0.03	18.0	1.5	151.0	150.0	22.7478	5.0626	4.7847	36.5854	31.8007	4.4933	3.5309	0.0458	3.433	3.6876	0.2546
49408975	1557.0	1059.0	2951.0	2.807	0.516	0.116	0.027	14.0	1.9	151.0	150.0	23.514	4.7914	2.0356	42.347	40.3115	4.9076	3.7815	0.0653	3.5782	3.9296	0.3514
51217255	1604.0	1069.0	2719.0	2.625	0.462	0.125	0.027	17.0	1.8	151.0	150.0	24.206	5.073	6.1678	49.2178	43.05	4.7715	3.445	0.098	3.2217	3.6711	0.4494
52306425	1481.0	1001.0	2573.0	2.64	0.442	0.113	0.021	13.0	1.3	151.0	150.0	24.052	4.3118	9.9659	40.5034	30.5375	5.5782	3.6501	0.0686	3.3657	3.723	0.3573
52835891	849.0	590.0	1723.0	2.535	0.583	0.122	0.025	12.0	1.0	151.0	150.0	23.4811	4.8439	1.6629	40.048	38.3851	4.8476	3.1751	0.0417	3.0258	3.2733	0.2475
55710183	1659.0	1072.0	3030.0	2.546	0.482	0.11	0.019	19.0	1.3	151.0	150.0	21.5336	5.5358	-2.9585	45.2335	48.192	3.8899	3.6199	0.0381	3.4747	3.7424	0.2677
56162563	1320.0	890.0	2222.0	2.587	0.353	0.105	0.021	11.0	1.1	151.0	150.0	24.9885	5.0602	3.6435	37.4724	33.8289	4.9383	3.2617	0.0499	3.1134	3.3832	0.2699
60021964	1672.0	1086.0	3108.0	2.752	0.495	0.103	0.021	16.0	1.4	151.0	150.0	24.6782	5.3175	3.7512	42.2739	38.5227	4.6409	3.4844	0.0953	3.301	3.6993	0.3982
62582335	1417.0	903.0	2632.0	2.833	0.469	0.111	0.027	15.0	1.4	151.0	150.0	22.4352	7.2114	-1.6625	51.3544	53.0169	3.1111	3.1402	0.0534	3.0243	3.3487	0.3245
65198031	1257.0	909.0	2484.0	2.474	0.553	0.137	0.033	15.0	1.9	151.0	150.0	22.4361	5.4878	7.5111	43.682	36.1709	4.0884	3.5717	0.0611	3.3338	3.6775	0.3437
70214854	1086.0	744.0	1754.0	2.333	0.37	0.118	0.026	10.0	1.2	151.0	150.0	24.1303	4.8669	-2.601	39.379	41.98	4.958	3.4094	0.0582	3.2234	3.5639	0.3406
71851847	1294.0	1013.0	2642.0	2.592	0.503	0.135	0.031	16.0	1.8	151.0	150.0	24.2062	6.6669	0.6536	50.937	50.2833	3.6308	3.4605	0.0398	3.3219	3.5686	0.2467
74920331	1771.0	1238.0	2920.0	2.514	0.396	0.11	0.02	14.0	1.6	151.0	150.0	22.5278	4.6452	1.0164	40.6497	39.6333	4.8497	3.7282	0.0362	3.6173	3.7919	0.1746
77390767	1428.0	957.0	2777.0	2.724	0.467	0.116	0.03	18.0	2.0	151.0	150.0	24.8666	5.5803	0.597	45.2737	44.6767	4.4561	3.3248	0.0431	3.1325	3.455	0.3225
78982423	1235.0	856.0	2022.0	2.458	0.423	0.115	0.022	10.0	1.2	151.0	150.0	22.8764	5.0291	4.5	38.099	33.599	4.5488	3.4313	0.0693	3.1856	3.5967	0.4111
80982198	1269.0	874.0	2357.0	2.78	0.511	0.117	0.025	14.0	1.3	151.0	150.0	25.8636	5.5409	1.4419	40.2441	38.8023	4.6678	3.6197	0.0772	3.2854	3.67	0.3846
82699044	1425.0	967.0	2689.0	2.744	0.533	0.112	0.019	13.0	1.1	151.0	150.0	23.5554	5.2193	9.1932	41.4399	32.2467	4.5131	3.3773	0.1124	3.1531	3.6902	0.5372
84407714	1328.0	904.0	2511.0	2.82	0.402	0.1	0.017	8.0	0.9	151.0	150.0	25.1691	4.7771	6.2694	40.8532	34.5838	5.2687	3.3261	0.1534	3.0433	3.5767	0.5334
86226939	1189.0	812.0	2184.0	2.396	0.445	0.109	0.024	15.0	1.1	151.0	150.0	20.2453	5.0828	3.311	37.2743	33.9632	3.9831	3.4778	0.0638	3.3073	3.6492	0.3419
93800202	1465.0	981.0	3418.0	3.041	0.555	0.108	0.02	13.0	1.4	151.0	150.0	23.6819	5.5501	0.6242	40.2088	39.5846	4.2669	3.5653	0.0308	3.4713	3.6507	0.1794
97005004	1967.0	1322.0	3837.0	2.915	0.507	0.11	0.029	24.0	2.2	151.0	150.0	25.4068	6.9097	-4.1727	41.6597	45.8324	3.677	3.6335	0.1181	3.4894	3.9984	0.5091
100527940	1976.0	1259.0	3296.0	2.658	0.571	0.113	0.025	22.0	2.0	151.0	150.0	21.5713	7.5008	-4.7544	38.7802	43.5346	2.8759	3.6235	0.0569	3.4536	3.7512	0.2977
103652366	1638.0	1070.0	2735.0	2.543	0.42	0.098	0.019	12.0	1.3	151.0	150.0	22.6034	5.2147	1.9216	39.988	38.0664	4.3346	3.585	0.0215	3.5414	3.6776	0.1362
105914514	1177.0	1165.0	2210.0	2.303	0.818	0.175	0.056	16.0	3.0	151.0	150.0	11.4915	7.9828	-29.7657	34.9919	64.7576	1.4395	2.5609	0.0374	2.4228	2.7186	0.2958
