participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	613.0	377.0	1207.0	2.707	0.405	0.131	0.029	12.0	0.6	144.0	143.0	19.8938	6.4887	2.4503	36.1223	33.672	3.0659	3.1322	0.1514	2.8278	3.4583	0.6305
8454119	927.0	593.0	1638.0	2.514	0.636	0.136	0.04	14.0	1.6	144.0	143.0	19.0379	8.7358	-12.9006	39.0237	51.9242	2.1793	3.269	0.1627	2.9762	3.5502	0.574
11407866	616.0	409.0	1544.0	2.921	0.526	0.139	0.033	9.0	0.7	144.0	143.0	20.8661	5.5108	6.2843	33.6763	27.392	3.7864	3.1226	0.1631	2.7991	3.3583	0.5592
11574123	816.0	488.0	1708.0	2.805	0.485	0.115	0.03	13.0	0.9	144.0	143.0	19.4847	6.1788	3.4268	33.3634	29.9367	3.1535	3.1057	0.1417	2.709	3.4039	0.6949
16684978	602.0	390.0	1179.0	2.642	0.629	0.157	0.05	12.0	1.3	144.0	143.0	19.7104	6.9791	-8.216	35.777	43.993	2.8242	3.2345	0.1084	2.9735	3.4072	0.4338
25354225	721.0	445.0	1725.0	2.897	0.716	0.134	0.032	12.0	1.0	144.0	143.0	17.7168	5.3569	4.2489	32.2141	27.9652	3.3073	3.6448	0.1962	3.2108	3.9407	0.7298
25811472	642.0	421.0	1628.0	3.065	0.411	0.136	0.035	11.0	0.9	144.0	143.0	19.0514	6.6903	-3.0842	34.6403	37.7244	2.8476	3.3787	0.1145	3.0271	3.5215	0.4945
27876862	539.0	360.0	1127.0	2.772	0.456	0.127	0.031	8.0	0.6	144.0	143.0	21.0304	5.2145	3.0279	34.0179	30.99	4.0331	2.9191	0.0776	2.731	3.127	0.396
29811890	871.0	502.0	1385.0	2.466	0.651	0.123	0.035	17.0	1.3	144.0	143.0	16.7164	8.3665	-6.3625	35.4547	41.8172	1.998	3.2277	0.1261	2.9844	3.5174	0.533
31361606	353.0	250.0	737.0	2.647	0.517	0.146	0.03	7.0	0.3	144.0	143.0	19.9967	5.7892	5.2852	31.0514	25.7662	3.4541	2.8317	0.1084	2.6047	3.0089	0.4041
32938469	726.0	406.0	1184.0	2.4	0.583	0.141	0.07	15.0	1.8	144.0	143.0	14.7931	7.7497	-5.9618	34.1151	40.0769	1.9089	3.264	0.2291	2.8538	3.7115	0.8577
36895554	793.0	479.0	1552.0	2.683	0.624	0.136	0.055	16.0	1.5	144.0	143.0	17.8661	7.442	-2.2889	34.8327	37.1216	2.4007	2.9912	0.1384	2.6333	3.2112	0.5779
37329051	695.0	457.0	1769.0	2.911	0.506	0.143	0.04	17.0	1.2	144.0	143.0	19.2161	6.1833	1.7848	32.6959	30.9111	3.1077	3.4883	0.127	3.1879	3.7401	0.5522
37835493	636.0	422.0	1390.0	2.804	0.351	0.139	0.028	11.0	0.6	144.0	143.0	21.0065	5.7149	2.2316	34.5829	32.3513	3.6758	3.0333	0.1113	2.8433	3.2313	0.388
43606631	483.0	323.0	1045.0	2.425	0.471	0.147	0.043	10.0	0.8	144.0	143.0	18.9187	4.8173	4.2548	36.8048	32.55	3.9272	3.2771	0.0914	3.1076	3.4208	0.3132
49408975	741.0	496.0	1770.0	2.799	0.403	0.137	0.037	14.0	1.0	144.0	143.0	18.9127	5.5342	2.4571	36.2071	33.75	3.4174	3.2743	0.1857	2.9283	3.6897	0.7614
51217255	542.0	351.0	916.0	2.285	0.468	0.152	0.043	10.0	1.2	144.0	143.0	20.5255	6.4104	-13.5076	34.2957	47.8033	3.2019	3.0939	0.082	2.9083	3.2593	0.351
52306425	699.0	474.0	1404.0	2.561	0.393	0.129	0.032	10.0	0.8	144.0	143.0	21.4107	5.7049	3.193	36.0966	32.9036	3.753	3.2189	0.1225	2.9106	3.4057	0.4952
52835891	519.0	348.0	1373.0	3.092	0.351	0.163	0.035	15.0	0.8	144.0	143.0	23.6365	6.5884	2.1926	41.6795	39.487	3.5876	2.947	0.0886	2.7964	3.111	0.3145
55710183	909.0	585.0	1913.0	2.788	0.469	0.134	0.03	13.0	1.2	144.0	143.0	20.4908	6.7338	0.9678	40.3755	39.4077	3.043	3.2092	0.2371	2.6335	3.5857	0.9522
56162563	647.0	449.0	1357.0	2.702	0.421	0.143	0.035	8.0	1.0	144.0	143.0	23.4542	5.5047	0.6805	38.854	38.1735	4.2608	3.0867	0.0573	2.9286	3.1757	0.2471
