participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1254.0	796.0	2356.0	2.612	0.503	0.122	0.028	17.0	1.3	152.0	151.0	20.0417	6.1724	-0.0986	33.6826	33.7813	3.247	3.3717	0.0682	3.0592	3.4911	0.4319
8454119	1349.0	742.0	2291.0	2.882	0.666	0.124	0.046	25.0	2.6	152.0	151.0	19.692	9.8737	-18.3749	40.9997	59.3746	1.9944	3.7747	0.2177	3.4231	4.1901	0.767
11407866	1293.0	849.0	2900.0	2.971	0.567	0.117	0.022	18.0	1.2	152.0	151.0	21.6986	6.2922	-2.7355	42.8753	45.6108	3.4485	3.3051	0.1077	3.0344	3.4726	0.4382
11574123	1345.0	891.0	2768.0	2.699	0.384	0.113	0.018	23.0	1.0	152.0	151.0	22.7023	5.7106	-0.2037	35.4525	35.6562	3.9755	3.3016	0.1639	2.9619	3.6285	0.6666
16684978	1086.0	675.0	2384.0	2.788	0.55	0.141	0.039	22.0	1.8	152.0	151.0	19.3014	6.2448	-5.3118	35.1843	40.4961	3.0908	3.3711	0.0442	3.19	3.539	0.349
25354225	1349.0	857.0	3276.0	3.082	0.57	0.117	0.03	25.0	1.4	152.0	151.0	20.8906	6.4094	-0.8686	40.3323	41.2009	3.2594	3.7119	0.2605	3.2396	4.1272	0.8876
25811472	1285.0	817.0	3322.0	3.273	0.427	0.139	0.032	23.0	1.6	152.0	151.0	20.5183	6.0168	2.5353	39.4719	36.9366	3.4101	3.5836	0.0954	3.2347	3.7576	0.5229
27876862	1094.0	703.0	2697.0	3.071	0.53	0.13	0.028	23.0	0.9	152.0	151.0	21.5081	5.0218	8.1241	36.0191	27.895	4.2829	2.9964	0.0966	2.8039	3.1873	0.3834
29811890	1512.0	840.0	2452.0	2.572	0.476	0.12	0.044	29.0	2.7	152.0	151.0	20.2886	8.4567	-6.0714	41.9346	48.006	2.3991	3.3603	0.1437	2.9834	3.5895	0.6061
31361606	893.0	617.0	2368.0	2.898	0.552	0.158	0.035	19.0	1.4	152.0	151.0	20.699	5.6375	1.985	33.9904	32.0055	3.6717	3.0861	0.0783	2.8483	3.2447	0.3964
