participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	248.0	189.0	374.0	2.475	0.282	0.102	0.013	1.0	0.1	156.0	155.0	25.0546	4.2491	12.619	35.738	23.119	5.8964	2.9002	0.0242	2.8512	2.9521	0.1008
8454119	358.0	243.0	509.0	2.565	0.438	0.104	0.013	2.0	0.2	156.0	155.0	23.4657	6.129	-2.2596	39.1695	41.4291	3.8286	3.2183	0.0312	3.0928	3.3011	0.2083
11407866	269.0	171.0	382.0	2.83	0.452	0.096	0.018	2.0	0.2	156.0	155.0	24.0649	4.1392	9.8531	34.5834	24.7303	5.8139	2.9734	0.0247	2.9345	3.0225	0.088
11574123	268.0	180.0	337.0	2.266	0.314	0.097	0.014	1.0	0.1	156.0	155.0	22.1206	4.6622	5.7131	32.794	27.0809	4.7446	2.6713	0.0086	2.6443	2.6888	0.0445
16684978	201.0	142.0	254.0	2.273	0.576	0.13	0.024	1.0	0.2	156.0	155.0	22.0385	4.653	10.8391	34.2092	23.3702	4.7364	2.8315	0.0115	2.8051	2.8585	0.0534
25354225	278.0	195.0	415.0	2.527	0.371	0.102	0.023	1.0	0.3	156.0	155.0	19.4568	8.0219	-32.8095	34.9218	67.7313	2.4255	2.7897	0.0162	2.7526	2.8113	0.0587
25811472	296.0	201.0	461.0	2.844	0.334	0.096	0.013	1.0	0.2	156.0	155.0	24.2813	4.422	9.356	34.0931	24.7372	5.491	2.8994	0.0638	2.8137	3.0602	0.2465
27876862	226.0	154.0	344.0	2.695	0.398	0.097	0.018	1.0	0.2	156.0	155.0	22.0886	4.8565	5.7842	34.4028	28.6186	4.5483	2.6196	0.0236	2.5616	2.6567	0.0952
29811890	271.0	187.0	461.0	2.797	0.437	0.112	0.025	2.0	0.3	156.0	155.0	24.1703	4.8461	8.6402	37.1931	28.553	4.9876	3.0593	0.0353	2.9759	3.1299	0.154
31361606	203.0	164.0	258.0	2.148	0.696	0.133	0.05	2.0	0.5	156.0	155.0	8.9823	14.5331	-55.8253	24.7856	80.6109	0.6181	2.5266	0.0187	2.4901	2.5806	0.0905
32938469	198.0	135.0	331.0	2.828	0.663	0.087	0.022	1.0	0.1	156.0	155.0	23.2946	3.6002	13.5297	30.3537	16.824	6.4704	2.8767	0.0115	2.8382	2.9129	0.0747
36895554	253.0	192.0	457.0	2.832	0.473	0.104	0.018	1.0	0.2	156.0	155.0	20.8611	5.5897	4.3783	34.6322	30.254	3.7321	2.7264	0.0213	2.6411	2.7803	0.1392
37329051	316.0	215.0	454.0	2.45	0.432	0.082	0.01	1.0	0.2	156.0	155.0	20.7771	4.9548	9.5681	38.131	28.5629	4.1933	2.9395	0.0229	2.8984	3.0203	0.1219
37835493	279.0	187.0	369.0	2.292	0.399	0.069	0.008	1.0	0.1	156.0	155.0	22.9832	4.9512	7.7204	34.9041	27.1838	4.6419	2.7342	0.0414	2.5985	2.8243	0.2258
