participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	870.0	592.0	2032.0	2.767	0.475	0.153	0.04	14.0	1.4	139.0	138.0	22.6945	5.6771	2.237	43.6337	41.3967	3.9976	2.8232	0.0994	2.6634	3.099	0.4357
8454119	1532.0	1015.0	3058.0	2.852	0.462	0.117	0.023	17.0	1.5	139.0	138.0	25.4764	5.0405	1.2986	39.7055	38.4069	5.0543	2.9741	0.0592	2.7593	3.1018	0.3425
11407866	983.0	672.0	1827.0	2.799	0.396	0.111	0.024	10.0	0.9	139.0	138.0	25.0225	5.8199	4.7933	42.9122	38.1189	4.2995	3.0254	0.0859	2.8804	3.2107	0.3303
11574123	956.0	659.0	2110.0	2.847	0.647	0.126	0.033	13.0	1.4	139.0	138.0	23.3462	5.7949	-15.6919	36.5493	52.2412	4.0287	3.0787	0.0872	2.896	3.274	0.378
16684978	1108.0	716.0	2275.0	2.681	0.438	0.136	0.03	18.0	1.3	139.0	138.0	21.0248	5.8085	6.1673	39.2797	33.1125	3.6197	2.9813	0.1033	2.7694	3.2055	0.4361
25354225	1213.0	801.0	2494.0	2.916	0.505	0.103	0.031	13.0	1.3	139.0	138.0	22.1241	6.9996	2.7372	43.8552	41.1181	3.1608	3.1545	0.2565	2.6846	3.6919	1.0072
25811472	1349.0	885.0	2637.0	2.822	0.558	0.09	0.017	7.0	0.9	139.0	138.0	24.5694	4.475	3.331	40.1896	36.8586	5.4904	3.2113	0.0931	2.9993	3.4796	0.4803
27876862	943.0	647.0	1785.0	2.779	0.448	0.14	0.042	13.0	1.7	139.0	138.0	23.2704	6.2097	1.4698	44.2563	42.7864	3.7474	2.905	0.0644	2.7463	3.0709	0.3246
29811890	2068.0	1255.0	3620.0	2.778	0.49	0.103	0.02	20.0	1.7	139.0	138.0	22.3772	7.6048	-6.0884	39.1263	45.2147	2.9425	3.3722	0.1462	3.0793	3.808	0.7287
31361606	681.0	476.0	1064.0	2.532	0.39	0.124	0.025	6.0	0.6	139.0	138.0	24.1199	4.1402	9.7598	39.3126	29.5528	5.8257	2.6406	0.0302	2.5302	2.7222	0.1921
