participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	349.0	226.0	715.0	2.706	0.323	0.145	0.043	5.0	0.5	23.0	22.0	19.5848	4.5336	5.4983	31.2977	25.7993	4.3199	2.6582	0.0392	2.6044	2.7974	0.193
8454119	571.0	335.0	1033.0	2.58	0.63	0.137	0.048	12.0	1.0	23.0	22.0	19.2443	7.0011	-6.6864	32.3487	39.035	2.7487	2.815	0.1137	2.6236	3.0916	0.468
11407866	320.0	208.0	664.0	2.768	0.349	0.103	0.022	3.0	0.4	23.0	22.0	22.0598	4.6767	7.7863	34.2425	26.4562	4.717	2.8931	0.0499	2.6951	2.9581	0.263
11574123	453.0	288.0	988.0	2.87	0.672	0.154	0.036	7.0	0.7	23.0	22.0	21.9608	4.9219	8.6688	36.405	27.7362	4.4618	2.7649	0.121	2.3781	3.0818	0.7036
16684978	371.0	226.0	699.0	2.415	0.701	0.144	0.038	7.0	0.6	23.0	22.0	17.5985	5.6693	3.8581	33.2607	29.4026	3.1042	2.6522	0.076	2.5196	2.8531	0.3335
25354225	440.0	238.0	702.0	2.669	0.516	0.127	0.034	6.0	0.5	23.0	22.0	19.049	6.3862	1.3999	35.7839	34.3841	2.9829	2.6419	0.1033	2.4078	3.011	0.6032
25811472	518.0	255.0	971.0	2.86	0.604	0.102	0.034	5.0	0.7	23.0	22.0	15.1895	6.5721	-3.2755	40.1497	43.4252	2.3112	2.8671	0.1403	2.6516	3.1272	0.4755
27876862	254.0	174.0	337.0	2.021	0.347	0.116	0.026	2.0	0.2	23.0	22.0	19.0386	3.8034	5.4671	28.2413	22.7742	5.0057	2.6344	0.0551	2.4803	2.7878	0.3075
29811890	488.0	273.0	713.0	2.199	0.64	0.113	0.042	5.0	1.0	23.0	22.0	13.8565	6.656	-7.7341	30.9312	38.6653	2.0818	2.9695	0.1014	2.7421	3.2456	0.5035
31361606	233.0	155.0	397.0	2.444	0.472	0.132	0.03	3.0	0.2	23.0	22.0	22.9077	4.349	11.5961	33.1311	21.535	5.2674	2.5389	0.0477	2.4635	2.6501	0.1866
32938469	392.0	219.0	594.0	2.299	0.654	0.129	0.048	7.0	0.9	23.0	22.0	19.4997	5.8132	-2.8105	37.5395	40.35	3.3544	2.6166	0.0999	2.39	2.8588	0.4688
36895554	343.0	213.0	543.0	2.279	0.39	0.171	0.047	7.0	0.8	23.0	22.0	19.7259	5.563	1.0976	32.3133	31.2157	3.5459	2.56	0.0776	2.3737	2.6853	0.3116
37329051	534.0	235.0	714.0	2.549	0.493	0.115	0.05	9.0	1.1	23.0	22.0	16.9598	8.8032	-8.2961	33.6491	41.9452	1.9266	2.9285	0.1292	2.695	3.2565	0.5614
37835493	342.0	223.0	672.0	2.421	0.424	0.148	0.049	5.0	0.6	23.0	22.0	19.9438	5.0592	3.1977	31.4519	28.2542	3.9421	2.6451	0.0918	2.436	2.7565	0.3205
43606631	351.0	230.0	492.0	1.881	0.362	0.133	0.029	6.0	0.4	23.0	22.0	18.1003	5.0152	3.2688	31.8517	28.583	3.6091	2.7422	0.0969	2.5513	2.9524	0.4011
49408975	328.0	200.0	488.0	2.388	0.36	0.121	0.024	4.0	0.3	23.0	22.0	21.2493	4.8162	10.625	33.7876	23.1626	4.4121	3.0483	0.1188	2.7581	3.2826	0.5245
51217255	355.0	232.0	734.0	2.393	0.542	0.156	0.042	7.0	0.5	23.0	22.0	19.4053	5.3721	6.4736	33.0131	26.5396	3.6122	2.6801	0.046	2.605	2.8078	0.2027
52306425	397.0	268.0	486.0	2.241	0.387	0.136	0.027	4.0	0.5	23.0	22.0	22.4457	4.4893	7.082	37.21	30.128	4.9998	3.1005	0.1032	2.8447	3.3928	0.5481
52835891	327.0	218.0	744.0	2.751	0.351	0.152	0.03	5.0	0.4	23.0	22.0	19.884	3.6269	7.84	32.4209	24.5809	5.4823	2.4436	0.1048	2.3014	2.6784	0.377
55710183	505.0	311.0	994.0	2.692	0.592	0.147	0.038	8.0	0.7	23.0	22.0	19.5365	5.7624	-2.7191	34.5045	37.2236	3.3903	2.8469	0.1576	2.5835	3.3237	0.7402
56162563	365.0	258.0	603.0	2.381	0.387	0.132	0.024	3.0	0.4	23.0	22.0	21.3753	3.6262	9.296	29.9776	20.6815	5.8947	2.6724	0.0198	2.598	2.7254	0.1273
60021964	359.0	232.0	537.0	2.111	0.49	0.138	0.041	5.0	0.6	23.0	22.0	19.7198	6.9257	0.1062	32.5821	32.4758	2.8473	2.5737	0.0626	2.4681	2.7737	0.3056
62582335	329.0	185.0	568.0	2.507	0.571	0.151	0.063	8.0	0.7	23.0	22.0	16.8027	7.3389	-8.5537	34.466	43.0197	2.2895	2.7043	0.0667	2.5224	2.8981	0.3756
65198031	275.0	180.0	586.0	2.604	0.391	0.141	0.037	4.0	0.3	23.0	22.0	18.8759	5.5045	7.2937	33.3945	26.1008	3.4292	2.7348	0.0954	2.5371	2.8731	0.336
70214854	370.0	241.0	869.0	2.881	0.406	0.147	0.047	6.0	0.6	23.0	22.0	23.7	5.7296	8.9719	47.1504	38.1784	4.1364	2.7747	0.0809	2.6627	2.9271	0.2644
