participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	688.0	455.0	999.0	2.481	0.355	0.093	0.015	4.0	0.4	26.0	25.0	24.1963	4.0012	9.9041	36.6918	26.7877	6.0473	3.6281	0.275	3.3245	4.3288	1.0043
8454119	703.0	525.0	1474.0	2.753	0.364	0.099	0.012	4.0	0.4	26.0	25.0	25.7719	4.4393	9.8736	37.6395	27.7659	5.8054	4.2851	0.2058	3.9648	4.803	0.8382
11407866	739.0	507.0	1656.0	3.03	0.553	0.111	0.021	10.0	0.5	26.0	25.0	24.8847	5.531	7.7661	39.6214	31.8552	4.4991	3.7166	0.213	3.4313	4.077	0.6456
11574123	582.0	375.0	1358.0	3.264	0.565	0.09	0.018	4.0	0.5	26.0	25.0	20.8504	5.1124	6.7137	34.9504	28.2367	4.0784	3.8807	0.2656	3.5148	4.3478	0.8331
16684978	412.0	281.0	1050.0	3.069	0.589	0.124	0.035	4.0	0.5	26.0	25.0	22.3264	5.3519	7.3817	39.3063	31.9246	4.1716	3.561	0.1604	3.353	4.0971	0.7442
25354225	633.0	402.0	1527.0	3.345	0.488	0.122	0.026	10.0	0.6	26.0	25.0	22.1641	6.1474	7.5824	42.9847	35.4023	3.6054	3.9926	0.0846	3.85	4.3757	0.5257
25811472	820.0	559.0	2093.0	3.338	0.562	0.121	0.027	11.0	0.9	26.0	25.0	23.1564	6.5192	6.7004	43.4826	36.7822	3.5521	3.7167	0.2932	3.2554	4.3469	1.0916
27876862	415.0	292.0	876.0	2.585	0.537	0.124	0.022	5.0	0.3	26.0	25.0	22.0677	4.8561	8.8922	36.7274	27.8353	4.5443	3.6927	0.1636	3.2874	3.9726	0.6852
29811890	920.0	558.0	1365.0	2.387	0.758	0.135	0.052	13.0	2.0	26.0	25.0	16.6757	9.3254	-22.4697	36.9762	59.4459	1.7882	3.797	0.1445	3.5419	4.3356	0.7937
31361606	447.0	310.0	1079.0	2.876	0.445	0.13	0.03	8.0	0.5	26.0	25.0	19.1423	5.2329	3.5035	32.0266	28.523	3.6581	3.4896	0.1399	3.1933	3.8417	0.6484
32938469	812.0	510.0	1592.0	3.096	0.706	0.136	0.038	11.0	1.2	26.0	25.0	20.4206	7.9074	-2.2665	38.2438	40.5102	2.5825	4.0067	0.1969	3.7211	4.4631	0.742
36895554	458.0	322.0	1075.0	2.946	0.571	0.12	0.037	5.0	0.6	26.0	25.0	22.0817	6.0501	4.7637	40.8986	36.1349	3.6498	3.6307	0.2255	3.1845	4.3279	1.1435
37329051	531.0	349.0	1426.0	3.167	0.477	0.108	0.023	8.0	0.5	26.0	25.0	21.6818	5.4743	7.13	38.6991	31.5691	3.9607	4.0302	0.2334	3.5683	4.4348	0.8666
37835493	670.0	444.0	1275.0	2.591	0.431	0.134	0.028	11.0	0.7	26.0	25.0	21.4889	4.8664	4.1754	34.0792	29.9038	4.4158	3.5784	0.1208	3.3926	3.9111	0.5185
43606631	477.0	345.0	980.0	2.52	0.539	0.135	0.035	7.0	0.7	26.0	25.0	21.5049	5.4081	5.1897	36.4473	31.2576	3.9764	3.9274	0.1627	3.6361	4.1689	0.5328
49408975	527.0	358.0	1180.0	2.796	0.545	0.099	0.018	5.0	0.3	26.0	25.0	22.4984	4.9763	7.1912	41.7074	34.5162	4.5211	4.1882	0.2086	3.7668	4.4846	0.7178
51217255	570.0	386.0	1550.0	3.319	0.634	0.124	0.027	7.0	0.7	26.0	25.0	24.5509	6.4072	8.4024	52.0935	43.6911	3.8317	3.806	0.2383	3.4925	4.2671	0.7746
52306425	604.0	395.0	1002.0	2.63	0.503	0.117	0.03	5.0	0.7	26.0	25.0	24.1135	5.2867	9.5209	42.8133	33.2924	4.5612	3.8639	0.1466	3.6097	4.2376	0.6279
52835891	581.0	420.0	1079.0	2.705	0.46	0.113	0.025	4.0	0.6	26.0	25.0	25.5529	5.5836	-0.2813	42.502	42.7834	4.5764	3.4839	0.1264	3.2916	3.9148	0.6233
55710183	505.0	333.0	1040.0	2.754	0.5	0.113	0.024	6.0	0.4	26.0	25.0	21.0408	4.3434	9.3317	33.4117	24.08	4.8443	3.7942	0.1305	3.5254	4.4027	0.8772
56162563	800.0	538.0	1205.0	2.63	0.472	0.114	0.022	7.0	0.6	26.0	25.0	24.8638	5.1997	7.4021	37.6153	30.2132	4.7818	3.4205	0.2225	3.1629	4.1012	0.9383
60021964	571.0	393.0	1449.0	3.069	0.726	0.11	0.025	5.0	0.6	26.0	25.0	23.3662	5.3117	8.4173	45.7102	37.2929	4.399	3.8388	0.2419	3.4675	4.3084	0.841
62582335	775.0	473.0	1766.0	3.206	0.598	0.103	0.042	11.0	1.6	26.0	25.0	19.9992	7.5458	-6.5571	45.7902	52.3473	2.6504	3.2575	0.1781	3.0519	3.8194	0.7676
65198031	532.0	364.0	1281.0	2.881	0.553	0.111	0.021	7.0	0.5	26.0	25.0	20.0225	5.4708	4.4389	42.3909	37.952	3.6599	3.8719	0.2678	3.4868	4.3301	0.8433
70214854	454.0	300.0	930.0	2.595	0.569	0.093	0.023	3.0	0.3	26.0	25.0	22.6067	5.024	7.1763	38.5627	31.3863	4.4998	3.5517	0.1289	3.3171	3.8523	0.5352
71851847	456.0	290.0	971.0	3.112	0.565	0.106	0.026	5.0	0.4	26.0	25.0	22.2072	5.2612	6.977	36.6353	29.6583	4.2209	3.8424	0.2348	3.4834	4.1722	0.6887
74920331	571.0	378.0	1265.0	3.02	0.447	0.117	0.025	7.0	0.6	26.0	25.0	21.6562	4.8992	9.278	36.055	26.777	4.4203	3.827	0.0979	3.641	4.1147	0.4737
77390767	491.0	346.0	921.0	2.595	0.499	0.103	0.02	5.0	0.3	26.0	25.0	23.33	5.0629	10.3348	39.9599	29.625	4.608	3.6508	0.1089	3.4306	4.0534	0.6229
78982423	416.0	281.0	808.0	2.559	0.593	0.106	0.019	4.0	0.4	26.0	25.0	21.0337	5.7717	-10.3192	53.5701	63.8893	3.6443	3.7955	0.3216	3.1595	4.2276	1.0681
80982198	565.0	395.0	1353.0	2.96	0.504	0.124	0.036	7.0	0.8	26.0	25.0	23.597	5.869	7.8285	45.9543	38.1258	4.0206	3.9334	0.2116	3.5874	4.3733	0.7859
82699044	647.0	454.0	1329.0	2.627	0.492	0.09	0.016	5.0	0.5	26.0	25.0	21.2855	5.4384	0.0262	35.8257	35.7995	3.9139	3.8872	0.1727	3.5035	4.1302	0.6267
