participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1189.0	800.0	3100.0	3.24	0.807	0.131	0.037	15.0	1.7	123.0	122.0	25.8493	6.662	-5.5387	47.4245	52.9632	3.8801	2.5299	0.1473	2.2776	2.8725	0.5949
8454119	920.0	614.0	1604.0	2.698	0.571	0.096	0.021	5.0	0.9	123.0	122.0	21.8092	7.1186	-0.1422	47.7095	47.8517	3.0637	2.8264	0.1224	2.6361	3.1721	0.536
11407866	1383.0	968.0	3598.0	3.191	0.77	0.145	0.046	22.0	2.6	123.0	122.0	21.1477	7.8283	-11.5026	41.7255	53.228	2.7014	2.7119	0.1413	2.3233	3.0043	0.681
11574123	789.0	564.0	1570.0	2.823	0.578	0.12	0.038	7.0	1.3	123.0	122.0	20.5789	6.8571	-2.9891	38.5361	41.5252	3.0011	2.5035	0.0875	2.3257	2.6778	0.352
16684978	990.0	683.0	2791.0	3.21	0.715	0.139	0.05	18.0	1.6	123.0	122.0	21.2481	7.0759	-16.933	36.6051	53.5381	3.0029	2.6789	0.1117	2.5199	2.9741	0.4542
25354225	1033.0	675.0	2437.0	2.997	0.755	0.139	0.049	18.0	2.2	123.0	122.0	20.6454	8.1418	-25.9151	54.5542	80.4693	2.5357	2.5572	0.1086	2.3533	2.8256	0.4723
25811472	1101.0	779.0	3489.0	3.335	0.683	0.133	0.033	14.0	1.4	123.0	122.0	21.9654	6.78	-6.7909	39.8581	46.649	3.2397	2.6917	0.1759	2.3758	3.0435	0.6677
27876862	758.0	562.0	2194.0	3.429	0.84	0.135	0.033	11.0	1.0	123.0	122.0	23.0162	8.2637	-2.4697	43.477	45.9468	2.7852	2.3706	0.1056	2.2138	2.5839	0.3701
29811890	930.0	644.0	2994.0	3.632	0.754	0.142	0.037	13.0	1.5	123.0	122.0	23.0618	8.6815	0.0	58.3222	58.3222	2.6564	2.6127	0.1674	2.3055	2.9842	0.6787
31361606	666.0	439.0	1272.0	2.901	0.897	0.113	0.061	53.0	1.2	123.0	122.0	18.888	10.6937	-17.9922	45.2222	63.2144	1.7663	2.5049	0.0576	2.3517	2.6031	0.2513
32938469	1287.0	858.0	3445.0	3.134	0.759	0.15	0.063	24.0	3.2	123.0	122.0	19.918	8.3794	-7.8486	48.4979	56.3465	2.377	2.563	0.1382	2.3111	2.9138	0.6027
36895554	1065.0	782.0	3011.0	3.075	0.937	0.164	0.043	17.0	2.0	123.0	122.0	22.0117	7.8745	-21.4463	44.3522	65.7984	2.7953	2.3958	0.1237	2.1372	2.7551	0.6179
37329051	939.0	685.0	2645.0	3.203	0.694	0.163	0.053	20.0	2.3	123.0	122.0	20.2511	7.6927	0.0	44.2698	44.2698	2.6325	2.8892	0.0673	2.7102	3.0552	0.345
