participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	554.0	366.0	1388.0	3.306	0.596	0.146	0.053	14.0	0.8	107.0	106.0	18.7265	5.858	-4.5047	35.6576	40.1623	3.1967	5.1702	0.2323	4.18	5.6266	1.4466
8454119	557.0	377.0	1715.0	3.766	1.054	0.154	0.041	11.0	0.9	107.0	106.0	17.1325	6.2276	-3.9441	39.0527	42.9969	2.7511	5.6435	0.1742	5.2631	6.0216	0.7585
11407866	604.0	418.0	2147.0	4.171	0.563	0.129	0.038	9.0	1.0	107.0	106.0	16.7852	5.2026	1.2137	31.1084	29.8947	3.2263	5.4424	0.1682	4.9991	5.8813	0.8822
11574123	586.0	395.0	1566.0	3.233	0.913	0.153	0.059	14.0	1.5	107.0	106.0	15.2158	6.8829	-5.6814	39.1144	44.7958	2.2107	5.1905	0.3779	4.2666	5.5228	1.2562
16684978	432.0	297.0	1428.0	3.976	0.734	0.169	0.057	8.0	1.2	107.0	106.0	17.3499	8.2734	-4.6801	50.4798	55.1599	2.0971	4.9433	0.1151	4.5778	5.1135	0.5356
25354225	591.0	370.0	1693.0	3.719	0.607	0.128	0.075	14.0	1.3	107.0	106.0	17.0061	6.8179	-12.5663	35.6994	48.2657	2.4943	5.09	0.2376	4.4788	5.5012	1.0225
25811472	594.0	413.0	2242.0	4.299	0.698	0.138	0.047	12.0	1.2	107.0	106.0	17.3478	6.2557	-15.4995	30.8933	46.3928	2.7731	5.4946	0.2866	4.679	6.0123	1.3333
27876862	399.0	259.0	1077.0	3.65	0.553	0.155	0.047	10.0	0.8	107.0	106.0	18.6453	7.338	3.0441	53.9417	50.8976	2.5409	3.8002	0.2719	3.4348	4.3922	0.9574
29811890	506.0	360.0	1481.0	3.622	0.789	0.115	0.034	6.0	0.7	107.0	106.0	17.8671	7.8002	-4.0715	38.2763	42.3478	2.2906	5.4783	0.3715	4.5117	5.8609	1.3492
31361606	379.0	244.0	1141.0	3.965	0.526	0.123	0.034	5.0	0.4	107.0	106.0	20.5011	5.6467	6.4379	38.4237	31.9858	3.6307	4.418	0.2387	3.9725	4.7999	0.8275
32938469	539.0	366.0	1842.0	4.028	0.65	0.15	0.054	11.0	1.1	107.0	106.0	17.0461	7.8584	-6.9377	41.494	48.4317	2.1691	5.6466	0.184	4.9789	6.0035	1.0246
36895554	475.0	349.0	1548.0	3.806	0.855	0.176	0.073	14.0	1.6	107.0	106.0	16.1137	6.5234	-11.1699	36.2613	47.4312	2.4701	4.8829	0.3007	3.8465	5.2876	1.4411
37329051	388.0	260.0	1258.0	3.672	0.79	0.132	0.049	5.0	0.8	107.0	106.0	16.8602	6.3149	-1.6142	38.1002	39.7144	2.6699	5.1929	0.3863	4.128	5.6148	1.4867
37835493	544.0	367.0	1539.0	3.562	0.657	0.144	0.041	11.0	0.8	107.0	106.0	17.8367	6.1506	4.629	33.7294	29.1004	2.9	4.6494	0.1468	4.2815	4.9194	0.6379
43606631	459.0	296.0	1094.0	3.618	0.64	0.141	0.044	8.0	0.9	107.0	106.0	18.341	6.2794	-6.6824	31.7576	38.44	2.9208	4.4789	0.2382	3.7707	4.7708	1.0001
