participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	444.0	224.0	703.0	2.485	0.808	0.097	0.042	5.0	0.4	120.0	119.0	17.2541	9.7135	-9.3282	34.7299	44.0581	1.7763	2.8867	0.095	2.6703	3.1889	0.5186
8454119	563.0	348.0	838.0	2.681	1.011	0.126	0.027	7.0	0.5	120.0	119.0	13.0827	11.273	0.0	37.8941	37.8941	1.1605	3.1695	0.1857	2.9521	4.0312	1.0791
11407866	454.0	267.0	616.0	2.612	0.656	0.138	0.036	8.0	0.5	120.0	119.0	13.4603	9.6415	0.0	38.2946	38.2946	1.3961	2.9317	0.0611	2.8014	3.1866	0.3852
11574123	460.0	264.0	616.0	2.335	0.784	0.118	0.04	7.0	0.5	120.0	119.0	13.8871	9.5445	0.0	29.5453	29.5453	1.455	2.6232	0.0722	2.5079	3.2179	0.7099
16684978	386.0	230.0	557.0	2.196	0.624	0.098	0.028	3.0	0.3	120.0	119.0	17.3506	9.1366	0.0	33.8233	33.8233	1.899	2.7195	0.0413	2.6083	2.8166	0.2084
25354225	524.0	285.0	791.0	2.425	0.7	0.127	0.059	11.0	1.1	120.0	119.0	15.2187	9.2949	-2.9074	37.2197	40.127	1.6373	2.6891	0.0627	2.5453	2.8994	0.3541
25811472	488.0	294.0	789.0	2.693	0.784	0.13	0.052	10.0	0.8	120.0	119.0	13.7544	9.6356	0.0	31.6937	31.6937	1.4275	2.8653	0.1158	2.7315	3.476	0.7444
27876862	422.0	231.0	524.0	2.187	0.607	0.108	0.028	6.0	0.4	120.0	119.0	16.8754	9.1311	0.0	30.3441	30.3441	1.8481	2.5179	0.0518	2.4129	2.6784	0.2655
29811890	433.0	298.0	643.0	2.528	0.911	0.119	0.034	5.0	0.5	120.0	119.0	13.5227	10.0819	0.0	33.4996	33.4996	1.3413	2.9333	0.0826	2.7091	3.1649	0.4559
31361606	448.0	248.0	569.0	2.114	0.654	0.104	0.022	5.0	0.3	120.0	119.0	16.7624	7.9251	0.0	32.4036	32.4036	2.1151	2.5315	0.0726	2.3509	2.6601	0.3092
32938469	438.0	247.0	644.0	2.482	0.911	0.124	0.036	7.0	0.3	120.0	119.0	12.479	9.2912	0.0	34.3106	34.3106	1.3431	2.8052	0.1152	2.6182	3.2344	0.6162
36895554	415.0	241.0	546.0	2.342	0.778	0.126	0.032	8.0	0.4	120.0	119.0	14.1009	10.0161	0.0	33.8043	33.8043	1.4078	2.6405	0.0505	2.5321	2.8276	0.2955
37329051	534.0	294.0	622.0	2.237	0.983	0.18	0.116	28.0	3.0	120.0	119.0	11.8441	10.9299	-27.1627	52.9033	80.066	1.0836	2.9144	0.0692	2.7137	3.031	0.3174
37835493	438.0	261.0	742.0	2.553	0.778	0.106	0.019	5.0	0.2	120.0	119.0	17.1244	9.8808	0.0	33.9625	33.9625	1.7331	2.7092	0.0375	2.5958	2.7657	0.17
43606631	376.0	216.0	561.0	2.213	0.881	0.103	0.02	4.0	0.3	120.0	119.0	18.896	9.1452	-1.0638	37.4866	38.5504	2.0662	2.4862	0.0381	2.4093	2.6198	0.2106
49408975	394.0	240.0	605.0	2.75	1.011	0.15	0.039	11.0	0.4	120.0	119.0	13.5793	8.9909	0.0	28.7729	28.7729	1.5103	2.5606	0.0712	2.3504	2.7975	0.4471
51217255	511.0	252.0	615.0	2.337	0.534	0.086	0.025	5.0	0.5	120.0	119.0	15.7905	9.6206	0.0	33.1633	33.1633	1.6413	3.0045	0.063	2.8254	3.2092	0.3839
52306425	631.0	383.0	876.0	2.434	0.93	0.115	0.027	8.0	0.5	120.0	119.0	19.7124	10.4951	0.0	36.6268	36.6268	1.8782	2.6897	0.0507	2.5682	2.8138	0.2456
52835891	417.0	242.0	714.0	2.646	0.996	0.111	0.04	7.0	0.8	120.0	119.0	15.593	10.6533	0.0	38.8546	38.8546	1.4637	2.564	0.101	2.3318	2.7238	0.392
55710183	474.0	247.0	637.0	2.356	0.706	0.113	0.025	8.0	0.4	120.0	119.0	15.2422	9.921	0.0	32.7969	32.7969	1.5364	2.7224	0.0741	2.6352	3.0709	0.4357
56162563	541.0	311.0	788.0	2.428	0.845	0.106	0.036	7.0	0.6	120.0	119.0	15.3856	10.9456	-2.3126	38.2433	40.5558	1.4056	3.015	0.0674	2.8152	3.1302	0.3151
60021964	465.0	242.0	636.0	2.454	0.756	0.096	0.022	6.0	0.3	120.0	119.0	14.8651	10.1962	0.0	35.5641	35.5641	1.4579	2.837	0.0738	2.6579	3.0935	0.4357
62582335	494.0	274.0	728.0	2.235	0.595	0.128	0.047	17.0	1.1	120.0	119.0	13.1732	8.529	-21.5147	32.405	53.9197	1.5445	2.6739	0.0841	2.4756	3.0374	0.5618
65198031	426.0	261.0	573.0	2.286	0.671	0.129	0.027	8.0	0.3	120.0	119.0	16.8325	8.8255	0.0	31.1256	31.1256	1.9073	2.6598	0.0765	2.4854	2.9445	0.4591
70214854	421.0	252.0	560.0	2.1	0.771	0.134	0.036	6.0	0.5	120.0	119.0	15.3629	9.3094	-1.5238	35.3011	36.8249	1.6502	2.7446	0.0592	2.6135	2.8456	0.2322
71851847	551.0	324.0	718.0	2.407	0.993	0.124	0.047	9.0	0.9	120.0	119.0	14.4961	10.8712	-5.7468	36.1528	41.8996	1.3334	2.7711	0.1039	2.4737	2.9068	0.4331
