participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	548.0	379.0	807.0	2.864	0.497	0.115	0.023	4.0	0.5	105.0	104.0	22.4044	4.1516	10.768	33.4794	22.7114	5.3966	4.3769	0.3709	3.8383	4.9401	1.1019
8454119	700.0	472.0	1335.0	2.917	0.486	0.093	0.019	4.0	0.5	105.0	104.0	22.7785	4.5273	6.8244	38.2301	31.4058	5.0314	4.9609	0.311	4.4318	5.3876	0.9558
11407866	549.0	362.0	805.0	2.851	0.477	0.116	0.028	4.0	0.7	105.0	104.0	22.8877	4.1415	8.7282	33.6937	24.9655	5.5264	4.3526	0.2818	3.9851	5.4177	1.4325
11574123	544.0	342.0	764.0	2.602	0.544	0.122	0.029	5.0	0.6	105.0	104.0	20.302	5.0367	-3.111	33.9595	37.0705	4.0308	4.4375	0.1963	4.0224	5.2348	1.2124
16684978	390.0	256.0	528.0	2.595	0.529	0.131	0.034	3.0	0.5	105.0	104.0	21.3903	5.0638	8.3842	37.641	29.2568	4.2242	4.4287	0.2231	3.7543	4.7082	0.9538
25354225	502.0	333.0	760.0	2.851	0.42	0.111	0.022	4.0	0.5	105.0	104.0	22.4274	4.5412	3.5864	42.14	38.5536	4.9386	4.5025	0.2205	4.1545	5.1954	1.0409
25811472	616.0	407.0	969.0	2.956	0.36	0.11	0.023	4.0	0.6	105.0	104.0	22.7881	4.7229	7.3136	36.6287	29.3151	4.825	4.7464	0.3256	4.3205	5.348	1.0275
27876862	389.0	264.0	489.0	2.367	0.363	0.118	0.029	3.0	0.4	105.0	104.0	19.7798	3.9213	10.5545	39.5039	28.9494	5.0442	4.0105	0.056	3.8575	4.2647	0.4072
29811890	509.0	339.0	712.0	2.734	0.37	0.116	0.025	4.0	0.5	105.0	104.0	23.6658	4.1963	11.5309	40.4552	28.9243	5.6397	4.49	0.3067	3.8415	4.9466	1.1051
31361606	458.0	308.0	612.0	2.453	0.42	0.119	0.024	3.0	0.5	105.0	104.0	21.2549	3.8682	9.5666	33.4977	23.9311	5.4948	4.029	0.2918	3.5151	4.4159	0.9008
32938469	580.0	375.0	907.0	3.234	0.582	0.117	0.025	5.0	0.6	105.0	104.0	24.011	5.6039	3.604	37.14	33.536	4.2847	4.69	0.596	3.8673	5.4109	1.5436
36895554	469.0	313.0	671.0	2.882	0.593	0.109	0.022	3.0	0.4	105.0	104.0	20.8109	3.9205	8.846	31.7172	22.8712	5.3083	4.4186	0.1693	4.0771	5.0597	0.9825
37329051	462.0	311.0	706.0	2.873	0.589	0.094	0.017	2.0	0.3	105.0	104.0	24.5861	4.1828	11.4294	38.0669	26.6375	5.8779	4.5778	0.2483	4.3814	5.3889	1.0075
37835493	529.0	367.0	709.0	2.369	0.435	0.123	0.027	4.0	0.5	105.0	104.0	20.4246	3.7808	8.3091	31.3652	23.0561	5.4022	4.0905	0.2688	3.6284	4.5224	0.8939
43606631	460.0	315.0	563.0	2.273	0.413	0.115	0.027	3.0	0.5	105.0	104.0	20.8875	3.7358	10.002	35.9172	25.9152	5.5912	4.2666	0.2268	4.0357	4.7144	0.6787
49408975	472.0	314.0	741.0	3.038	0.364	0.126	0.029	4.0	0.5	105.0	104.0	21.5786	4.5408	9.2707	35.1663	25.8956	4.7521	4.7685	0.1407	4.4216	4.976	0.5544
51217255	454.0	318.0	722.0	2.66	0.476	0.111	0.026	3.0	0.4	105.0	104.0	21.9997	4.2386	7.0264	31.5974	24.571	5.1903	4.5526	0.3927	4.0725	5.1951	1.1226
52306425	504.0	329.0	731.0	2.887	0.423	0.135	0.031	5.0	0.6	105.0	104.0	20.3403	5.6222	0.5962	36.6377	36.0415	3.6179	4.4827	0.252	3.998	5.0759	1.0778
52835891	470.0	310.0	636.0	2.683	0.35	0.112	0.024	3.0	0.4	105.0	104.0	22.2888	4.4644	6.435	34.5255	28.0905	4.9926	4.0073	0.1307	3.7429	4.5348	0.7919
55710183	461.0	304.0	579.0	2.437	0.406	0.111	0.023	3.0	0.4	105.0	104.0	21.5294	3.5191	10.4625	35.1061	24.6436	6.1179	4.6083	0.241	3.9124	4.8863	0.9739
56162563	619.0	395.0	844.0	2.638	0.338	0.119	0.024	5.0	0.6	105.0	104.0	22.171	4.3109	7.2602	37.7187	30.4585	5.143	4.3564	0.2907	3.8307	4.6897	0.8589
60021964	506.0	352.0	715.0	2.484	0.326	0.123	0.026	4.0	0.6	105.0	104.0	22.1651	4.6042	9.4858	32.9031	23.4173	4.8141	4.5167	0.2613	4.0518	5.0936	1.0418
62582335	487.0	347.0	734.0	2.671	0.336	0.121	0.022	4.0	0.5	105.0	104.0	22.1333	4.6975	6.7954	32.6722	25.8768	4.7117	3.9739	0.2526	3.3922	4.2732	0.881
65198031	552.0	376.0	720.0	2.288	0.435	0.124	0.026	4.0	0.6	105.0	104.0	19.7959	3.6821	7.1705	29.6711	22.5006	5.3762	4.4214	0.1951	4.0771	5.1468	1.0697
70214854	450.0	325.0	625.0	2.329	0.328	0.139	0.027	5.0	0.5	105.0	104.0	21.0842	4.698	8.821	31.2756	22.4546	4.4879	4.0014	0.1427	3.6609	4.3841	0.7232
71851847	408.0	275.0	654.0	3.224	0.566	0.107	0.022	2.0	0.4	105.0	104.0	24.126	4.5708	5.1581	41.9638	36.8058	5.2783	4.3625	0.193	4.0931	4.6823	0.5893
74920331	458.0	312.0	582.0	2.525	0.52	0.117	0.021	3.0	0.4	105.0	104.0	20.6583	4.2364	9.6797	34.9033	25.2236	4.8764	4.5191	0.2586	3.8471	4.8693	1.0222
77390767	485.0	310.0	576.0	2.434	0.337	0.127	0.032	4.0	0.7	105.0	104.0	20.2601	4.8293	3.5344	32.3864	28.8519	4.1953	4.2989	0.2598	3.9292	4.7416	0.8123
78982423	447.0	296.0	568.0	2.768	0.498	0.105	0.023	2.0	0.4	105.0	104.0	22.173	4.159	10.3036	37.6708	27.3672	5.3313	4.4679	0.1454	4.1138	4.8616	0.7478
80982198	597.0	394.0	843.0	2.546	0.504	0.11	0.023	4.0	0.7	105.0	104.0	22.207	4.3876	7.3618	33.9975	26.6357	5.0613	4.7891	0.494	4.3225	5.4534	1.1309
82699044	673.0	466.0	923.0	2.671	0.435	0.145	0.028	7.0	0.8	105.0	104.0	21.2155	4.7576	8.0314	34.0257	25.9942	4.4593	4.4109	0.3313	3.9626	5.2549	1.2923
84407714	404.0	264.0	541.0	2.726	0.455	0.103	0.024	2.0	0.3	105.0	104.0	22.7415	3.5098	11.7162	35.5741	23.8579	6.4794	4.2825	0.4141	3.7346	4.9234	1.1888
86226939	489.0	337.0	602.0	2.302	0.375	0.128	0.026	4.0	0.5	105.0	104.0	19.6107	4.3777	5.018	31.4394	26.4214	4.4797	4.3635	0.0871	4.1916	4.5279	0.3363
93800202	445.0	299.0	668.0	2.787	0.479	0.11	0.021	3.0	0.4	105.0	104.0	23.8451	3.7725	14.169	36.1222	21.9531	6.3207	4.2414	0.147	3.7903	4.5981	0.8077
97005004	578.0	385.0	933.0	2.988	0.583	0.108	0.023	4.0	0.5	105.0	104.0	24.5131	4.5065	11.3814	40.1978	28.8164	5.4395	5.1965	0.1318	4.7544	5.6581	0.9037
100527940	571.0	384.0	915.0	2.887	0.474	0.119	0.027	4.0	0.6	105.0	104.0	23.8174	4.4234	6.1029	37.7624	31.6595	5.3844	4.6857	0.281	4.2651	5.2906	1.0255
