participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	538.0	373.0	999.0	2.348	0.699	0.137	0.029	9.0	0.7	15.0	14.0	18.4486	5.4291	0.9019	35.8658	34.9639	3.3981	2.779	0.3899	1.979	3.2432	1.2642
8454119	537.0	372.0	1283.0	2.852	0.75	0.148	0.041	10.0	0.7	15.0	14.0	20.8268	5.1484	4.2127	36.3265	32.1137	4.0453	3.138	0.5275	2.3267	4.0047	1.678
11407866	562.0	387.0	1171.0	2.389	0.828	0.159	0.036	14.0	0.7	15.0	14.0	18.6815	5.2812	-3.1559	31.7813	34.9372	3.5374	2.6156	0.3026	2.1218	3.1502	1.0283
11574123	466.0	337.0	1106.0	2.702	0.587	0.15	0.033	8.0	0.5	15.0	14.0	20.0764	4.9489	0.0	32.9989	32.9989	4.0567	2.6069	0.3326	1.954	3.2538	1.2998
16684978	467.0	311.0	974.0	2.663	0.533	0.138	0.03	8.0	0.5	15.0	14.0	19.207	4.8948	6.314	31.9891	25.675	3.924	2.5901	0.2631	1.9716	2.9056	0.934
25354225	535.0	377.0	1206.0	2.733	0.825	0.168	0.033	12.0	0.7	15.0	14.0	19.3376	4.9555	0.2176	37.2533	37.0357	3.9023	2.5244	0.3124	1.949	2.9977	1.0487
25811472	512.0	359.0	1229.0	2.679	1.037	0.159	0.041	12.0	0.7	15.0	14.0	18.5059	5.7471	-16.0281	33.3031	49.3313	3.2201	2.7324	0.4435	2.0849	3.4825	1.3976
27876862	425.0	287.0	674.0	2.262	0.556	0.158	0.033	10.0	0.6	15.0	14.0	18.0596	4.4755	-1.9271	30.9198	32.8469	4.0352	2.429	0.2631	1.88	2.783	0.903
29811890	516.0	360.0	950.0	2.171	0.788	0.15	0.034	12.0	0.6	15.0	14.0	17.8838	5.6715	-2.0394	32.1154	34.1548	3.1533	2.8102	0.2834	2.3305	3.2229	0.8924
31361606	457.0	304.0	812.0	2.305	0.714	0.181	0.035	14.0	0.6	15.0	14.0	18.5383	4.4056	3.6028	36.467	32.8642	4.2079	2.2036	0.2152	1.7529	2.4669	0.7141
32938469	496.0	335.0	1507.0	3.244	0.812	0.138	0.036	8.0	0.6	15.0	14.0	21.5425	5.7715	0.0	37.5159	37.5159	3.7326	2.9823	0.4274	2.0539	3.5772	1.5233
36895554	473.0	328.0	1052.0	3.002	0.929	0.148	0.042	9.0	0.7	15.0	14.0	19.4602	6.4404	0.0	34.5748	34.5748	3.0216	2.5707	0.2711	2.0148	2.9353	0.9205
37329051	581.0	385.0	1209.0	2.682	0.776	0.162	0.044	14.0	0.8	15.0	14.0	18.3031	5.1485	3.8199	37.3926	33.5728	3.555	2.5433	0.3067	2.0086	2.9829	0.9742
37835493	531.0	353.0	1079.0	2.479	0.749	0.168	0.033	12.0	0.7	15.0	14.0	18.7046	4.5608	6.4532	31.6703	25.2171	4.1012	2.3576	0.3284	1.8077	2.8202	1.0125
43606631	467.0	317.0	881.0	2.447	0.671	0.143	0.029	8.0	0.5	15.0	14.0	20.3135	5.6828	4.0651	36.9519	32.8868	3.5746	2.5865	0.2769	2.0276	2.9884	0.9607
49408975	527.0	362.0	1252.0	2.901	0.717	0.161	0.03	11.0	0.6	15.0	14.0	18.8905	5.9513	0.0	33.507	33.507	3.1742	2.3543	0.2575	1.929	2.8453	0.9163
51217255	544.0	355.0	1176.0	2.56	0.701	0.148	0.028	10.0	0.5	15.0	14.0	20.0521	5.0179	8.2329	36.6123	28.3794	3.9961	2.8357	0.3743	2.0295	3.3076	1.278
52306425	749.0	510.0	1377.0	2.451	0.664	0.149	0.039	15.0	1.0	15.0	14.0	19.6517	5.9901	-13.6482	36.4642	50.1124	3.2807	2.544	0.29	1.9262	2.986	1.0599
52835891	395.0	290.0	986.0	3.082	0.517	0.109	0.022	3.0	0.3	15.0	14.0	20.9556	4.6188	8.9741	33.5128	24.5388	4.537	2.2995	0.3431	1.6477	2.7449	1.0971
55710183	604.0	408.0	1175.0	2.493	0.734	0.137	0.033	8.0	0.6	15.0	14.0	17.7977	5.0914	3.5329	34.2615	30.7286	3.4956	2.6329	0.3553	1.9821	3.1346	1.1525
56162563	541.0	355.0	976.0	2.485	0.844	0.152	0.03	9.0	0.6	15.0	14.0	20.0032	5.5742	0.0	34.9223	34.9223	3.5885	2.6185	0.3962	1.8305	3.0939	1.2635
60021964	586.0	401.0	1231.0	2.465	0.777	0.149	0.03	13.0	0.6	15.0	14.0	17.5481	5.3787	0.0	35.5589	35.5589	3.2625	2.543	0.3414	1.9115	3.1096	1.1981
62582335	548.0	360.0	1438.0	3.308	0.569	0.127	0.029	7.0	0.5	15.0	14.0	22.5889	5.0259	2.899	35.5049	32.6059	4.4945	2.6673	0.2905	2.1128	3.1838	1.071
65198031	479.0	329.0	958.0	2.493	0.622	0.171	0.035	10.0	0.6	15.0	14.0	18.4525	4.4562	4.8754	31.3181	26.4427	4.1409	2.5664	0.3374	1.9452	3.0281	1.0829
70214854	492.0	311.0	506.0	1.456	1.112	0.128	0.03	8.0	0.5	15.0	14.0	13.3542	9.1758	0.0	31.4997	31.4997	1.4554	2.3911	0.2734	1.6975	2.7107	1.0132
71851847	511.0	354.0	943.0	2.242	0.98	0.147	0.026	9.0	0.5	15.0	14.0	18.3188	4.8761	4.445	34.0664	29.6214	3.7569	2.3782	0.3232	1.8672	3.1588	1.2916
74920331	508.0	350.0	960.0	2.315	0.731	0.146	0.034	10.0	0.7	15.0	14.0	17.002	4.7561	1.6211	31.5638	29.9426	3.5748	2.4846	0.3434	1.9362	2.9748	1.0386
77390767	539.0	342.0	1066.0	2.634	0.67	0.144	0.042	10.0	0.9	15.0	14.0	19.5894	6.6575	0.0	37.8545	37.8545	2.9424	2.5726	0.388	1.8998	3.1838	1.284
78982423	490.0	324.0	893.0	2.605	0.639	0.155	0.033	9.0	0.7	15.0	14.0	18.9247	5.0791	3.4201	32.1455	28.7255	3.726	2.488	0.2752	1.9081	2.923	1.0149
80982198	598.0	408.0	1124.0	2.294	0.68	0.156	0.036	13.0	0.7	15.0	14.0	18.8186	5.2335	0.0	40.2721	40.2721	3.5958	2.5927	0.3229	2.0389	3.2937	1.2548
82699044	598.0	423.0	1370.0	2.808	0.814	0.142	0.026	8.0	0.6	15.0	14.0	19.8943	5.8737	5.0874	35.6868	30.5994	3.387	2.577	0.3244	1.9463	3.0698	1.1234
84407714	456.0	317.0	1052.0	2.902	0.508	0.12	0.023	5.0	0.4	15.0	14.0	20.4198	4.6516	6.7709	34.0033	27.2324	4.3898	2.5458	0.4299	1.8123	3.102	1.2897
86226939	448.0	305.0	821.0	2.403	0.675	0.152	0.034	9.0	0.7	15.0	14.0	18.9763	5.5569	0.0	34.8157	34.8157	3.4149	2.6492	0.3097	1.881	3.1349	1.2539
93800202	374.0	251.0	770.0	2.542	0.846	0.169	0.049	9.0	0.6	15.0	14.0	18.3771	5.2975	-9.0535	32.5451	41.5987	3.469	2.5251	0.2898	1.9846	2.9284	0.9438
