participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	972.0	674.0	2065.0	2.671	0.586	0.128	0.025	9.0	1.0	44.0	43.0	23.2342	4.6061	9.5498	40.9425	31.3927	5.0442	2.073	0.0559	1.9965	2.2387	0.2422
8454119	1017.0	692.0	2143.0	2.727	0.66	0.113	0.021	8.0	0.8	44.0	43.0	23.5407	5.7724	9.1004	41.2884	32.1881	4.0781	2.5769	0.0617	2.416	2.7433	0.3273
11407866	777.0	533.0	2221.0	3.106	0.613	0.122	0.033	10.0	0.9	44.0	43.0	24.4436	6.1445	-7.921	39.5469	47.4679	3.9781	2.2478	0.0614	2.1017	2.3726	0.2709
11574123	658.0	460.0	1375.0	2.826	0.53	0.134	0.028	6.0	0.8	44.0	43.0	25.7767	6.1184	8.8378	43.6616	34.8238	4.213	2.1522	0.0864	1.9566	2.3049	0.3483
16684978	663.0	481.0	1862.0	3.051	0.564	0.129	0.028	7.0	0.7	44.0	43.0	22.8832	5.5614	8.6736	40.34	31.6665	4.1147	2.2007	0.1543	1.9424	2.5304	0.5881
25354225	721.0	482.0	2325.0	3.528	0.77	0.14	0.038	12.0	1.4	44.0	43.0	22.292	6.5469	-5.3905	41.5025	46.893	3.405	2.126	0.0526	2.0458	2.3446	0.2987
25811472	994.0	713.0	2558.0	2.94	0.661	0.122	0.024	11.0	1.1	44.0	43.0	24.2241	5.6407	1.4062	40.357	38.9508	4.2945	2.3485	0.1138	2.2095	2.6994	0.4899
27876862	645.0	455.0	1690.0	3.051	0.45	0.14	0.032	10.0	0.9	44.0	43.0	24.6598	5.3199	4.0445	47.9157	43.8712	4.6354	2.0985	0.0984	1.9238	2.3707	0.4469
29811890	781.0	528.0	1829.0	3.139	0.707	0.139	0.044	10.0	1.3	44.0	43.0	24.6405	7.5143	-20.4249	44.2865	64.7114	3.2791	2.1605	0.0958	1.9569	2.3673	0.4104
31361606	733.0	518.0	2012.0	3.176	0.644	0.121	0.028	7.0	0.9	44.0	43.0	23.4437	5.127	6.6583	47.5107	40.8524	4.5726	2.0557	0.0913	1.8859	2.371	0.4851
32938469	730.0	510.0	2030.0	3.186	0.659	0.128	0.032	8.0	0.9	44.0	43.0	25.6135	6.469	4.0692	40.2589	36.1896	3.9594	2.3666	0.0902	2.1325	2.5389	0.4065
36895554	929.0	659.0	2441.0	3.327	0.493	0.134	0.03	9.0	1.2	44.0	43.0	23.995	5.9359	8.9127	39.6691	30.7564	4.0423	2.1445	0.0594	2.003	2.3183	0.3152
37329051	641.0	457.0	1676.0	3.136	0.689	0.134	0.038	9.0	1.0	44.0	43.0	25.269	7.8889	-5.709	51.6351	57.3441	3.2031	2.2809	0.0738	2.0976	2.513	0.4154
37835493	807.0	562.0	1931.0	2.781	0.522	0.123	0.022	8.0	0.8	44.0	43.0	21.1992	4.7408	6.5991	38.1429	31.5438	4.4716	2.0998	0.0742	1.9839	2.3202	0.3363
43606631	858.0	584.0	1583.0	2.64	0.521	0.128	0.03	7.0	1.1	44.0	43.0	20.5311	5.4415	2.1685	36.5063	34.3378	3.7731	2.2227	0.0872	2.0551	2.3832	0.3281
49408975	836.0	585.0	2403.0	3.384	0.627	0.13	0.03	9.0	1.1	44.0	43.0	22.0267	5.818	5.087	38.2967	33.2097	3.7859	2.135	0.1132	1.9662	2.3757	0.4096
51217255	749.0	532.0	1883.0	3.011	0.727	0.134	0.036	8.0	1.0	44.0	43.0	23.9988	6.1586	3.2805	41.8748	38.5943	3.8968	2.1452	0.0831	1.9865	2.2951	0.3086
52306425	880.0	574.0	2077.0	3.252	0.66	0.134	0.029	9.0	1.2	44.0	43.0	22.6276	5.4682	1.7984	37.2748	35.4764	4.1381	2.0916	0.0293	2.0388	2.1735	0.1347
52835891	748.0	510.0	2134.0	3.211	0.711	0.117	0.027	7.0	0.8	44.0	43.0	23.966	6.0339	5.3899	43.6804	38.2905	3.9719	2.0781	0.0548	1.9704	2.2298	0.2595
55710183	632.0	443.0	1480.0	2.751	0.693	0.14	0.038	13.0	0.8	44.0	43.0	20.9776	5.3324	5.4948	39.0846	33.5898	3.934	2.3342	0.0789	2.1165	2.4821	0.3656
56162563	764.0	502.0	1748.0	3.267	0.502	0.121	0.036	9.0	1.3	44.0	43.0	26.8225	7.1302	8.6252	51.6773	43.0521	3.7618	2.142	0.0391	2.0483	2.2439	0.1956
60021964	836.0	553.0	2308.0	3.296	0.642	0.12	0.028	9.0	1.0	44.0	43.0	24.543	5.7707	-5.5655	39.6976	45.2631	4.253	2.1843	0.1268	2.0029	2.4271	0.4243
62582335	624.0	466.0	1612.0	2.923	0.548	0.129	0.025	8.0	0.6	44.0	43.0	23.8723	5.7043	10.5669	41.8911	31.3243	4.185	2.2283	0.062	2.0868	2.375	0.2881
65198031	840.0	546.0	1819.0	3.116	0.476	0.12	0.022	7.0	0.8	44.0	43.0	20.7514	6.3772	3.8734	43.6674	39.794	3.254	2.1719	0.0522	2.0748	2.3706	0.2958
