participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	651.0	415.0	1183.0	2.724	0.49	0.102	0.016	7.0	0.5	129.0	128.0	23.303	4.6074	9.968	38.9884	29.0205	5.0577	4.8726	0.293	3.7876	5.222	1.4344
8454119	648.0	436.0	1427.0	3.08	0.412	0.11	0.026	7.0	0.7	129.0	128.0	23.4726	5.4301	2.4191	40.4388	38.0198	4.3227	4.8011	0.2417	4.0598	5.4016	1.3417
11407866	499.0	349.0	1126.0	3.278	0.593	0.084	0.014	1.0	0.3	129.0	128.0	26.9119	4.1389	13.3211	43.0843	29.7632	6.5022	4.1741	0.3432	3.2867	4.9801	1.6934
11574123	754.0	485.0	1738.0	3.051	0.538	0.117	0.044	10.0	1.3	129.0	128.0	21.4532	7.8306	-8.4362	43.4571	51.8934	2.7397	4.1057	0.4656	3.0699	4.7793	1.7093
16684978	504.0	367.0	1146.0	3.047	0.472	0.11	0.021	3.0	0.6	129.0	128.0	22.8276	5.5739	0.009	36.6023	36.5933	4.0954	4.2119	0.1447	3.8391	4.6627	0.8236
25354225	660.0	452.0	1559.0	3.231	0.484	0.075	0.017	2.0	0.4	129.0	128.0	24.543	7.2525	-3.2414	47.8753	51.1167	3.3841	4.491	0.333	3.4821	5.1087	1.6266
25811472	671.0	456.0	1697.0	3.415	0.662	0.092	0.024	4.0	0.7	129.0	128.0	24.7676	4.6524	10.8661	36.9371	26.071	5.3236	4.7052	0.2051	4.1447	5.1017	0.957
27876862	429.0	300.0	992.0	2.927	0.61	0.104	0.019	4.0	0.3	129.0	128.0	24.4402	4.3907	11.725	37.0283	25.3033	5.5664	3.6191	0.2503	3.0977	3.9438	0.8462
29811890	627.0	431.0	1644.0	3.432	0.509	0.08	0.019	3.0	0.5	129.0	128.0	25.6284	5.1348	5.9014	40.973	35.0716	4.9911	4.372	0.3221	3.5189	5.0293	1.5104
31361606	388.0	274.0	845.0	3.312	0.88	0.088	0.018	2.0	0.3	129.0	128.0	26.1387	6.4571	4.5501	52.3885	47.8384	4.048	3.8761	0.1401	3.4117	4.2916	0.8799
32938469	479.0	326.0	892.0	2.941	0.459	0.075	0.013	1.0	0.3	129.0	128.0	26.621	4.8394	8.4275	41.5517	33.1242	5.5009	4.9777	0.4792	3.6106	5.4728	1.8622
36895554	538.0	352.0	1228.0	3.025	0.49	0.096	0.028	6.0	0.6	129.0	128.0	24.0791	6.1607	2.6672	39.2712	36.6039	3.9085	4.1105	0.1977	3.4825	4.4762	0.9937
37329051	511.0	354.0	1230.0	3.22	0.535	0.081	0.014	1.0	0.4	129.0	128.0	25.1247	4.9811	7.3513	45.8329	38.4816	5.0441	4.3466	0.3048	3.5656	4.9099	1.3443
37835493	590.0	388.0	1030.0	2.55	0.611	0.073	0.011	2.0	0.3	129.0	128.0	23.8634	4.2583	10.8843	42.4019	31.5176	5.604	4.4569	0.1471	3.8659	4.6203	0.7544
