participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	794.0	524.0	1352.0	2.762	0.378	0.131	0.028	8.0	0.9	131.0	130.0	25.2164	4.9882	5.6114	38.1779	32.5666	5.0552	3.3152	0.1367	3.0619	3.65	0.588
8454119	1481.0	980.0	2815.0	2.669	0.548	0.109	0.024	21.0	1.4	131.0	130.0	24.151	7.2898	-4.308	39.0441	43.3522	3.313	4.0602	0.4519	3.1093	4.9429	1.8336
11407866	832.0	600.0	1764.0	2.972	0.35	0.085	0.011	4.0	0.4	131.0	130.0	26.8421	4.3468	9.0111	37.4687	28.4576	6.1752	4.1134	0.2685	3.5961	4.8161	1.2201
11574123	1002.0	689.0	1644.0	2.743	0.394	0.097	0.017	6.0	0.6	131.0	130.0	26.6025	4.1157	11.8869	40.9715	29.0846	6.4637	3.6848	0.1285	3.4388	4.1669	0.7281
16684978	750.0	508.0	1263.0	2.758	0.444	0.12	0.023	6.0	0.8	131.0	130.0	24.7729	5.1371	3.5335	41.195	37.6614	4.8223	3.514	0.0508	3.3985	3.6626	0.2641
25354225	1215.0	812.0	2349.0	3.076	0.444	0.105	0.019	9.0	0.9	131.0	130.0	25.7107	5.4344	3.2375	43.9324	40.6949	4.7311	4.371	0.3049	3.3161	4.954	1.638
25811472	967.0	672.0	1944.0	3.169	0.416	0.097	0.018	5.0	0.8	131.0	130.0	27.1829	4.5859	12.6556	45.01	32.3544	5.9275	3.9022	0.1157	3.6385	4.2828	0.6443
27876862	811.0	555.0	1396.0	2.717	0.539	0.109	0.018	6.0	0.6	131.0	130.0	26.1989	4.1083	11.6327	37.766	26.1333	6.3771	3.7036	0.0607	3.5222	3.9125	0.3902
29811890	1057.0	752.0	2031.0	2.904	0.465	0.09	0.013	6.0	0.6	131.0	130.0	27.5136	4.0756	6.9889	37.4988	30.51	6.7508	4.1158	0.1213	3.876	4.3994	0.5234
31361606	620.0	431.0	1134.0	2.725	0.441	0.111	0.023	4.0	0.7	131.0	130.0	25.0357	4.663	8.032	44.9048	36.8728	5.369	3.2694	0.0864	3.1265	3.5693	0.4428
