participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	395.0	250.0	976.0	3.125	0.437	0.111	0.022	4.0	0.3	29.0	28.0	20.1604	4.0042	8.5717	32.0598	23.4881	5.0349	3.4757	0.0867	3.3691	3.8515	0.4823
8454119	722.0	456.0	2088.0	3.262	0.579	0.138	0.035	14.0	0.9	29.0	28.0	20.5171	6.1385	-1.3608	36.5513	37.9121	3.3423	4.1654	0.1713	3.6019	4.5774	0.9755
11407866	707.0	454.0	2096.0	3.673	0.43	0.136	0.028	15.0	0.7	29.0	28.0	19.9853	6.2621	6.8781	39.316	32.4379	3.1915	3.6196	0.1268	3.4769	4.0018	0.5249
11574123	807.0	492.0	1758.0	3.027	0.514	0.138	0.034	14.0	1.0	29.0	28.0	19.5521	5.8789	5.7857	33.6206	27.8348	3.3258	3.8531	0.1685	3.5917	4.3357	0.744
16684978	361.0	239.0	929.0	2.904	0.324	0.15	0.037	8.0	0.5	29.0	28.0	17.9208	6.1613	3.3815	34.0518	30.6703	2.9086	3.5012	0.1045	3.3787	3.7941	0.4154
25354225	570.0	311.0	1695.0	3.512	0.498	0.119	0.031	10.0	0.6	29.0	28.0	19.4443	5.0462	7.1512	32.6894	25.5382	3.8533	4.0512	0.1039	3.9376	4.3777	0.4401
25811472	580.0	381.0	1998.0	3.601	0.63	0.125	0.031	10.0	0.6	29.0	28.0	18.9541	5.9856	-9.9575	38.3408	48.2983	3.1666	3.7041	0.1256	3.4851	4.0973	0.6122
27876862	375.0	248.0	947.0	2.9	0.391	0.127	0.033	8.0	0.7	29.0	28.0	19.6487	5.282	1.1502	32.8873	31.7371	3.7199	3.5872	0.1353	3.3311	3.8402	0.5091
29811890	842.0	444.0	1537.0	2.939	0.517	0.099	0.039	13.0	1.4	29.0	28.0	17.1247	8.0157	-4.3229	33.9462	38.2691	2.1364	3.94	0.0795	3.7822	4.1409	0.3587
31361606	468.0	330.0	1275.0	3.026	0.479	0.146	0.036	9.0	0.6	29.0	28.0	20.7573	6.7502	-0.5663	36.1676	36.7339	3.0751	3.3105	0.1546	3.1429	3.6935	0.5506
32938469	802.0	441.0	1149.0	2.234	0.689	0.112	0.031	11.0	1.1	29.0	28.0	12.1928	7.8618	-6.5184	31.8503	38.3687	1.5509	4.0429	0.1809	3.8441	4.6391	0.795
36895554	432.0	291.0	1289.0	3.132	0.594	0.132	0.034	8.0	0.7	29.0	28.0	20.6145	5.2161	5.3081	35.2579	29.9498	3.9521	3.5324	0.1671	3.3199	3.9649	0.6451
37329051	950.0	605.0	2021.0	2.892	0.568	0.114	0.025	13.0	0.9	29.0	28.0	19.2075	6.5375	-1.149	39.2669	40.4159	2.9381	3.9777	0.1203	3.7712	4.3454	0.5743
37835493	514.0	351.0	1240.0	2.947	0.427	0.133	0.029	7.0	0.6	29.0	28.0	20.7875	5.2703	7.552	31.8346	24.2825	3.9443	3.6314	0.0827	3.3601	3.8316	0.4715
43606631	360.0	257.0	866.0	2.833	0.428	0.141	0.041	7.0	0.6	29.0	28.0	20.8762	6.2707	-21.5472	37.8316	59.3787	3.3291	3.8458	0.1464	3.638	4.2258	0.5878
49408975	503.0	345.0	1321.0	2.718	0.682	0.139	0.037	13.0	1.0	29.0	28.0	19.3632	7.321	-14.4223	41.9967	56.419	2.6449	4.1169	0.1521	3.8485	4.4326	0.584
51217255	467.0	317.0	1369.0	3.21	0.541	0.133	0.025	7.0	0.5	29.0	28.0	22.6863	5.1041	6.9807	40.2321	33.2514	4.4447	3.7357	0.1274	3.5404	4.1081	0.5677
52306425	502.0	342.0	1212.0	2.739	0.403	0.156	0.043	11.0	1.0	29.0	28.0	19.1476	5.9244	1.4972	37.309	35.8119	3.232	3.7352	0.0564	3.6568	4.0005	0.3437
52835891	335.0	235.0	1178.0	3.642	0.588	0.17	0.045	8.0	0.7	29.0	28.0	22.9574	6.9094	4.0795	39.2242	35.1446	3.3226	3.3853	0.089	3.258	3.5784	0.3204
55710183	441.0	274.0	1015.0	2.769	0.519	0.095	0.023	5.0	0.4	29.0	28.0	19.6005	4.943	2.0049	32.3698	30.3649	3.9653	3.7925	0.1031	3.65	4.1027	0.4527
56162563	414.0	276.0	1284.0	3.302	0.557	0.123	0.027	6.0	0.5	29.0	28.0	23.8532	4.6788	6.0334	39.7194	33.686	5.0981	3.3803	0.0698	3.2636	3.5851	0.3215
60021964	490.0	279.0	1217.0	3.101	0.483	0.103	0.029	7.0	0.5	29.0	28.0	19.6676	5.0124	1.7594	37.7155	35.9561	3.9238	3.7844	0.1179	3.6005	4.2578	0.6572
62582335	596.0	355.0	1484.0	3.085	0.484	0.11	0.032	9.0	0.6	29.0	28.0	18.8146	6.5629	-0.5173	32.7979	33.3152	2.8668	3.3654	0.1324	3.169	3.7615	0.5925
65198031	436.0	309.0	1234.0	3.295	0.427	0.147	0.03	8.0	0.5	29.0	28.0	20.5004	5.051	8.9346	36.365	27.4304	4.0587	3.8696	0.2252	3.5522	4.4706	0.9185
70214854	362.0	244.0	876.0	2.742	0.615	0.12	0.03	6.0	0.4	29.0	28.0	21.7378	4.7909	5.571	36.1108	30.5397	4.5373	3.5645	0.0884	3.4062	3.7747	0.3685
71851847	382.0	248.0	1145.0	3.232	0.473	0.162	0.043	11.0	0.8	29.0	28.0	17.0944	6.3029	2.4343	32.766	30.3318	2.7121	3.7241	0.1899	3.3843	4.1295	0.7452
74920331	477.0	304.0	1133.0	2.847	0.331	0.1	0.015	6.0	0.3	29.0	28.0	19.2483	4.3438	2.9129	28.7559	25.8431	4.4312	3.8297	0.0822	3.7137	4.0821	0.3685
77390767	404.0	275.0	994.0	2.671	0.402	0.119	0.031	8.0	0.6	29.0	28.0	19.7624	6.2287	3.4797	38.0983	34.6186	3.1728	3.5211	0.0737	3.3625	3.6939	0.3314
