participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1122.0	740.0	2582.0	2.88	0.519	0.128	0.028	18.0	1.3	134.0	133.0	23.1556	5.3198	7.2288	40.5167	33.2879	4.3527	2.9123	0.1719	2.6453	3.3297	0.6844
8454119	2405.0	1532.0	5335.0	2.854	0.853	0.141	0.046	43.0	5.3	134.0	133.0	21.5204	9.4029	-28.3144	49.3543	77.6687	2.2887	3.2213	0.3442	2.6276	4.5709	1.9433
11407866	1595.0	1057.0	4961.0	3.451	0.64	0.133	0.029	26.0	2.0	134.0	133.0	22.8709	5.8088	4.2751	39.4114	35.1363	3.9373	3.3963	0.4149	2.8555	4.631	1.7755
11574123	1198.0	748.0	3367.0	3.369	0.759	0.137	0.041	22.0	1.9	134.0	133.0	21.3931	6.9693	-0.2316	37.6379	37.8695	3.0696	3.2857	0.2506	2.8751	3.892	1.0169
16684978	1204.0	776.0	2847.0	2.753	0.745	0.15	0.053	25.0	2.8	134.0	133.0	20.062	7.4321	-14.0977	42.8489	56.9466	2.6994	3.2664	0.1547	3.0007	3.6409	0.6402
25354225	1483.0	932.0	4978.0	3.611	0.663	0.129	0.034	25.0	1.8	134.0	133.0	21.2503	6.8006	-3.8111	44.0027	47.8139	3.1248	3.2967	0.451	2.5459	4.5056	1.9597
25811472	1549.0	973.0	4037.0	3.111	0.709	0.127	0.042	24.0	2.6	134.0	133.0	21.2111	7.6653	-6.4376	42.1476	48.5852	2.7672	3.4345	0.3227	2.9232	4.222	1.2988
27876862	1076.0	733.0	2839.0	2.887	0.606	0.148	0.04	23.0	1.7	134.0	133.0	21.8008	6.6764	-9.7508	46.6311	56.3818	3.2654	3.2767	0.2749	2.7813	3.8972	1.1159
29811890	2542.0	1495.0	5652.0	2.953	0.762	0.123	0.047	63.0	5.1	134.0	133.0	19.3593	8.912	-5.0792	37.3029	42.3821	2.1723	3.6368	0.3238	3.0541	4.4234	1.3693
31361606	1000.0	662.0	2747.0	3.041	0.592	0.155	0.037	22.0	1.5	134.0	133.0	21.3439	6.7502	-3.5787	45.274	48.8527	3.162	2.8644	0.2485	2.4826	3.5373	1.0547
32938469	1404.0	979.0	2524.0	2.41	0.768	0.145	0.04	22.0	2.3	134.0	133.0	19.0388	9.2755	-4.9941	39.0522	44.0463	2.0526	3.5536	0.224	3.2162	4.5093	1.2931
36895554	1450.0	990.0	3415.0	2.899	0.632	0.143	0.04	25.0	2.4	134.0	133.0	21.9348	6.4336	-0.0724	46.5916	46.664	3.4094	3.2794	0.5149	2.6794	4.4023	1.7229
37329051	1405.0	917.0	3207.0	2.87	0.907	0.152	0.051	27.0	3.3	134.0	133.0	18.2727	7.8987	-9.7512	38.2162	47.9674	2.3134	3.613	0.2665	3.1436	4.1035	0.9599
37835493	1239.0	843.0	3134.0	2.906	0.673	0.137	0.032	20.0	1.5	134.0	133.0	21.969	5.3867	3.9966	36.1951	32.1985	4.0784	3.2049	0.2138	2.8058	3.8182	1.0124
43606631	1254.0	814.0	2515.0	2.518	0.538	0.123	0.039	24.0	2.1	134.0	133.0	21.8743	8.4324	-51.1629	44.2549	95.4178	2.5941	3.4476	0.22	3.0134	4.0502	1.0368
49408975	1030.0	722.0	2904.0	2.998	0.653	0.134	0.033	19.0	1.3	134.0	133.0	21.7846	6.7041	-5.2486	48.9227	54.1713	3.2494	3.6328	0.2776	3.0166	4.3488	1.3322
51217255	1467.0	978.0	3498.0	3.017	0.689	0.136	0.035	25.0	2.0	134.0	133.0	23.6148	7.2086	-9.5141	44.3058	53.8199	3.2759	3.2234	0.4059	2.689	4.4752	1.7863
52306425	1480.0	981.0	4035.0	3.166	0.545	0.153	0.037	29.0	2.3	134.0	133.0	22.0249	6.1801	-0.3521	41.9756	42.3277	3.5639	3.2069	0.3034	2.7552	4.139	1.3838
52835891	886.0	610.0	2497.0	3.307	0.453	0.149	0.039	19.0	1.3	134.0	133.0	24.6457	6.8958	-18.6224	42.1119	60.7343	3.574	3.2205	0.2056	2.8141	3.7148	0.9006
55710183	1996.0	1177.0	3935.0	2.629	0.719	0.128	0.038	31.0	3.0	134.0	133.0	19.1914	7.3067	-4.1448	39.7479	43.8928	2.6266	3.5963	0.3893	2.9266	4.6138	1.6872
56162563	1346.0	872.0	3427.0	3.184	0.71	0.138	0.037	22.0	2.0	134.0	133.0	23.8235	6.3456	-4.6798	41.1906	45.8704	3.7544	2.997	0.1471	2.672	3.4066	0.7347
60021964	1880.0	1142.0	4774.0	3.081	0.744	0.128	0.038	35.0	2.9	134.0	133.0	20.5274	7.1509	-2.4825	38.8757	41.3582	2.8706	3.1945	0.329	2.7368	4.0229	1.2861
62582335	1760.0	1057.0	4215.0	3.085	0.788	0.13	0.043	28.0	3.1	134.0	133.0	20.1606	7.1293	-7.314	43.4256	50.7395	2.8279	3.1531	0.2145	2.779	3.8859	1.1069
65198031	1479.0	1002.0	3536.0	2.908	0.604	0.132	0.03	23.0	1.7	134.0	133.0	22.8779	6.1179	2.6479	47.0	44.3522	3.7395	3.274	0.298	2.7512	3.9812	1.2301
70214854	1362.0	887.0	3195.0	2.847	0.599	0.144	0.035	26.0	1.7	134.0	133.0	23.7713	6.0646	2.1549	43.3849	41.23	3.9197	3.1303	0.2905	2.6091	3.8171	1.208
