participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1614.0	1025.0	3193.0	2.702	0.612	0.143	0.05	43.0	2.8	135.0	134.0	24.1543	7.4227	-23.3945	41.9006	65.2951	3.2541	2.7666	0.1477	2.4467	3.1608	0.7141
8454119	1784.0	1137.0	3966.0	3.102	0.972	0.143	0.062	39.0	4.9	135.0	134.0	21.1322	9.6356	-18.6946	41.5187	60.2133	2.1931	2.7497	0.1267	2.5049	3.0231	0.5182
11407866	2020.0	1282.0	4037.0	2.731	0.789	0.124	0.043	29.0	4.0	135.0	134.0	21.3715	9.024	-72.5916	41.0626	113.6541	2.3683	2.951	0.2183	2.5259	3.6871	1.1613
11574123	1533.0	1035.0	4120.0	3.185	0.88	0.149	0.042	26.0	2.9	135.0	134.0	22.4422	8.0549	-4.2463	45.132	49.3783	2.7862	2.8516	0.1803	2.3733	3.2707	0.8973
16684978	1133.0	777.0	2335.0	2.587	0.704	0.153	0.046	22.0	2.4	135.0	134.0	19.7221	8.1346	-19.9502	38.2678	58.2179	2.4245	3.1024	0.1069	2.8173	3.2997	0.4824
25354225	1287.0	849.0	3188.0	2.924	0.789	0.132	0.042	23.0	2.0	135.0	134.0	23.1987	8.0152	-11.0431	49.3175	60.3605	2.8943	3.1688	0.341	2.652	3.7446	1.0925
25811472	1527.0	1021.0	3433.0	2.893	0.889	0.141	0.046	29.0	3.3	135.0	134.0	23.9388	7.6996	-16.9258	43.0988	60.0246	3.1091	2.8675	0.1289	2.5295	3.3032	0.7737
27876862	1284.0	810.0	2254.0	2.51	0.607	0.139	0.047	25.0	2.6	135.0	134.0	23.0961	7.0194	-8.9409	40.0545	48.9954	3.2903	2.825	0.1611	2.415	3.1356	0.7206
29811890	1559.0	1005.0	3609.0	2.858	0.78	0.133	0.036	29.0	2.3	135.0	134.0	23.5633	7.8354	-0.998	43.0821	44.0801	3.0073	3.0671	0.2408	2.5884	3.8718	1.2835
31361606	1053.0	686.0	2170.0	2.905	0.828	0.15	0.042	21.0	1.8	135.0	134.0	23.751	7.7811	-8.9908	43.5529	52.5437	3.0524	2.6308	0.1602	2.3488	3.0906	0.7418
32938469	1651.0	1051.0	3152.0	2.707	0.773	0.131	0.044	26.0	3.0	135.0	134.0	22.0411	7.9492	-4.1117	46.2599	50.3717	2.7727	2.8745	0.2075	2.4998	3.755	1.2552
36895554	1199.0	823.0	2935.0	2.992	0.944	0.151	0.055	29.0	3.1	135.0	134.0	21.3521	8.5094	-18.9231	39.8065	58.7296	2.5092	2.8605	0.1986	2.4934	3.3996	0.9062
37329051	1691.0	1121.0	4083.0	2.921	0.66	0.118	0.024	23.0	1.5	135.0	134.0	22.1434	6.8683	3.0376	47.4342	44.3966	3.224	3.174	0.2076	2.7918	3.7071	0.9153
37835493	1529.0	972.0	3164.0	2.701	0.817	0.138	0.041	25.0	2.9	135.0	134.0	21.3359	10.419	-141.0326	45.9742	187.0068	2.0478	2.8899	0.1953	2.38	3.5648	1.1848
