participant_id	NumVert	SurfArea	GrayVol	ThickAvg	ThickStd	MeanCurv	GausCurv	FoldInd	CurvInd	Index	SegId	Mean_wgpct	StdDev_wgpct	Min_wgpct	Max_wgpct	Range_wgpct	SNR_wgpct	Mean_piallgi	StdDev_piallgi	Min_piallgi	Max_piallgi	Range_piallgi
1317462	1526.0	1020.0	2993.0	2.764	0.671	0.116	0.032	17.0	2.2	136.0	135.0	25.3031	5.8069	-0.6727	45.4428	46.1154	4.3574	2.5848	0.144	2.2811	2.8798	0.5987
8454119	1739.0	1125.0	3463.0	2.631	0.661	0.121	0.047	30.0	3.4	136.0	135.0	21.9075	8.318	-23.7527	39.7337	63.4864	2.6338	2.7612	0.1248	2.5614	3.0702	0.5088
11407866	1646.0	1090.0	3499.0	3.034	0.721	0.111	0.029	19.0	2.2	136.0	135.0	24.3299	6.5539	-5.418	52.3862	57.8042	3.7123	2.7302	0.0996	2.392	2.897	0.5051
11574123	1376.0	936.0	3109.0	2.96	0.694	0.131	0.039	18.0	2.4	136.0	135.0	23.9354	7.0551	-2.4124	42.4935	44.9059	3.3926	2.5728	0.1049	2.3035	2.7306	0.4271
16684978	1086.0	749.0	2212.0	2.876	0.572	0.112	0.023	8.0	1.1	136.0	135.0	24.88	5.3111	3.6852	42.1297	38.4445	4.6845	2.8807	0.1102	2.5664	3.0402	0.4738
25354225	1121.0	745.0	2331.0	2.843	0.681	0.115	0.025	14.0	1.3	136.0	135.0	23.5627	6.3689	-4.2947	42.6018	46.8965	3.6996	2.7157	0.0704	2.5259	2.9751	0.4491
25811472	1536.0	1011.0	3063.0	3.037	0.628	0.112	0.027	20.0	1.6	136.0	135.0	23.772	6.3891	-21.19	40.4186	61.6086	3.7207	2.7706	0.1504	2.4519	2.9234	0.4714
27876862	1031.0	706.0	2303.0	2.938	0.551	0.133	0.022	19.0	0.9	136.0	135.0	25.5638	5.952	5.6827	40.8719	35.1892	4.295	2.545	0.1064	2.2441	2.7107	0.4667
29811890	1411.0	944.0	3139.0	2.971	0.804	0.128	0.037	22.0	2.1	136.0	135.0	24.3651	7.4247	-1.7781	48.3222	50.1003	3.2816	2.7408	0.1348	2.388	3.0384	0.6504
31361606	852.0	587.0	2198.0	3.109	0.682	0.142	0.052	13.0	2.0	136.0	135.0	24.3215	7.9587	-55.9253	41.3543	97.2795	3.056	2.4445	0.0772	2.3146	2.6058	0.2912
32938469	1200.0	799.0	2170.0	2.919	0.525	0.101	0.027	16.0	1.4	136.0	135.0	24.2931	6.6545	-9.0579	41.266	50.3239	3.6506	2.751	0.2026	2.3571	3.0449	0.6878
36895554	1351.0	906.0	2723.0	2.85	0.817	0.119	0.029	15.0	1.4	136.0	135.0	23.2261	8.1372	-10.5122	42.6561	53.1682	2.8543	2.5241	0.1086	2.2693	2.8139	0.5447
37329051	1341.0	934.0	3255.0	3.218	0.712	0.139	0.036	25.0	2.2	136.0	135.0	23.3283	7.2388	-18.3691	40.7815	59.1506	3.2227	2.8575	0.0382	2.7395	3.0285	0.289
37835493	1281.0	856.0	2620.0	2.911	0.882	0.128	0.041	17.0	2.0	136.0	135.0	23.5303	8.7261	-19.9832	88.9792	108.9624	2.6965	2.4805	0.1186	2.2334	2.7947	0.5613
43606631	1113.0	779.0	2052.0	2.5	0.563	0.118	0.019	10.0	0.9	136.0	135.0	25.9133	5.2402	4.1523	43.0069	38.8545	4.9451	2.6759	0.1251	2.3527	2.8996	0.547
49408975	1314.0	916.0	2668.0	2.804	0.542	0.1	0.017	9.0	0.9	136.0	135.0	23.9378	4.2429	-8.1613	36.1884	44.3498	5.6419	2.7128	0.1498	2.3945	3.0381	0.6436
51217255	906.0	623.0	2183.0	2.824	0.645	0.124	0.04	13.0	1.5	136.0	135.0	22.9314	6.4204	-27.7362	42.175	69.9111	3.5717	2.6897	0.1136	2.5174	2.9819	0.4645
52306425	1641.0	1058.0	3288.0	2.803	0.646	0.126	0.035	23.0	2.8	136.0	135.0	23.6404	6.8636	-11.4851	42.1439	53.6289	3.4443	2.556	0.1186	2.2784	2.7457	0.4673
52835891	1107.0	751.0	2474.0	3.102	0.682	0.115	0.026	9.0	1.3	136.0	135.0	24.8489	5.9193	0.8656	43.0712	42.2056	4.1979	2.5872	0.082	2.3003	2.8588	0.5585
55710183	1377.0	925.0	2636.0	2.537	0.698	0.138	0.042	24.0	2.3	136.0	135.0	22.1447	7.6574	-11.4556	44.4504	55.906	2.8919	2.675	0.0809	2.4853	2.8997	0.4145
56162563	1719.0	1137.0	4264.0	2.991	0.764	0.137	0.054	38.0	4.1	136.0	135.0	23.3753	7.5008	-11.9692	44.6866	56.6558	3.1164	2.7104	0.1931	2.3118	3.1365	0.8247
60021964	1429.0	927.0	3361.0	3.005	0.657	0.137	0.044	25.0	2.6	136.0	135.0	22.9436	7.1444	-18.3868	97.7138	116.1006	3.2114	2.5772	0.073	2.3959	2.7734	0.3775
62582335	1003.0	735.0	2664.0	3.09	0.708	0.131	0.036	13.0	1.7	136.0	135.0	22.0769	6.9014	-1.4642	43.4664	44.9306	3.1989	2.6299	0.0722	2.4582	2.824	0.3658
65198031	961.0	728.0	2334.0	2.837	0.539	0.128	0.025	12.0	1.0	136.0	135.0	24.4018	5.9973	-8.9721	39.3578	48.33	4.0688	2.5203	0.1064	2.3183	2.7498	0.4314
70214854	1438.0	954.0	2723.0	2.709	0.512	0.113	0.024	16.0	1.3	136.0	135.0	25.9538	6.9005	-3.3327	54.7373	58.07	3.7611	2.6788	0.0641	2.4804	2.7906	0.3102
71851847	1389.0	907.0	2584.0	2.722	0.656	0.102	0.031	15.0	1.9	136.0	135.0	25.8867	6.7997	-19.4084	48.1424	67.5508	3.807	2.5573	0.1366	2.2082	2.7715	0.5633
74920331	1297.0	892.0	3388.0	3.175	0.571	0.142	0.033	25.0	2.0	136.0	135.0	22.944	6.2081	-0.2052	39.6591	39.8644	3.6958	2.649	0.109	2.3833	2.9048	0.5215
77390767	1557.0	1010.0	2889.0	2.662	0.7	0.122	0.031	25.0	2.2	136.0	135.0	24.5088	7.3922	-1.2673	48.0504	49.3177	3.3155	2.6334	0.1099	2.2891	2.8073	0.5181
78982423	978.0	659.0	2003.0	2.692	0.687	0.11	0.028	11.0	1.1	136.0	135.0	23.0664	6.1312	-8.2309	38.7826	47.0135	3.7621	2.6231	0.1085	2.3088	2.8619	0.5531
80982198	1341.0	905.0	3177.0	3.213	0.739	0.123	0.039	17.0	2.0	136.0	135.0	25.4576	7.5261	-33.418	43.9402	77.3582	3.3826	2.5403	0.1326	2.2961	2.762	0.4659
82699044	1408.0	955.0	2839.0	2.713	0.656	0.127	0.03	24.0	2.0	136.0	135.0	23.2417	6.8249	-11.952	40.4542	52.4062	3.4054	2.5317	0.0632	2.3195	2.8011	0.4817
84407714	1347.0	943.0	2392.0	2.668	0.393	0.105	0.013	10.0	0.9	136.0	135.0	25.0251	4.2953	7.6454	44.9415	37.296	5.8261	2.5358	0.1074	2.3085	2.683	0.3745
86226939	948.0	670.0	2222.0	2.906	0.576	0.126	0.031	15.0	1.2	136.0	135.0	23.0712	5.4391	2.3155	37.2549	34.9393	4.2417	2.5934	0.0675	2.3937	2.7217	0.328
93800202	973.0	671.0	2343.0	3.261	0.558	0.107	0.022	10.0	0.9	136.0	135.0	25.0179	5.3897	7.7831	41.7175	33.9344	4.6418	2.5848	0.0935	2.3588	2.7656	0.4068
97005004	1691.0	1220.0	3695.0	2.986	0.588	0.12	0.023	28.0	1.5	136.0	135.0	25.9159	6.0709	-7.4955	38.2119	45.7074	4.2689	2.8537	0.1611	2.3841	3.0795	0.6954
100527940	1431.0	1029.0	3917.0	3.113	0.715	0.145	0.039	29.0	2.2	136.0	135.0	22.597	7.1887	-11.7875	44.0433	55.8309	3.1434	2.7629	0.1136	2.455	3.0017	0.5467
103652366	1027.0	673.0	2056.0	2.909	0.681	0.11	0.023	9.0	1.1	136.0	135.0	23.2908	5.1219	-3.0652	35.9857	39.0509	4.5473	2.6926	0.038	2.5413	2.7934	0.2521
105914514	1496.0	980.0	2618.0	3.016	0.681	0.09	0.018	8.0	1.1	136.0	135.0	22.1347	5.1657	4.2739	36.7654	32.4915	4.2849	2.6096	0.1662	2.1724	3.0265	0.8541
107578676	1726.0	1156.0	3865.0	2.785	0.684	0.13	0.044	27.0	3.4	136.0	135.0	25.1076	7.4659	-45.7885	42.2885	88.077	3.363	2.9745	0.1228	2.6558	3.1419	0.4861
108828000	1035.0	733.0	1927.0	2.565	0.479	0.093	0.014	5.0	0.6	136.0	135.0	26.7357	5.3777	7.3667	76.8819	69.5152	4.9716	2.5199	0.065	2.2812	2.6641	0.3829
113335479	1701.0	1166.0	3366.0	2.902	0.521	0.113	0.022	14.0	1.5	136.0	135.0	25.1424	5.1386	-1.9328	46.611	48.5438	4.8928	2.8002	0.1118	2.5236	3.0013	0.4776
115784129	1509.0	971.0	2597.0	2.642	0.839	0.134	0.053	22.0	3.3	136.0	135.0	21.5135	7.9167	-13.2512	41.6355	54.8867	2.7175					
119126177	1260.0	846.0	2376.0	2.702	0.523	0.114	0.037	12.0	1.9	136.0	135.0	25.08	6.6393	0.2489	46.098	45.8491	3.7775	2.6987	0.1869	2.1941	2.8949	0.7007
121697273	1184.0	788.0	2480.0	2.875	0.721	0.113	0.029	11.0	1.3	136.0	135.0	25.3122	5.9524	-2.2619	40.1687	42.4306	4.2525	2.6177	0.0456	2.5476	2.8109	0.2633
130118047	1225.0	830.0	2703.0	2.916	0.641	0.12	0.028	14.0	1.4	136.0	135.0	24.5469	6.5262	-19.8416	42.2254	62.067	3.7613	2.7058	0.1055	2.5196	2.9634	0.4438
131655018	1294.0	917.0	2548.0	2.918	0.74	0.102	0.015	8.0	0.9	136.0	135.0	26.8522	5.0157	7.3846	40.8744	33.4898	5.3537	2.5797	0.1073	2.3485	2.9475	0.599
134279804	1273.0	870.0	3145.0	2.963	0.702	0.127	0.033	18.0	1.7	136.0	135.0	24.8066	6.4242	-0.2885	43.0029	43.2913	3.8615	2.5968	0.0945	2.4264	2.8129	0.3865
138434806	1505.0	948.0	2294.0	2.409	0.563	0.105	0.025	15.0	1.7	136.0	135.0	22.4058	7.0196	-12.5994	40.4092	53.0086	3.1919	2.628	0.1442	2.3241	2.8485	0.5244
154667058	1836.0	1246.0	3594.0	2.656	0.609	0.125	0.052	25.0	4.7	136.0	135.0	23.8448	7.9306	-18.0067	54.4736	72.4804	3.0067	3.0872	0.2228	2.5675	3.4307	0.8632
158779019	1190.0	791.0	2465.0	2.865	0.925	0.114	0.033	14.0	1.8	136.0	135.0	21.7265	10.7581	-21.7513	40.5038	62.2551	2.0195	2.4673	0.141	2.2238	2.8501	0.6263
162526644	1603.0	1079.0	3444.0	2.907	0.66	0.122	0.043	28.0	2.8	136.0	135.0	22.0199	6.4065	-25.9376	35.404	61.3416	3.4371	2.8603	0.1927	2.4336	3.2472	0.8137
163259093	1325.0	889.0	2855.0	3.029	0.662	0.109	0.017	15.0	1.0	136.0	135.0	25.9793	5.5148	5.6772	40.6923	35.0151	4.7109	2.4879	0.0914	2.159	2.6543	0.4953
176129790	1468.0	965.0	2757.0	2.727	0.655	0.139	0.041	25.0	2.6	136.0	135.0	22.0774	8.271	-7.1604	44.8497	52.0101	2.6692	2.508	0.086	2.2135	2.6853	0.4718
177928631	1041.0	739.0	2292.0	2.81	0.574	0.128	0.032	17.0	1.3	136.0	135.0	23.5627	5.9176	-0.3065	41.6561	41.9626	3.9818	2.559	0.1794	2.2065	2.9739	0.7674
182017409	1751.0	1191.0	3742.0	2.981	0.647	0.136	0.045	28.0	4.0	136.0	135.0	23.5179	7.1724	-56.8017	39.8846	96.6862	3.2789	2.8012	0.1971	2.4527	3.1853	0.7326
189913356	1334.0	891.0	2835.0	2.921	0.737	0.131	0.036	17.0	2.3	136.0	135.0	21.0876	7.4302	-7.6275	45.2208	52.8483	2.8381	2.7453	0.0918	2.5218	2.9345	0.4127
190100766	1103.0	730.0	2749.0	3.188	0.587	0.13	0.032	17.0	1.4	136.0	135.0	24.7204	6.4703	4.1969	40.3859	36.189	3.8206	2.6412	0.1004	2.4623	2.8732	0.4109
192039987	1087.0	756.0	2472.0	2.909	0.716	0.144	0.065	27.0	3.2	136.0	135.0	20.0113	8.7398	-20.1408	47.2056	67.3465	2.2897	2.5592	0.0565	2.3793	2.7299	0.3507
